Word	Havg	StDev	GoogleRank	translation
尊敬	120	6.82	1.5345	4691	Respect
优良	121	6.80	1.6782	2719	Excellent
热心	122	6.80	1.3851	6750	Enthusiastic
舒服	123	6.80	1.5119	5485	Comfort
可贵	124	6.80	1.3997	5008	Valuable
圆满	125	6.80	1.8406	4755	Satisfactorily
伟大	126	6.80	1.8626	942	Great
幽默	127	6.80	1.3248	5842	Humor
卓有成效	128	6.80	1.6036	7348	Highly effective
光彩	129	6.80	1.1429	5768	Honorable
顺利	130	6.78	1.6073	1866	Smoothly
兴奋	131	6.78	1.3893	3049	Excited
美感	132	6.78	1.8438	6858	Aesthetic feeling
鼓舞	133	6.78	1.3138	2865	Inspire
赞成	134	6.78	1.6695	3187	Approve
满足	135	6.78	1.5945	842	Meet
珍贵	136	6.78	1.3445	4293	Precious
轻松	137	6.78	1.6199	3809	Relaxed
天赋	138	6.78	1.3293	8434	Talent
富裕	139	6.78	1.7990	3514	Wealthy
福	140	6.78	1.6449	3929	Blessing
热烈	141	6.78	1.3293	2099	Warm
欣赏	142	6.78	1.3596	2607	Appreciate
姐妹	143	6.76	1.4078	5355	Sisters
鲜花	144	6.76	1.1877	7797	Flowers
拥抱	145	6.76	1.3786	8057	Hug
赞叹	146	6.76	1.8020	9240	Praise
喜剧	147	6.76	1.5851	4653	Comedy
奖金	148	6.76	1.5722	2888	Bonus
福利	149	6.76	1.3024	1558	Welfare
光明	150	6.76	1.5592	3790	Bright
战胜	151	6.74	1.7706	3407	Conquer
进步	152	6.74	1.2747	740	Progress
自信	153	6.74	1.4957	5468	Confidence
正义	154	6.74	1.6264	2420	Justice
兴盛	155	6.74	1.7935	6820	Thrive
有趣	156	6.74	1.4401	3754	Interesting
诚意	157	6.74	1.2090	7296	Sincerity
天堂	158	6.74	1.8932	8264	Heaven
和平	159	6.74	1.9146	945	Peace
婚礼	160	6.74	1.6264	6239	Wedding
盈余	161	6.72	1.1073	7198	Surplus
优越	162	6.72	1.3559	2422	Advantageous
才华	163	6.72	1.5784	6624	Talent
诚恳	164	6.72	1.3856	7451	Sincere
旺盛	165	6.72	1.3856	6095	Exuberant
谢谢	166	6.70	1.5940	6169	Thank you
好	167	6.70	1.7173	113	Good
振兴	168	6.70	1.4033	3609	Promote
感动	169	6.70	1.3286	4010	Moving
热忱	170	6.70	1.5419	8241	Enthusiasm
信赖	171	6.70	1.2657	5797	Trust
风趣	172	6.70	1.1473	9763	Witty
童年	173	6.70	1.7871	7544	Childhood
精华	174	6.68	1.8007	6575	Digest
结婚	175	6.68	1.7313	2520	Get married
灵敏	176	6.68	0.9570	8124	Keen
发达	177	6.68	1.5836	769	Developed
崇高	178	6.68	1.5836	3795	Sublime
敬意	179	6.68	1.1328	8173	Tribute
多彩	180	6.68	1.0583	4941	Colorful
阳光	181	6.68	1.8892	3780	Sunlight
关怀	182	6.68	1.5576	5209	Care
功绩	183	6.68	1.3005	5649	Feat
痛快	184	6.68	1.3619	8338	Happy
活泼	185	6.68	1.5706	5188	Lively
升华	186	6.68	1.2688	7449	Sublimation
全心全意	187	6.68	1.6218	5346	Whole-heartedly
丰硕	188	6.68	1.6956	7609	Fruitful
爸	189	6.68	1.4907	1476	Dad
爱好	190	6.68	1.3161	3621	Hobby
智慧	191	6.68	1.9213	2451	Wisdom
精英	192	6.68	1.8232	7858	Elite
高效	193	6.66	1.4792	3998	Efficient
欢	194	6.66	1.6612	5403	Happy
宝贵	195	6.66	1.5986	3143	Valuable
尊重	196	6.66	1.4654	1958	Respect
晋升	197	6.66	1.6977	5553	Promotion
名胜	198	6.66	1.4373	7800	Scenic
春天	199	6.66	1.2875	3141	Spring
优点	200	6.66	1.5858	3064	Advantage
赢利	201	6.64	1.5354	9696	Profit
收益	202	6.64	1.2739	1582	Income
欢迎	203	6.64	1.6753	1435	Welcome
好看	204	6.64	1.1563	9106	Good-looking
天真	205	6.64	1.5354	8838	Naive
丰富	206	6.64	1.4394	888	Rich
奇妙	207	6.64	1.5487	9690	Wonderful
希望	208	6.64	1.3815	576	Hope
好好	209	6.64	1.4813	4609	Good
和睦	210	6.64	1.5877	9755	Harmony
好感	211	6.62	1.2919	8896	Favorable impression
盛大	212	6.62	1.1586	8310	Grand
免费	213	6.62	1.7130	4935	Free
优惠	214	6.62	1.3384	2311	Preferential
家	215	6.62	1.7715	190	Home
妈	216	6.62	1.7715	5453	Mom
宽容	217	6.62	1.3384	9184	Tolerant
明亮	218	6.62	1.3076	8202	Brightness
巧妙	219	6.62	1.1586	4829	Clever
勇敢	220	6.62	1.6149	3384	Brave
正直	221	6.62	1.3834	8575	Upright
欣慰	222	6.60	1.5253	7558	Pleased
忠实	223	6.60	1.7379	4693	Faithful
表彰	224	6.60	1.6413	5724	Commend
取胜	225	6.60	1.4142	8197	Win
盈利	226	6.60	1.6782	3008	Profit
佳	227	6.60	1.6288	1954	Good
玫瑰	228	6.60	1.4142	7717	Rose
难能可贵	229	6.60	1.6162	9235	Commendable
歌唱	230	6.60	1.7496	7607	Singing
风景	231	6.60	1.4428	3575	Landscape
报酬	232	6.60	1.6036	3048	Reward
赞同	233	6.60	1.4846	4179	Approval
好人	234	6.60	1.7023	5578	Good person
妙	235	6.58	1.7034	7761	Wonderful
祖母	236	6.58	1.7034	8607	Grandmother
情趣	237	6.58	1.4299	7965	Delight
赏	238	6.58	1.2304	8245	Reward
独创	239	6.58	1.3415	6103	Original creation
热闹	240	6.58	1.1796	4248	Lively
才智	241	6.58	1.6671	6399	Ability and wisdom
旅游	242	6.58	1.4721	1110	Tourism
荣获	243	6.58	1.7390	6055	Award
珍惜	244	6.58	1.2469	8177	Treasure
吉	245	6.58	1.7853	5795	Lucky
坚强	246	6.58	1.2304	4636	Strong
一流	247	6.56	1.4868	4874	Top
细心	248	6.56	1.2480	7997	Careful
盛名	249	6.56	1.3874	8412	Great reputation
分红	250	6.56	1.5005	7982	Dividend
放心	251	6.56	1.3118	3698	Rest assured
神仙	252	6.56	1.6801	9311	Immortal
发扬光大	253	6.56	1.7280	9595	Flourish
好转	254	6.56	1.3118	3906	Improve
理想	255	6.56	1.6679	1169	Ideal
感人	256	6.56	1.2149	6212	Moving
英雄	257	6.56	1.6801	2222	Hero
赞助	258	6.56	1.3273	7392	Sponsor
赞	259	6.56	1.9811	7379	Praise
和谐	260	6.54	1.5806	4395	Harmony
上进	261	6.54	1.4598	7518	Motivated
灵感	262	6.54	1.4316	7189	Inspiration
优化	263	6.54	1.0730	1998	Optimization
永恒	264	6.54	1.7404	4906	Eternal
友好	265	6.54	1.5546	2087	Friendly
大自然	266	6.54	1.5677	4612	Nature
珠宝	267	6.54	1.3734	9956	Jewelry
慷慨	268	6.54	1.8758	8043	Generous
淋漓尽致	269	6.54	1.1466	9739	Vividly
正确	270	6.54	1.7168	440	Correct
春节	271	6.54	2.0919	4600	Chinese New Year
有益	272	6.54	1.4316	2398	Beneficial
可靠	273	6.54	1.1988	1871	Reliable
功劳	274	6.54	1.5414	8724	Credit
日新月异	275	6.54	1.3126	9499	Changing
真实	276	6.54	1.4875	1052	Real
财富	277	6.54	1.6807	2161	Wealth
进取	278	6.52	1.2974	4592	Aggressive
父母	279	6.52	1.9085	1586	Parents
真心	280	6.52	1.4879	7530	Sincere
强大	281	6.52	1.5285	1584	Powerful
善	282	6.52	1.8097	3200	Good
利润	283	6.52	1.5810	1220	Profit
灵活	284	6.52	1.1110	1916	Flexible
造福	285	6.52	1.4032	9525	Benefit
周末	286	6.52	1.5939	8749	Weekend
英勇	287	6.52	1.4879	4881	Heroic
亲	288	6.50	1.2330	3007	Kiss
宏伟	289	6.50	1.4604	4896	Magnificent
友谊	290	6.50	1.4743	3050	Friendship
洋溢	291	6.50	1.4743	9547	Filled
昌盛	292	6.50	2.0025	9723	Prosperity
康复	293	6.50	1.3439	7357	Rehabilitation
优势	294	6.50	1.4321	837	Superiority
高档	295	6.50	1.5286	8186	Top grade
我家	296	6.50	1.4604	5893	My family
雄厚	297	6.50	1.3740	5773	Strong
充裕	298	6.50	1.2495	7543	Ample
朋友	299	6.50	1.7053	1047	Friend
信心	300	6.50	1.4604	2258	Confidence
强国	301	6.48	1.4602	5104	Power
独立自主	302	6.48	1.4177	4702	Independent
致富	303	6.48	1.5285	6671	Become rich
高级	304	6.48	1.4879	1227	Advanced
明朗	305	6.48	1.5016	7222	Clear
关心	306	6.48	1.1292	1520	Care
生动	307	6.48	1.0544	2862	Vivid
神圣	308	6.48	1.5016	3538	Sacred
爱护	309	6.48	1.4177	7052	Cherish
年轻	310	6.48	1.5418	1400	Young
勇气	311	6.48	1.3738	3359	Courage
宁静	312	6.48	1.3886	7248	Serenity
奋斗	313	6.48	1.3438	1625	Struggle
精致	314	6.48	1.5680	8694	Refinement
盈	315	6.46	1.4737	6824	Full
永远	316	6.46	1.4875	1708	Forever
崇拜	317	6.46	1.1988	4332	Worship
生日	318	6.46	1.8429	6306	Birthday
畅销	319	6.46	1.3126	6007	Sell ​​well
精细	320	6.46	1.2157	7419	Fine
勤劳	321	6.46	1.5147	8501	Industrious
强	322	6.46	1.3584	802	Strength
胜任	323	6.46	1.4458	7016	Competent
鉴赏	324	6.46	1.5935	8626	Appreciate
美人	325	6.46	1.8429	9903	Beauty
宏大	326	6.46	1.5281	7175	Grand
哈	327	6.44	1.6433	2824	Ha
太阳	328	6.44	1.5005	2386	Sun
智	329	6.44	1.6801	6942	Wisdom
提高	330	6.44	1.2316	186	Improve
健身	331	6.44	1.2643	8872	Fitness
纯洁	332	6.44	1.5928	6701	Pure
斗志	333	6.44	1.3273	7545	Will to fight
善意	334	6.44	1.7398	9403	Goodwill
信誉	335	6.44	1.6056	5069	Credit
礼物	336	6.44	1.2961	5362	Gift
推崇	337	6.44	1.2149	7631	Praise highly
焕发	338	6.44	1.1278	7498	Coruscate
神奇	339	6.44	1.4868	5999	Magical
休闲	340	6.42	1.3566	7535	Leisure
老婆	341	6.42	1.6424	5367	Wife
声誉	342	6.42	1.1445	5385	Reputation
兴趣	343	6.42	1.1082	1449	Interest
美化	344	6.42	1.3262	6855	Beautify
创造	345	6.42	1.4581	503	Create
明智	346	6.42	1.8305	7136	Wise
乐园	347	6.42	1.6299	9384	Paradise
深厚	348	6.42	1.2304	4682	Deep
完善	349	6.42	1.3716	870	Perfect
平和	350	6.42	1.5398	8498	Mild
妹妹	351	6.42	1.5791	5103	Sister
顽强	352	6.42	1.4299	4826	Tenacious
奶奶	353	6.42	1.9493	7477	Grandmother
风光	354	6.42	1.4299	8483	Scene
受益	355	6.42	1.3864	3945	Benefit
歌颂	356	6.42	1.8962	7495	Praise
开明	357	6.42	1.1796	7104	Enlightened
熟练	358	6.42	1.4995	4697	Skilled
亲属	359	6.40	1.6413	4150	Relatives
自力更生	360	6.40	1.2617	5546	Self-reliance
梦想	361	6.40	1.8736	5162	Dream
舒	362	6.40	1.1249	5514	Shu
公平	363	6.40	1.5386	2098	Fair
上帝	364	6.40	1.5908	3042	God
父亲	365	6.40	1.7023	1248	Father
改善	366	6.40	0.9897	917	Improve
安定	367	6.40	1.3997	2698	Stable
爱情	368	6.40	1.9483	3117	Love
开阔	369	6.40	1.2936	6072	Open
景色	370	6.40	1.3401	6216	Scenery
增值	371	6.40	1.3401	4102	Appreciation
时尚	372	6.40	1.4708	6346	Fashion
富翁	373	6.40	2.1665	9521	Moneybags
妻	374	6.40	1.4708	7812	Wife
顶峰	375	6.40	1.6162	8696	Peak
优待	376	6.40	1.5386	6100	Give preferential treatment
黄金	377	6.40	1.7496	3508	Gold
动人	378	6.40	1.5779	4820	Moving
葡萄酒	379	6.38	1.4126	8858	Wine
振奋	380	6.38	1.3686	6033	Rouse
辽阔	381	6.38	1.4553	6183	Vast
现代化	382	6.38	1.4270	613	Modernization
升值	383	6.38	1.4968	6971	Appreciation
积极	384	6.38	1.6274	365	Active
奖学金	385	6.38	1.9784	8843	Scholarship
朝气	386	6.38	1.6149	8040	Vitality
友	387	6.38	1.2436	2934	Friendly
高明	388	6.38	1.5372	8742	Clever
看好	389	6.38	1.1933	8945	Optimistic
宝	390	6.38	1.5765	6073	Treasure
崇敬	391	6.38	1.7484	9530	Respect
成就	392	6.38	1.8614	1643	Achievement
益	393	6.36	1.1911	1955	Benefit
活跃	394	6.36	1.5487	2659	Active
谢	395	6.36	1.4950	6045	Thank
青春	396	6.36	1.5086	5121	Youth
奋起	397	6.36	1.2898	9274	Rise
互助	398	6.36	1.3056	3352	Mutual
修养	399	6.36	1.0254	3994	Accomplishment
小康	400	6.36	1.5487	4311	Well
创造性	401	6.36	1.6753	2344	Creativity
崭新	402	6.36	1.6005	4233	Brand-new
准确	403	6.36	1.2081	1601	Accurate
适宜	404	6.36	1.0835	3358	Suitable
老家	405	6.36	1.5086	9301	Home
休假	406	6.36	1.5354	8703	Vacation
有名	407	6.36	1.0645	4665	Famous
蓬勃	408	6.34	1.2715	3516	Vigorous
衷心	409	6.34	1.4230	6356	Heartfelt
精通	410	6.34	1.5334	9884	Proficient
享乐	411	6.34	1.4930	8070	Pleasure
珍珠	412	6.34	1.4792	8376	Pearl
舞蹈	413	6.34	1.2875	3287	Dance
祖国	414	6.34	1.7096	1445	Motherland
友人	415	6.34	1.6856	8355	Friends
充足	416	6.34	1.7215	4101	Adequate
放松	417	6.34	1.5066	3674	Relaxation
彩	418	6.34	1.4514	6213	Color
良性	419	6.34	1.1537	5098	Benign
赚	420	6.34	1.5334	5760	Earn
节日	421	6.34	1.5201	3955	Festival
安全	422	6.34	1.4514	552	Security
健全	423	6.34	1.6734	1778	Sound
信用	424	6.34	1.1359	1803	Credit
毅力	425	6.32	1.4490	7245	Perseverance
唱歌	426	6.32	1.3468	9040	Sing a song
领悟	427	6.32	1.3468	9458	Realization
环保	428	6.32	1.2848	3383	Green
特长	429	6.32	1.1856	7519	Specialty
母	430	6.32	1.5043	3746	Mother
北大	431	6.32	1.6591	5704	Peking University
稳	432	6.32	1.1856	4053	Steady
忠	433	6.32	1.6218	9757	Loyal
旅行	434	6.32	1.5964	3822	Travel
最高	435	6.32	1.5964	824	Highest
广阔	436	6.32	1.3468	2399	Broad
廉政	437	6.32	1.5312	4917	Against
知名	438	6.32	1.3316	4605	Well-known
创意	439	6.32	1.1683	9395	Creative
营养	440	6.32	1.3468	2997	Nutrition
充实	441	6.32	1.4061	2685	Enrich
故乡	442	6.32	1.4630	4296	Home
人材	443	6.30	1.3286	9558	Talent
和美	444	6.30	1.7409	9559	Beauty
认真	445	6.30	1.4033	1029	Serious
活着	446	6.30	1.2164	5820	Alive
益处	447	6.30	1.4604	8210	Benefit
潜能	448	6.30	1.2330	9286	Potential
果实	449	6.30	1.1995	7636	Fruit
女儿	450	6.30	1.6067	2884	Daughter
花	451	6.30	1.5811	1903	Flower
雄心	452	6.30	1.1294	9421	Ambition
山水	453	6.30	1.3132	9126	Landscape
爷爷	454	6.30	1.4033	8744	Grandpa
收获	455	6.30	1.6444	4585	Gain
绅士	456	6.30	1.5419	7305	Gentleman
乐于	457	6.30	1.2164	8271	Be happy
金	458	6.30	1.4463	890	Gold
真切	459	6.30	1.0546	7917	Clear
新鲜	460	6.30	1.5811	4584	Fresh
荣	461	6.30	1.5940	5383	Glory
新颖	462	6.30	1.3740	6965	Novel
活力	463	6.30	1.5811	1965	Vitality
勤工俭学	464	6.28	1.3407	9865	Work-study
可观	465	6.28	1.2129	4753	Considerable
生命	466	6.28	1.6041	880	Life
未来	467	6.28	1.4003	1154	Future
慧	468	6.28	1.1073	9928	Intelligent
积极性	469	6.28	1.7384	1311	Enthusiasm
干净	470	6.28	1.5391	7979	Clean
文明	471	6.28	1.5258	875	Civilization
不错	472	6.28	1.5654	4738	Not bad
气质	473	6.28	1.4148	4669	Temperament
贡献	474	6.28	1.7266	913	Contribution
净化	475	6.28	1.1436	7082	Purify
迎接	476	6.28	1.2784	3957	Greet
君子	477	6.28	1.5391	8824	Gentleman
姐姐	478	6.28	1.4988	6058	Sister
公正	479	6.28	2.0408	2697	Fair
智能	480	6.28	1.2129	4276	Intelligent
娱乐	481	6.28	1.7501	2812	Entertainment
宽阔	482	6.28	1.2784	8988	Wide
升	483	6.28	1.2943	2485	Liter
跳舞	484	6.28	1.4714	7336	Dance
愿望	485	6.28	1.2129	2495	Desire
高大	486	6.28	1.2129	6341	Tall
亲友	487	6.28	1.5524	8443	Friends
真理	488	6.28	1.4574	1675	Truth
高潮	489	6.28	1.6293	2736	Climax
尊	490	6.28	1.2129	7769	Honor
礼品	491	6.26	1.1395	9243	Gift
领先	492	6.26	1.6759	4348	Lead
壮大	493	6.26	1.3219	3073	Grow
观赏	494	6.26	1.4542	8062	Watch
饱	495	6.26	1.3969	9117	Full
十分	496	6.26	1.3219	486	Very
勇于	497	6.26	1.5361	5285	Courage
努力	498	6.26	1.2586	525	Strive
趣	499	6.26	1.3063	5920	Interesting
花卉	500	6.26	1.5754	8165	Flowers
羡慕	501	6.26	1.3219	8253	Envy
见效	502	6.26	1.4259	9329	Effective
国庆	503	6.26	1.6880	7174	National day
人才	504	6.26	1.6513	872	Talented person
香	505	6.26	1.5493	7288	Incense
财源	506	6.26	1.7001	7375	Financial resources
才干	507	6.26	1.2906	9751	Competence
太平	508	6.26	1.4401	3408	Taiping
良好	509	6.24	1.7445	1079	Good
精品	510	6.24	1.7562	9927	Boutique
安心	511	6.24	1.5592	8370	Relieved
绿色	512	6.24	1.3486	3898	Green
便利	513	6.24	1.4786	3288	Convenience
豪华	514	6.24	2.0260	9756	Luxury
捐赠	515	6.24	1.4647	6936	Donate
勇士	516	6.24	1.7445	9330	Warrior
尊严	517	6.24	1.6483	4795	Dignity
增强	518	6.24	1.2382	1064	Strengthen
热爱	519	6.24	1.6483	3716	Love
单纯	520	6.24	1.5328	2432	Simple
超越	521	6.24	1.5194	2122	Transcend
忠于	522	6.24	1.2707	7461	Loyal to
新奇	523	6.24	1.4078	9560	Novel
轻而易举	524	6.24	1.3180	8902	Easy
勤	525	6.24	1.3637	9869	Attendance
清晰	526	6.24	1.1350	2896	Clear
宝座	527	6.24	1.5722	9817	Throne
实事求是	528	6.24	1.6606	3109	Facts
长处	529	6.24	1.5059	5493	Forte
家人	530	6.24	1.6728	5035	Family
缘	531	6.24	1.5328	8719	Edge
充沛	532	6.24	1.7562	7476	Abundant
闻名	533	6.24	1.6358	7497	Famous
坚信	534	6.24	1.4223	8283	Firmly believe
年青	535	6.24	1.4223	9131	Young
敬	536	6.24	1.2545	7851	Respect
高昂	537	6.24	1.9226	9688	High
钱	538	6.24	1.2867	1255	Money
惠	539	6.22	1.2982	7517	Benefit
尖端	540	6.22	1.4748	7740	Sophisticated
绿化	541	6.22	1.6573	6917	Green
营利	542	6.22	1.3138	5529	Profit
自立	543	6.22	1.3293	9682	Independence
实惠	544	6.22	1.6449	8257	Affordable
好处	545	6.22	1.1830	2793	Benefit
相辅相成	546	6.22	1.1657	6929	Complementary
成果	547	6.22	1.6695	867	Achievement
艺术	548	6.22	1.3138	334	Art
理解	549	6.22	1.5425	741	Understanding
长城	550	6.22	1.6695	7269	Great Wall
良心	551	6.22	1.5022	6620	Conscience
音乐	552	6.22	1.5158	1055	Music
成熟	553	6.22	1.5292	1842	Mature
圣诞	554	6.22	1.8327	9110	Christmas
祝	555	6.20	1.3997	9279	Wish
决心	556	6.20	1.3093	1970	Determination
偶像	557	6.20	1.7261	8789	Idol
趣味	558	6.20	1.6782	5317	Taste
聚会	559	6.20	1.1429	8191	Meet
长久	560	6.20	1.4569	4449	Long
升级	561	6.20	1.3401	3046	Upgrade
大学	562	6.20	1.6162	436	University
怀抱	563	6.20	1.3851	8251	Embrace
生命力	564	6.20	1.5779	3274	Vitality
享有	565	6.20	1.1780	1995	Enjoy
捐献	566	6.20	1.4569	9074	Donate
一视同仁	567	6.20	1.0102	9889	Equally
弘扬	568	6.20	1.5386	6107	Promote
激情	569	6.20	1.6660	5395	Enthusiasm
姑娘	570	6.20	1.4428	2366	Girl
抱负	571	6.20	1.2454	9095	Ambition
康	572	6.20	1.2778	4972	Kang
精明	573	6.20	1.6162	9308	Shrewd
德	574	6.20	1.3553	1067	Moral
爱国	575	6.18	1.6622	1876	Patriotic
自由	576	6.18	1.9659	472	Free
星期日	577	6.18	1.6986	8044	Sunday
隆重	578	6.18	1.5996	7013	Grand
精心	579	6.18	1.5077	5134	Meticulously
丰	580	6.18	1.7922	4251	Abundant
大海	581	6.18	1.3045	6112	Sea
责任感	582	6.18	1.2728	4676	Responsibility
水果	583	6.18	1.5211	6360	Fruit
典范	584	6.18	1.5077	6291	Model
坚持	585	6.18	1.4097	564	Persist
暑假	586	6.18	1.6249	7320	Summer vacation
有利	587	6.18	1.5077	1427	Favorable
效益	588	6.18	1.4803	558	Benefit
著名	589	6.18	1.6374	1264	Famous
电影院	590	6.18	1.4665	7282	Cinema
诚	591	6.18	1.3805	8873	Honest
实话	592	6.18	1.2403	8372	Truth
婚	593	6.18	1.1726	4730	Marriage
礼	594	6.18	1.1373	5270	Ceremony
互惠	595	6.18	1.2728	7525	Reciprocal
前景	596	6.18	1.2403	2907	Outlook
增高	597	6.18	0.9624	8259	Heighten
仙	598	6.18	1.4525	8833	Immortal
敏锐	599	6.18	1.3354	5365	Keen
赢得	600	6.16	1.6826	3890	Win
娘	601	6.16	1.4758	6658	Woman
典礼	602	6.16	1.2014	6668	Ceremony
床上	603	6.16	1.5566	5743	Bed
美金	604	6.16	1.8556	9625	USD
威望	605	6.16	1.7066	8154	Prestige
高产	606	6.16	1.4619	6569	High yield
圣人	607	6.16	1.5954	9794	Sage
保养	608	6.16	1.4049	8697	Maintenance
务实	609	6.16	1.1493	7380	Pragmatic
兴致	610	6.16	1.3149	7737	Interest
发展	611	6.16	1.2513	23	Developing
幸	612	6.16	1.3149	6044	Fortunately
乐曲	613	6.16	1.4049	8081	Music
父	614	6.16	1.7884	5420	Father
要好	615	6.16	1.2675	8579	Better
增产	616	6.16	1.1843	3626	Production
赠送	617	6.16	1.4479	9477	Gift
气魄	618	6.16	1.2349	9896	Verve
安宁	619	6.16	1.5434	7809	Peaceful
同心	620	6.16	1.3303	9196	Concentric
团结	621	6.16	1.8335	1204	Unite
客气	622	6.16	1.1132	8398	Polite
前所未有	623	6.16	1.4194	4770	Unprecedented
闲暇	624	6.16	1.1314	9401	Leisure
