Word	HappRank	Havg	StDev	Gweb_Rank	TwitterRank	Gbook_Rank	translation
linda	190	7.86	1.0882	3136	321	--	cute
chocolate	191	7.86	1.2456	4055	1086	--	chocolate
bonitas	192	7.86	1.1954	--	2564	--	beautiful
teamo	193	7.84	1.6826	--	1239	--	gor
music	194	7.84	1.3149	1216	1702	--	music
amore	195	7.84	1.3607	--	4083	--	amore
bondad	196	7.84	1.2014	--	--	3703	goodness
loves	197	7.84	1.2014	--	2423	--	loves
free	198	7.84	1.2993	826	2346	--	free
ganancias	199	7.82	1.1008	--	--	4020	earnings
birthday	200	7.82	1.2567	--	2257	--	birthday
good	201	7.82	1.0631	3944	523	--	good
enamora	202	7.82	1.1373	--	2808	--	love
contenta	203	7.82	1.1726	--	4605	--	happy
jajajajaj	204	7.82	1.5345	--	709	--	hahaha
ganador	205	7.82	1.2403	4853	5084	--	winner
sana	206	7.82	1.1899	--	4327	--	healthy
optimismo	207	7.82	1.2887	--	5231	--	optimism
internet	208	7.82	1.1726	175	795	--	Internet
gratitud	209	7.82	1.0631	--	--	4861	gratitude
exitoso	210	7.82	1.4384	--	4337	--	successful
canciones	211	7.82	1.0039	561	762	5232	Songs
novios	212	7.82	1.2728	--	2434	--	boyfriends
estrella	213	7.80	1.1780	2399	2670	3710	star
viernes	214	7.80	1.3553	614	1569	--	Friday
fiestas	215	7.80	1.3401	1345	1137	2681	parties
aventura	216	7.80	1.2778	2449	4683	3936	adventure
jajajaaja	217	7.80	1.5908	--	5147	--	jajajaaja
cumpleaños	218	7.80	1.3093	3368	752	--	birthday
ajajajaj	219	7.80	1.3997	--	3683	--	ajajajaj
flores	220	7.80	0.9258	1246	3124	1094	flowers
felizzz	221	7.80	2.0603	--	2522	--	felizzz
amooo	222	7.80	1.6162	--	1260	--	amooo
amoooo	223	7.80	1.6413	--	2237	--	amoooo
campeón	224	7.80	1.3248	5097	3845	--	champion
mar	225	7.80	1.0690	287	891	486	sea
chistes	226	7.80	1.1780	3545	2842	--	jokes
grandeza	227	7.80	1.0102	--	--	2936	greatness
novia	228	7.80	1.1952	3145	484	--	bride
poesía	229	7.78	1.0359	2514	--	845	poetry
hahahaha	230	7.78	1.3445	--	443	--	hahahaha
campeon	231	7.78	1.2171	--	4583	--	champion
precioso	232	7.78	1.1830	--	3166	--	beautiful
jajajajajja	233	7.78	1.8327	--	3065	--	jajajajajja
mexicano	234	7.78	1.3293	2138	4893	1370	Mexican
genial	235	7.78	0.9957	4246	416	--	brilliant
concierto	236	7.78	1.1119	2025	785	--	concert
hermanos	237	7.78	1.0554	1775	1269	1308	brethren
sueños	238	7.78	1.4184	2809	475	3245	dreams
bonita	239	7.78	1.1830	4587	727	--	nice
miamor	240	7.78	1.5945	--	3606	--	miamor
solidaridad	241	7.78	1.2337	2681	--	2418	solidarity
viajar	242	7.78	1.3293	3280	2399	--	travel
ajajaja	243	7.78	1.4039	--	1748	--	ajajaja
simpatía	244	7.78	0.9957	--	--	4334	sympathy
disfrutar	245	7.78	1.1119	2455	1076	--	enjoy
bailar	246	7.76	1.2545	--	784	--	dance
pretty	247	7.76	1.2545	--	2984	--	pretty
juguetes	248	7.76	1.0214	2292	--	--	toys
tranquilidad	249	7.76	1.1704	--	3877	3525	tranquility
festejos	250	7.76	1.2048	--	5295	--	celebrations
positiva	251	7.76	1.0797	4844	4336	3354	positive
soñar	252	7.76	1.2707	--	1387	--	dream
fun	253	7.76	1.6233	--	1922	--	fun
sexy	254	7.76	1.3334	3019	739	--	sexy
guapo	255	7.76	1.3024	--	1028	--	handsome
jajjajaja	256	7.76	1.9853	--	3621	--	jajjajaja
mama	257	7.76	1.4647	4250	348	--	mamma
riqueza	258	7.76	1.4786	5094	--	1280	wealth
viajes	259	7.74	1.2090	556	4844	3010	travel
universo	260	7.74	1.1747	2835	2716	2185	universe
luna	261	7.74	1.2747	1666	1424	1803	moon
perfecto	262	7.74	1.6138	1944	699	3502	perfect
comida	263	7.74	1.3063	1857	480	2698	food
dulces	264	7.74	1.1920	--	2830	--	confectionery
satisfacción	265	7.74	1.1572	4407	--	2155	satisfaction
películas	266	7.74	1.2090	1156	1542	--	movies
taco	267	7.74	1.2586	--	4094	--	wad
jajajaj	268	7.74	1.4682	--	375	--	jajajaj
libertades	269	7.74	1.0461	--	--	3763	freedoms
piñata	270	7.74	1.1214	--	5018	--	piñata
volar	271	7.74	1.1747	--	3441	--	fly
sabado	272	7.72	1.0887	5212	3688	--	Saturday
rock	273	7.72	1.3559	949	1344	--	rock
juventud	274	7.72	1.1613	2346	5019	1476	youth
graciaas	275	7.72	1.1613	--	4277	--	graciaas
friend	276	7.72	1.1613	4622	1659	--	friend
sorpresas	277	7.72	1.1959	--	2779	--	surprises
valiente	278	7.72	1.1959	--	4270	4910	brave
reí	279	7.72	1.3407	--	2776	--	laughed
ajaja	280	7.72	1.3407	--	1953	--	Spoonbill
gratuitos	281	7.72	1.1613	5179	--	--	Free
best	282	7.72	1.2129	2573	417	--	best
premios	283	7.72	1.0506	1363	--	--	awards
perfecta	284	7.72	1.1256	4708	1326	3169	perfect
armonía	285	7.72	1.0506	--	--	2784	harmony
premium	286	7.72	1.1436	4393	--	--	premium
geniales	287	7.72	1.3099	--	3614	--	great
lindo	288	7.72	1.0698	4028	268	--	cute
comedia	289	7.70	0.9949	4449	5268	3582	comedy
papás	290	7.70	1.3286	--	5156	--	Dads
bienvenido	291	7.70	1.1824	2206	576	--	welcome
lindas	292	7.70	1.0546	--	1690	--	cute
alegrias	293	7.70	1.5152	--	3590	--	joys
amoo	294	7.70	1.2817	--	910	--	amoo
jajaaja	295	7.70	1.3286	--	4078	--	jajaaja
positivas	296	7.70	1.1473	--	4987	--	positive
poema	297	7.70	1.1294	4552	--	1602	poem
gloria	298	7.70	1.2657	2983	3106	1349	glory
cena	299	7.70	1.1112	4425	855	--	dinner
excelencia	300	7.70	1.6067	--	--	2854	excellence
virtud	301	7.70	0.9949	3446	--	774	virtue
juegos	302	7.68	1.0190	133	2060	3479	games
logro	303	7.68	1.4348	--	4212	4494	achievement
jajajja	304	7.68	1.2848	--	1065	--	jajajja
héroes	305	7.68	1.3005	--	--	4433	Heroes
chiste	306	7.68	1.1683	--	1708	--	joke
positivo	307	7.68	1.3768	3487	2433	2906	positive
familias	308	7.68	1.0583	1819	2868	1127	families
exito	309	7.68	1.7893	--	831	--	success
#felizañonuevo	310	7.68	1.6218	--	2150	--	# Felizañonuevo
hermano	311	7.68	1.3468	1934	378	1110	brother
premio	312	7.68	1.4490	1053	3502	2348	award
tacos	313	7.68	1.4205	--	3520	--	taco
baile	314	7.68	1.1147	3803	1473	4531	dance
buenisima	315	7.68	1.3005	--	4567	--	buenisima
descansar	316	7.68	0.9134	--	1440	--	rest
salud	317	7.68	1.3768	149	266	674	health
hahahahah	318	7.68	1.6591	--	3810	--	hahahahah
aceptado	319	7.68	1.2196	--	--	4460	accepted
entretenimiento	320	7.68	1.1328	1657	--	--	entertainment
hogar	321	7.68	1.2362	1070	2518	1945	home
agradecer	322	7.66	1.1359	--	4013	--	thank
bonitos	323	7.66	1.1178	--	3467	--	beautiful
pastel	324	7.66	1.2056	--	3286	--	cake
entusiasmo	325	7.66	1.1713	--	--	2252	enthusiasm
fiel	326	7.66	1.4230	--	2447	2596	faithful
sueña	327	7.66	0.9817	--	4910	--	dreams
funny	328	7.66	1.1537	--	4658	--	funny
ideal	329	7.66	1.0994	2093	4558	1592	ideal
you♥	330	7.66	1.6734	--	4621	--	you ♥
padres	331	7.66	1.2875	1223	1090	797	Parents
mexicana	332	7.66	1.2390	2129	--	1288	Mexican
cantar	333	7.66	1.2390	--	1381	4525	sing
festejo	334	7.66	1.2715	--	3777	--	celebration
sol	335	7.66	1.1537	980	433	765	sun
estrellas	336	7.66	1.2056	1235	2169	3677	stars
luz	337	7.66	1.0422	723	707	497	light
jejejejeje	338	7.66	1.2875	--	4367	--	jejejejeje
brillante	339	7.66	1.0806	--	--	3185	bright
inteligencia	340	7.64	1.1021	3223	4643	1354	intelligence
canción	341	7.64	1.1563	1422	608	4383	song
conciertos	342	7.64	1.2415	1968	4210	--	concerts
disfrutando	343	7.64	1.3211	--	1692	--	enjoy
árbol	344	7.64	1.2898	5176	--	2421	tree
agua	345	7.64	1.2898	298	481	297	water
cantando	346	7.64	1.1563	--	1109	--	singing
bienestar	347	7.64	1.2578	1910	3953	2169	welfare
esperanza	348	7.64	1.2249	2491	1188	1148	hope
amable	349	7.64	1.1739	--	4841	--	friendly
artes	350	7.64	1.0645	1430	--	1445	arts
querida	351	7.64	1.0053	--	1417	--	mistress
jugar	352	7.64	1.0835	1623	664	4970	play
hahahahaha	353	7.64	1.6507	--	1121	--	hahahahaha
barato	354	7.64	1.0254	4915	5247	--	cheap
favorita	355	7.64	1.0254	--	2154	--	Favorite
encantas	356	7.64	1.1911	--	4441	--	encantas
mujer	357	7.64	1.2739	384	320	325	woman
viaje	358	7.64	1.1563	936	969	882	trip
infancia	359	7.62	1.2271	3822	2913	3103	childhood
pasión	360	7.62	1.2271	3981	3748	2300	passion
movie	361	7.62	1.1933	4934	3229	--	movie
esperanzas	362	7.62	1.2436	--	3835	3138	hopes
welcome	363	7.62	1.3231	--	1374	--	welcome
jajajaaj	364	7.62	1.9261	--	4116	--	jajajaaj
admiración	365	7.62	1.4553	--	--	3672	admiration
rica	366	7.62	1.0859	1082	1429	1164	rich
amigas	367	7.62	1.4412	3355	766	--	friends
hermana	368	7.62	1.1761	4361	505	2628	sister
tequiero	369	7.62	1.5894	--	2215	--	tequiero
aprobada	370	7.62	1.1761	--	--	5210	approved
jejejeje	371	7.62	1.0476	--	1522	--	hehehehe
extraordinaria	372	7.62	1.3076	--	--	3171	extraordinary
amas	373	7.62	1.4968	--	980	--	love
lealtad	374	7.62	1.2436	--	--	4684	loyalty
increible	375	7.62	1.1761	--	981	--	incredible
abundancia	376	7.62	1.0859	--	5300	3152	abundance
festival	377	7.62	1.1761	1557	--	--	festival
camita	378	7.62	1.2271	--	2516	--	cot
bebé	379	7.62	1.5238	2992	2292	--	baby
emoción	380	7.62	1.1933	--	2485	3630	emotion
bien	381	7.62	0.9875	113	51	67	well
perfectos	382	7.62	1.4693	--	4526	--	perfect
jajajajja	383	7.62	1.2760	--	1607	--	jajajajja
imaginar	384	7.62	1.2760	--	4049	--	imagine
logros	385	7.60	1.4142	--	3285	--	achievements
adoro	386	7.60	1.0690	--	611	--	love
verano	387	7.60	1.3997	1538	1517	2818	summer
helado	388	7.60	1.3093	--	1494	--	ice
niños	389	7.60	1.1249	408	1043	659	children
soñando	390	7.60	0.9035	--	4554	--	dreaming
jajjaja	391	7.60	1.5518	--	2270	--	jajjaja
win	392	7.60	1.3248	--	4458	--	win
cielo	393	7.60	1.2454	1741	684	966	sky
jajajjaja	394	7.60	1.8952	--	2029	--	jajajjaja
jaja	395	7.60	1.2122	3369	65	--	haha
tqm	396	7.60	1.5649	--	1141	--	tqm
fortaleza	397	7.60	1.1249	--	--	3636	fortress
pareja	398	7.60	1.1780	1417	1416	3405	couple
videojuegos	399	7.60	1.4428	1497	--	--	game
buena	400	7.60	1.0690	345	156	456	good
artístico	401	7.58	1.1445	--	--	4713	artistic
amazing	402	7.58	1.2950	--	726	--	amazing
nacer	403	7.58	1.1622	--	5083	4698	be born
loved	404	7.58	1.5530	--	4953	--	loved
carnaval	405	7.58	1.4299	--	3734	--	carnival
feeeliz	406	7.58	2.1198	--	4696	--	feeeliz
vivo	407	7.58	1.3107	1213	610	2122	live
family	408	7.58	1.7034	--	547	--	family
ama	409	7.58	1.4995	5280	616	4306	love
hahahah	410	7.58	1.4441	--	1775	--	hahahah
vive	411	7.58	1.2631	2242	1045	1632	lives
ternura	412	7.58	1.4010	--	4409	--	tenderness
árboles	413	7.58	1.0515	4647	--	1968	trees
disfruta	414	7.58	1.1622	--	1651	--	enjoy
yeah	415	7.58	1.3415	--	924	--	yeah
#happynewyear	416	7.58	1.7853	--	711	--	# Happynewyear
navidades	417	7.58	1.8193	--	3895	--	Christmas
earth	418	7.58	1.3262	5116	--	--	earth
músicos	419	7.58	1.2304	4135	--	--	musicians
perrito	420	7.58	1.1622	--	3840	--	puppy
felicito	421	7.56	1.0333	--	4708	--	Congratulations
uvas	422	7.56	1.1095	--	548	--	grapes
playing	423	7.56	1.0910	--	5025	--	playing
exitos	424	7.56	1.4450	--	609	--	successes
universidades	425	7.56	1.2961	1939	--	2143	universities
inteligentes	426	7.56	1.1457	--	5307	--	Smart
thanks	427	7.56	1.0529	--	710	--	thanks
aventuras	428	7.56	1.4868	4578	4872	--	Adventures
extraordinario	429	7.56	1.3273	--	--	2794	extraordinary
éxitos	430	7.56	1.3426	--	863	--	successes
calidad	431	7.56	1.0721	273	2585	649	quality
amando	432	7.56	1.3273	--	5130	--	loving
amiguita	433	7.56	1.2316	--	5172	--	girlfriend
tesoro	434	7.56	1.1980	--	--	2635	treasure
feeliz	435	7.56	2.1108	--	3728	--	feeliz
verdad	436	7.56	1.1808	543	174	327	truth
hahahha	437	7.56	1.4868	--	4001	--	hahahha
vidaa	438	7.56	1.7975	--	4140	--	vidaa
#teamo	439	7.56	2.2238	--	4357	--	# Gor
paisaje	440	7.56	1.2643	5048	--	2676	landscape
chula	441	7.56	1.3118	--	5303	--	chula
descansando	442	7.56	1.2961	--	4991	--	resting
increíble	443	7.54	1.3126	--	1007	--	incredible
hahahahahahaha	444	7.54	1.9295	--	4916	--	hahahahahahaha
nuevo	445	7.54	1.2651	62	35	168	new
jajaa	446	7.54	1.2651	--	2129	--	jajaa
sábado	447	7.54	1.3126	1130	4114	--	Saturday
celebra	448	7.54	1.3433	--	4648	--	held
awesome	449	7.54	1.7049	--	2125	--	awesome
lindos	450	7.54	1.2969	--	1925	--	cute
latinoamérica	451	7.54	1.1466	4080	--	--	Latin America
ganó	452	7.54	1.2969	5207	--	--	won
bosques	453	7.54	1.1287	4989	--	3039	forests
lotería	454	7.54	1.5677	5184	--	--	lottery
viva	455	7.54	1.3734	2571	753	2097	alive
juego	456	7.54	1.1287	489	798	1175	game
bebés	457	7.54	1.5414	3277	--	--	Babies
song	458	7.54	1.3433	4145	1154	--	song
rico	459	7.54	1.5677	1387	497	1162	rich
bienvenida	460	7.54	1.0343	4397	1755	--	welcome
encantan	461	7.54	1.0343	--	2096	--	love
latinoamericanos	462	7.54	1.2488	--	--	3431	American
gratuita	463	7.54	1.1466	2464	--	--	free
musical	464	7.54	1.1988	1294	2955	3852	musical
dormir	465	7.54	1.4458	4037	113	4542	sleep
celebrando	466	7.54	1.3126	--	2105	--	celebrating
enjoy	467	7.54	1.1817	--	3347	--	enjoy
parís	468	7.52	1.6567	2677	--	874	Paris
fantasía	469	7.52	1.1292	--	--	4644	fantasy
sí	470	7.52	1.3589	413	256	172	yes
innovación	471	7.52	1.0150	2785	--	--	innovation
mascotas	472	7.52	1.4602	1680	--	--	pets
dulce	473	7.52	0.9528	2639	1268	2427	sweet
life	474	7.52	1.4602	2805	778	--	life
bienvenidos	475	7.52	0.9311	3927	3930	--	welcome
favorito	476	7.52	1.1993	3488	2005	--	favorite
nuevos	477	7.52	1.2656	343	738	558	new
favorite	478	7.52	1.4177	--	4138	--	favorite
guapos	479	7.52	1.4462	--	2358	--	handsome
mujeres	480	7.52	1.3589	447	525	368	women
próspero	481	7.52	1.1822	--	2441	--	prosperous
sex	482	7.52	1.5016	3023	4408	--	sex
vivos	483	7.52	1.3738	--	3993	3534	living
millon	484	7.52	1.5680	--	2896	--	million
primavera	485	7.52	1.0150	4022	--	4094	spring
viajero	486	7.52	1.5151	5306	--	--	traveler
encanta	487	7.50	1.2164	3126	380	--	love
agradable	488	7.50	1.1650	--	4382	5148	nice
piscina	489	7.50	1.1294	2725	1859	--	pool
masajes	490	7.50	1.1294	5186	--	--	Massage
hola	491	7.50	1.1650	335	158	--	hello
gustar	492	7.50	1.2495	--	3573	--	like
baby	493	7.50	1.4743	4238	782	--	baby
favoritos	494	7.50	1.1473	523	4518	--	Favorites
dormiré	495	7.50	1.0738	--	4132	--	sleep
jjajaja	496	7.50	1.7173	--	4345	--	jjajaja
impresionante	497	7.50	1.0152	--	2575	--	awesome
querido	498	7.50	1.1650	4103	963	1548	dear
respeto	499	7.50	1.0546	2162	1577	1196	respect
suerte	500	7.50	1.2495	1352	479	889	luck
sexo	501	7.50	1.7409	606	718	2438	sex
plenitud	502	7.50	1.2495	--	--	4680	fullness
animo	503	7.50	1.2330	--	1834	--	encourage
hope	504	7.50	1.4463	--	777	--	hope
dream	505	7.50	1.0926	--	882	--	dream
billetes	506	7.50	1.3286	3319	--	--	bills
auténtico	507	7.50	1.0926	--	--	4762	authentic
libremente	508	7.50	1.1294	--	--	3823	loosely
home	509	7.50	1.4321	421	1496	--	home
brothers	510	7.50	1.2330	4465	1175	--	brothers
woman	511	7.48	1.4032	--	2403	--	woman
libres	512	7.48	1.3589	2250	--	1761	Free
joven	513	7.48	1.1822	1311	2076	912	young
leal	514	7.48	1.3285	--	--	5073	loyal
quererte	515	7.48	1.2162	--	2746	--	love you
favoritas	516	7.48	1.3886	--	4353	--	Favorite
champagne	517	7.48	1.2974	--	3102	--	champagne
relax	518	7.48	1.2329	--	3199	--	relax
princesa	519	7.48	1.2974	--	1454	--	princess
hijo	520	7.48	1.3438	1160	678	513	son
riquezas	521	7.48	1.4177	--	--	3408	wealth
héroe	522	7.48	1.2656	--	--	3093	hero
domingo	523	7.48	1.5151	725	613	855	Sunday
alimentos	524	7.48	1.3130	1287	--	1799	food
