Word	Havg	StDev	FreqListRank	TwitterRank	translation
keindahan	86	7.58	1.1968	3668	3724	beauty
cintaku	87	7.58	1.1082	4704	1169	love
indahnya	88	7.58	1.1445	--	2951	beauty
pernikahan	89	7.58	1.2137	931	--	wedding
terbaik	90	7.58	1.2631	307	518	best
ahahahaha	91	7.58	1.3716	--	4298	ahahahaha
keajaiban	92	7.58	1.3716	1813	4485	miracle
kaya	93	7.58	1.1082	1010	169	rich
tercinta	94	7.58	1.1265	4977	4059	beloved
sayaang	95	7.58	1.2469	--	4208	sayaang
puas	96	7.58	0.9055	2537	1463	satisfied
hahhaa	97	7.58	1.3415	--	3568	hahhaa
ibu	98	7.56	1.4309	195	225	mother
kedamaian	99	7.56	1.1808	3303	4704	peacefulness
wkwkkw	100	7.56	1.6679	--	3432	wkwkkw
wkwkwkwkwk	101	7.56	2.0118	--	3014	wkwkwkwkwk
menyayangimu	102	7.56	0.9510	2610	3776	love you
birthday	103	7.54	1.0144	--	704	birthday
jenius	104	7.54	1.0343	2100	--	genius
romantic	105	7.54	1.0730	--	6125	romantic
wkwkwkw	106	7.54	1.6189	--	1796	wkwkwkw
liburan	107	7.54	1.1988	1950	362	holiday
wakakaka	108	7.54	1.6807	--	4607	wakakaka
mencintainya	109	7.54	1.1988	1489	4043	love her
mempesona	110	7.54	1.1817	5132	--	dazzle
bercinta	111	7.54	1.0919	1379	--	fuck
menyayangi	112	7.54	1.0730	4793	3420	love
libur	113	7.52	1.1993	3174	479	holiday
beasiswa	114	7.52	1.1993	6154	--	scholarship
sehat	115	7.52	1.1292	1367	915	healthy
menakjubkan	116	7.52	1.2816	1203	--	fabulous
wkakak	117	7.52	1.6066	--	5363	wkakak
loves	118	7.52	1.2816	--	5250	loves
bagus	119	7.52	1.0349	85	332	good
bersyukur	120	7.50	1.1824	3619	1426	be grateful
lulus	121	7.50	1.2976	1725	1730	pass
lezat	122	7.50	1.1650	2731	--	delicious
wakakak	123	7.50	1.6933	--	2653	wakakak
gol	124	7.50	1.5286	5692	1536	goal
pintar	125	7.50	1.0926	762	1653	smart
great	126	7.50	1.2657	1419	1637	great
anugrah	127	7.50	1.3740	--	6046	grace
bidadari	128	7.50	1.0351	--	3654	angel
brilian	129	7.50	1.2495	4174	--	brilliant
istimewa	130	7.50	1.3740	1616	2818	preferential
mengagumkan	131	7.50	1.1995	1547	--	awesome
alhamdullilah	132	7.50	1.7053	--	6178	alhamdullilah
wkwkwkwk	133	7.50	1.8544	--	967	wkwkwkwk
cemerlang	134	7.50	0.9313	5337	--	brilliant
membahagiakan	135	7.48	1.3738	--	3601	beatify
sayang	136	7.48	1.2493	160	109	dear
hehee	137	7.48	1.0150	--	2278	hehee
nikah	138	7.48	1.2329	--	1512	marriage
fun	139	7.48	1.2974	6059	2142	fun
wkakaka	140	7.48	1.8653	--	5148	wkakaka
sembuh	141	7.46	1.1287	2302	926	recover
kiss	142	7.46	1.1287	--	2480	kiss
bangga	143	7.46	1.0539	1003	1194	proud
amazing	144	7.44	1.1808	--	1908	amazing
awesome	145	7.44	1.1095	4127	4025	awesome
sayangku	146	7.44	1.1808	1863	4221	dear
cerdas	147	7.44	1.0529	1509	3761	intelligent
heheheh	148	7.44	1.3726	--	3860	heheheh
damai	149	7.44	1.2480	1622	1993	peace
miliaran	150	7.44	1.1457	6146	--	billions
bijaksana	151	7.44	1.1634	2640	5993	wise
jodohku	152	7.44	1.1808	--	5677	jodohku
smile	153	7.44	1.1980	--	1208	smile
senyuman	154	7.42	0.9708	--	1611	smile
loved	155	7.42	1.3566	--	5672	loved
bersemangat	156	7.42	1.1622	2582	--	vibrant
wkwkwkk	157	7.42	1.7623	--	5686	wkwkwkk
senyum	158	7.42	1.0319	2357	800	smile
hhaha	159	7.42	1.5131	--	1118	hhaha
gratis	160	7.42	1.0515	1577	821	free
ktawa	161	7.42	1.5398	--	5048	ktawa
lovely	162	7.42	1.1796	--	4016	lovely
mulia	163	7.40	1.1606	676	5023	noble
wisuda	164	7.40	1.4142	--	6230	graduation
menikahinya	165	7.40	1.1952	5215	--	married
setia	166	7.40	1.1606	2135	624	faithful
hore	167	7.40	1.2936	5921	5018	hurray
terhebat	168	7.40	1.3401	3294	--	greatest
berkah	169	7.40	1.2617	--	3802	blessing
tuhanku	170	7.40	1.5779	1002	--	my god
fantastis	171	7.40	1.0102	2793	--	fantastic
laughs	172	7.40	1.3553	3998	--	laughs
asmara	173	7.40	1.2289	--	2729	love
ƗƗɐƗƗɐƗƗɐ	174	7.40	1.3851	--	1452	ƗƗɐƗƗɐƗƗɐ
cintai	175	7.40	0.8806	2643	1439	love
keuntungan	176	7.38	1.1229	1759	--	profit
untung	177	7.38	1.0476	4061	1080	profit
jujur	178	7.38	1.2919	903	805	honest
hahaa	179	7.38	1.3834	--	679	hahaa
humoris	180	7.38	1.0280	--	4128	humorous
juara	181	7.38	1.1761	2038	1400	champion
lbu	182	7.38	1.6149	4730	--	Mother
bonus	183	7.38	1.1409	5935	4575	bonus
spesial	184	7.38	1.0280	2076	2211	special
kesetiaan	185	7.38	1.2436	4554	4053	fidelity
haaha	186	7.38	1.2599	--	4469	haaha
berlian	187	7.36	1.3211	2301	--	diamond
funny	188	7.36	1.2081	--	5011	funny
hoki	189	7.36	1.2578	5531	--	hockey
terbaikku	190	7.36	1.2739	4659	--	bestest
ahhaha	191	7.36	1.3211	--	5780	ahhaha
ibuku	192	7.36	1.4251	592	3134	my mother
menikahi	193	7.36	1.2578	2922	--	married
lucu	194	7.36	1.1386	460	535	funny
hehehe	195	7.36	1.2249	--	338	hehehe
bersahabat	196	7.34	1.0806	5388	5652	be friends
keluarga	197	7.34	1.4514	334	748	family
beruntung	198	7.34	1.4654	580	2468	lucky
beauty	199	7.34	1.1886	--	5038	beauty
romance	200	7.34	1.2224	--	6080	romance
nikmat	201	7.34	1.2056	5122	3428	grace
ramah	202	7.34	0.9607	2279	3000	friendly
rajin	203	7.34	1.1359	--	1340	diligent
ahahah	204	7.34	1.2390	--	2583	ahahah
menyukaimu	205	7.34	1.0994	2267	--	love you
kesenangan	206	7.34	1.2224	2154	--	pleasure
sayank	207	7.34	1.3188	--	4928	sayank
merdeka	208	7.34	1.2715	--	5803	independent
humor	209	7.32	1.1507	4605	--	joke
kecerdasan	210	7.32	1.1507	4815	--	intelligence
syukur	211	7.32	1.1147	--	2711	thanks
emas	212	7.32	1.2688	941	2579	gold
bunda	213	7.32	1.4061	--	1905	Mother
pandai	214	7.32	1.0583	2373	1498	clever
asyik	215	7.32	1.0388	--	2196	engrossed
anugerah	216	7.32	1.3468	--	5134	boon
b'day	217	7.32	1.4907	--	3901	b'day
sayangg	218	7.32	1.3161	--	4159	sayangg
bersorak	219	7.32	1.1147	3044	--	cheer
kekasih	220	7.30	1.0926	2405	1982	lover
berhadiah	221	7.30	1.0351	--	2144	prizes
tercapai	222	7.30	1.4033	--	5203	reached
berterimakasih	223	7.30	1.0738	5484	--	grateful
wangi	224	7.30	1.0926	--	2720	fragrant
ˆ⌣ˆ	225	7.30	1.6690	--	2247	⌣
hihihihi	226	7.30	1.2817	--	5660	hihihihi
cintamu	227	7.30	1.3132	5983	1615	love
terimakasih	228	7.30	1.2657	789	1394	thank you
pahlawan	229	7.30	1.4178	871	5812	hero
indonesia	230	7.30	1.6690	5735	244	Indonesia
valentine	231	7.28	1.1613	4095	--	valentine
fresh	232	7.28	1.1436	--	5870	fresh
nyaman	233	7.28	1.2296	1066	1580	cozy
perkawinan	234	7.28	1.1613	2695	--	marriage
smart	235	7.28	1.2461	--	4800	smart
senyummu	236	7.28	1.1959	--	5539	smile
menciummu	237	7.28	0.9906	5490	--	kiss
kencan	238	7.28	1.0309	1365	5873	date
makasiih	239	7.28	1.1959	--	5631	makasiih
menguntungkan	240	7.28	1.1436	3512	--	favorable
kemuliaan	241	7.28	1.1959	4425	--	honor
kecantikan	242	7.28	1.0110	4138	4073	beauty
congrats	243	7.26	1.1031	--	3924	congrats
pujian	244	7.26	1.1214	3854	--	praise
xixixi	245	7.26	1.4259	--	5389	xixixi
refreshing	246	7.26	1.1920	--	6049	refreshing
ciuman	247	7.26	1.3219	1545	3757	kiss
comedy	248	7.26	1.2747	--	5042	comedy
sweet	249	7.26	1.1031	3372	1350	sweet
persahabatan	250	7.26	1.1214	2844	2487	friendship
favorit	251	7.26	1.1572	2337	2662	favorite
weekend	252	7.24	1.4078	--	1879	weekend
piknik	253	7.24	1.1350	6161	--	picnic
thanks	254	7.24	1.0984	1782	288	thanks
kebanggaan	255	7.24	1.1528	4556	--	pride
bebas	256	7.24	1.2048	684	1456	free
malaikat	257	7.24	1.1528	1800	2972	angel
kejujuran	258	7.24	1.2867	--	3212	honesty
ketulusan	259	7.24	1.1877	--	3494	sincerity
hahah	260	7.24	1.3786	--	392	hahah
sahabat	261	7.24	1.1350	1502	532	friend
special	262	7.22	1.2002	--	1367	special
pacar	263	7.22	1.1301	944	200	girlfriend
keren	264	7.22	1.2002	714	437	cool
thankyou	265	7.22	1.1119	--	2363	thankyou
syukurlah	266	7.22	1.2824	3075	--	thankfully
indah	267	7.22	1.2824	361	365	beautiful
penghargaan	268	7.22	1.0554	2933	5666	appreciation
enak	269	7.22	1.0934	859	179	good
ahahha	270	7.22	1.6938	--	5297	ahahha
party	271	7.22	1.2171	--	2234	party
hiburan	272	7.20	1.0690	4070	5814	entertainment
ganteng	273	7.20	1.1249	5825	450	handsome
thank	274	7.20	1.1249	4043	921	thank
memuaskan	275	7.20	1.0302	4742	3335	satisfy
tersenyumlah	276	7.20	0.9258	--	5714	smile
champions	277	7.20	1.4983	--	4093	champions
ahaha	278	7.20	1.6903	--	554	ahaha
tertinggi	279	7.20	1.3851	2696	--	top
bravo	280	7.20	1.1606	3270	--	bravo
handsome	281	7.20	1.1429	--	4353	handsome
anniversary	282	7.20	1.5386	--	2965	anniversary
нªª˘°˘нªª˘°˘нªª˘°˘	283	7.20	2.0102	--	3089	н ª ª ˘ ° ˘ н ª ª ˘ ° ˘ н ª ª ˘ ° ˘
sayangi	284	7.20	1.2778	--	3174	dear
menghibur	285	7.18	1.0039	3821	5382	entertain
sehati	286	7.18	1.1551	--	4923	one heart
amiiin	287	7.18	1.0240	--	4490	amiiin
cheers	288	7.18	1.2887	3707	--	cheers
perayaan	289	7.18	1.2237	3359	--	celebration
berdoa	290	7.18	1.1373	1329	1834	pray
orgasme	291	7.18	1.5868	5128	--	orgasm
alhamdulilah	292	7.18	1.7106	--	1761	God bless you
jodoh	293	7.18	1.2070	--	1587	mate
lancar	294	7.18	1.0437	3190	1108	smooth
kocak	295	7.18	1.0437	--	2105	comical
mother	296	7.18	1.5609	6064	2932	mother
sahabatku	297	7.18	1.1373	4006	--	friend
enjoy	298	7.18	1.0039	--	2404	enjoy
ultah	299	7.16	1.4479	--	1049	birthday
aman	300	7.16	1.2349	342	2209	safe
kenyamanan	301	7.16	1.1132	5630	--	comfort
tulus	302	7.16	1.2993	--	1012	sincere
lega	303	7.16	1.2014	4246	4673	relieved
peace	304	7.16	1.1493	--	2823	peace
wakaka	305	7.16	1.6704	--	3251	wakaka
perhiasan	306	7.16	1.1132	4136	--	jewelry
ibadah	307	7.16	1.4337	--	2902	worship
gift	308	7.16	1.2993	--	4102	gift
suka	309	7.16	1.1669	144	80	love
impian	310	7.14	1.2456	2656	2930	dream
asiik	311	7.14	1.2456	--	4391	asiik
pretty	312	7.14	1.1608	3642	4878	pretty
mesra	313	7.14	1.3095	--	4543	intimate
baik	314	7.14	1.1068	32	97	good
wisata	315	7.14	1.1608	--	4218	tour
kuat	316	7.14	1.1068	420	572	strong
mengesankan	317	7.14	1.0692	2506	--	impress
memenangkan	318	7.14	1.2456	1418	--	win
goal	319	7.14	1.4429	--	4595	goal
makan2	320	7.14	1.1954	--	5117	makan2
selamat	321	7.14	1.0304	133	137	congratulations
menyukaiku	322	7.14	1.1608	3908	--	likes
peluk	323	7.14	1.1068	5988	2479	hug
akrab	324	7.14	1.2291	3245	5920	familiar
mencium	325	7.12	1.0428	1291	--	kiss
menciumnya	326	7.12	1.0428	4283	--	kiss
syukuri	327	7.12	1.2558	--	6140	thankful
seneng	328	7.12	1.6243	--	511	happy
cerah	329	7.12	1.1364	2864	2279	bright
menciumku	330	7.12	1.0428	4502	--	kiss
terkenal	331	7.12	1.3037	1077	3349	famous
merayakan	332	7.12	1.3037	2586	3444	celebrate
tunangan	333	7.12	1.1542	4461	--	fiance
cakep	334	7.12	1.2229	--	1206	saucy
semangat	335	7.12	1.1364	1661	301	spirit
amiin	336	7.12	1.1542	--	2083	ameen
famous	337	7.12	1.1364	--	6175	famous
kebaikan	338	7.12	1.1364	1757	1734	goodness
honey	339	7.12	1.0428	2781	4921	honey
amien	340	7.12	1.3037	--	2630	amen
karunia	341	7.12	1.2061	5489	--	bounty
cantikk	342	7.12	1.6860	--	5767	cantikk
memeluk	343	7.10	1.1294	5458	--	hug
kebebasan	344	7.10	1.1112	1613	--	freedom
manis	345	7.10	0.9091	614	740	sweet
family	346	7.10	1.4463	--	1811	family
segar	347	7.10	1.3887	1675	--	fresh
pelukan	348	7.10	1.0926	4348	4651	hug
wkwkwkrt	349	7.10	1.6194	--	4253	wkwkwkrt
favoritku	350	7.10	1.1650	4660	--	favorite
favorite	351	7.10	1.2164	--	1911	favorite
win	352	7.10	1.6568	--	2228	win
penyelamat	353	7.10	1.2330	2747	--	savior
menawan	354	7.10	1.0351	5658	--	charming
tampan	355	7.10	1.2330	1441	4771	handsome
permata	356	7.10	1.3439	5294	--	jewel
ƗƗɑƗƗɑ	357	7.10	1.3740	--	5909	ƗƗɑƗƗɑ
aamiin	358	7.10	1.7053	--	4481	aamiin
bersih	359	7.10	1.0351	964	2863	net
pelangi	360	7.10	1.0351	6187	3121	rainbow
good	361	7.08	1.2752	1309	266	good
traktir	362	7.08	1.0850	--	2091	treat
friend	363	7.08	1.3529	--	1311	friend
aminn	364	7.08	1.4961	--	2949	aminn
kelahiran	365	7.08	1.2262	3719	--	birth
jalan-jalan	366	7.08	1.1925	--	5533	walk
sopan	367	7.08	0.8999	1861	3332	polite
meluk	368	7.08	1.1925	--	5466	embracing
menyelamatkan	369	7.08	0.9864	487	--	save
friends	370	7.08	1.3827	--	350	friends
pinter	371	7.08	1.0660	--	1065	clever
gaji	372	7.08	1.4119	3703	4149	salary
kreatif	373	7.08	1.0850	6055	2745	creative
adil	374	7.06	1.3001	1106	2691	fair
sunrise	375	7.06	1.4902	--	5512	sunrise
hehhe	376	7.06	1.3911	--	4470	hehhe
hihihi	377	7.06	1.2683	--	1437	lol
panen	378	7.06	1.4626	4991	--	harvest
kagum	379	7.06	1.3001	5364	--	amazed
menyukainya	380	7.06	1.3001	842	--	love it
bersinar	381	7.06	1.0956	2476	6082	shine
sunday	382	7.06	1.5440	--	2266	sunday
god	383	7.06	2.1132	2142	658	god
positif	384	7.06	1.0768	3027	2285	positive
kebenaran	385	7.06	1.1851	920	4512	truth
abadi	386	7.06	1.1851	2370	3644	perennial
ikhlas	387	7.06	1.4902	--	1564	sincere
mantap	388	7.06	1.1851	5102	1282	steady
wkaka	389	7.04	1.7019	--	4962	wkaka
luck	390	7.04	1.0872	2823	1368	luck
ideal	391	7.04	1.2115	--	6064	ideal
isteriku	392	7.04	1.2930	3989	--	wife
berpesta	393	7.04	1.5113	4772	--	celebrate
berkat	394	7.04	1.1773	3495	4754	thanks to
bersantai	395	7.04	1.1599	4940	--	relax
keabadian	396	7.04	1.3087	5292	--	immortality
cute	397	7.04	0.9889	4622	2283	cute
inspirasi	398	7.04	1.1058	4885	4648	inspiration
mommy	399	7.04	1.4136	2967	5750	mommy
bermanfaat	400	7.04	1.0872	--	4375	useful
pacarku	401	7.04	1.3087	2354	3266	my boyfriend
pesta	402	7.04	1.3242	572	2888	party
terkesan	403	7.04	1.0294	2714	--	impressed
menolong	404	7.04	1.3395	1512	--	help
langgeng	405	7.04	1.2447	--	2717	imperishable
populer	406	7.02	1.1865	4511	--	popular
bagusnya	407	7.02	1.2036	5772	--	The good
menikmatinya	408	7.02	1.1156	3615	--	enjoy it
cium	409	7.02	1.2204	2406	1868	kiss
suci	410	7.02	1.3476	1435	3858	holy
pemenangnya	411	7.02	1.2370	6144	--	winner
traktiran	412	7.02	1.2204	--	5328	treat
super	413	7.02	1.3169	1349	671	super
makasihh	414	7.02	1.1337	--	4925	makasihh
wkwkk	415	7.02	1.6720	--	3593	wkwkk
awards	416	7.02	1.3323	--	5199	awards
kejutan	417	7.02	1.3013	1241	4892	shock
keikhlasan	418	7.02	1.4356	--	6110	sincerity
gratisan	419	7.02	1.6098	--	5638	free
milyar	420	7.02	1.4637	4515	--	billion
mempercayaiku	421	7.02	0.9145	5091	--	trust me
amal	422	7.02	1.4213	5551	3750	charity
lembut	423	7.02	1.1337	1575	4006	soft
setuju	424	7.00	1.1606	656	1130	agree
membaik	425	7.00	1.2122	5120	--	improve
persaudaraan	426	7.00	1.2617	5111	--	brotherhood
baik-baik	427	7.00	1.0498	--	4835	OK
paris	428	7.00	1.1429	1353	3301	Paris
kasih	429	7.00	1.1780	77	256	love
hehe	430	7.00	1.1429	--	101	hehe
kebaikanmu	431	7.00	1.1249	6072	--	kindness
berciuman	432	7.00	1.7261	6068	--	smooch
wow	433	7.00	1.3851	483	950	wow
senanglah	434	7.00	1.1249	5242	--	fun
canggih	435	7.00	1.0102	5239	--	Sophisticated
thank's	436	7.00	1.2936	--	2331	thank's
santai	437	7.00	0.9897	1306	1529	relaxed
seru	438	6.98	1.3626	--	615	exclaimed
money	439	6.98	1.3923	--	2346	money
terhormat	440	6.98	1.1156	2127	--	honorable
asik	441	6.98	1.4356	--	453	cool
keberanian	442	6.98	1.3323	1614	--	courage
diskon	443	6.98	1.1692	--	3950	discount
kebijaksanaan	444	6.98	1.2856	5488	--	wisdom
kenyang	445	6.98	1.0784	--	1589	full
imut	446	6.98	1.3013	--	1510	cute
better	447	6.98	1.2036	--	1458	better
pemberani	448	6.98	0.9792	3669	--	intrepid
medali	449	6.98	1.2036	3273	--	medal
harapan	450	6.98	1.3013	962	877	hope
berharga	451	6.98	1.2036	1074	2239	valuable
becanda	452	6.98	1.0200	--	3094	Kidding
christmas	453	6.98	1.5971	3826	486	christmas
kehidupan	454	6.98	1.4637	390	1090	life
menikmati	455	6.98	0.9366	1149	2107	enjoy
cintanya	456	6.98	1.2370	--	4296	love
murah	457	6.98	1.2204	2011	1200	cheap
kompak	458	6.98	0.9998	--	4206	compact
jago	459	6.98	0.9366	5078	2082	champion
kebersamaan	460	6.98	1.2036	--	6184	togetherness
wkwkw	461	6.98	1.7899	--	792	wkwkw
heheh	462	6.98	1.3923	--	1539	heheh
mempercayaimu	463	6.96	1.1241	3653	--	trust
hug	464	6.96	1.4136	--	3330	hug
bercanda	465	6.96	1.0490	601	2396	joke
hobby	466	6.96	1.1945	--	5825	hobby
mengagumi	467	6.96	1.2930	4737	--	admire
top	468	6.96	1.3547	4718	1728	top
berpacaran	469	6.96	1.2282	5754	--	date
peluang	470	6.96	1.1241	2441	4461	chance
kekayaan	471	6.96	1.3395	3920	--	wealth
menyukai	472	6.96	0.9889	841	2678	like
ωkωk	473	6.96	1.6408	--	5954	ωkωk
strong	474	6.96	1.2115	--	2829	strong
do'a	475	6.96	1.5381	--	4513	prayer
amin	476	6.96	1.3242	2472	330	amen
rileks	477	6.96	1.0294	5740	--	relax
lol	478	6.94	1.6953	--	894	lol
wkwk	479	6.94	1.3911	--	103	wkwk
cntik	480	6.94	1.4344	--	3463	cntik
respect	481	6.94	1.2521	--	6057	respect
iman	482	6.94	1.3614	3379	4385	faith
nice	483	6.94	1.3001	1484	686	nice
canda	484	6.94	1.1502	--	3225	joke
hohoho	485	6.94	1.8116	--	2810	hohoho
mewah	486	6.94	1.0768	3228	--	plush
dihormati	487	6.94	1.1323	5158	--	be respected
benar	488	6.94	1.2357	51	932	true
dihargai	489	6.94	1.1502	6226	--	be valued
kemajuan	490	6.94	1.2357	3155	--	progress
pengantin	491	6.94	1.1851	2372	--	bride
berkencan	492	6.94	0.9982	3346	--	date
cerdik	493	6.94	1.1141	6234	--	clever
bijak	494	6.94	1.0956	4012	2920	wise
mendukung	495	6.94	1.1502	2024	3446	support
bernyanyi	496	6.94	1.1141	1716	--	sing
mempercayainya	497	6.92	1.1753	3186	--	believe
profesional	498	6.92	1.0270	2109	--	professional
mantab	499	6.92	1.5497	--	5592	mantab
berjumpa	500	6.92	1.3827	2929	--	meet
aminnn	501	6.92	1.2428	--	5529	aminnn
dream	502	6.92	1.0850	5443	1202	dream
hero	503	6.92	1.1925	--	5251	hero
seindah	504	6.92	1.1925	--	6221	beautiful
orangtua	505	6.92	1.5887	2468	3939	parents
pizza	506	6.90	1.1112	2587	4508	pizza
motivasi	507	6.90	1.1824	--	3921	motivation
nyantai	508	6.90	1.0738	--	4138	nyantai
cuti	509	6.90	1.1995	4979	5975	leave
piala	510	6.90	1.1650	3267	3547	cup
tercepat	511	6.90	1.1473	6192	5452	fastest
pacaran	512	6.90	1.0738	6160	428	courtship
bday	513	6.90	1.5286	--	5923	bday
asikk	514	6.90	1.4604	--	3658	asikk
fantasi	515	6.90	1.1473	4357	--	fantasy
nikmatilah	516	6.90	1.2495	5081	--	enjoy
berbakat	517	6.90	1.1824	3105	--	talented
berani	518	6.90	1.3286	721	918	bold
dipercaya	519	6.90	1.2495	1707	--	be trusted
cintailah	520	6.90	1.1112	--	5936	love
kesukaanku	521	6.90	1.0546	5668	--	favorite
hidup	522	6.90	1.3887	124	195	life
ehehe	523	6.88	1.4934	--	3804	ehehe
asikasik	524	6.88	1.2061	--	6248	asikasik
ngerayain	525	6.88	1.0999	--	4897	ngerayain
music	526	6.88	1.3192	5191	1372	music
kepercayaan	527	6.88	1.1542	2047	2398	confidence
puji	528	6.88	1.2061	--	3808	Praise
ktwa	529	6.88	1.8142	--	5126	ktwa
ksatria	530	6.88	1.3649	2058	--	knight
dreams	531	6.88	1.2395	--	3993	dreams
1st	532	6.88	1.4658	--	3703	1st
jagoan	533	6.88	1.0999	4294	6025	whiz
star	534	6.88	1.1718	3597	2990	star
harmoni	535	6.88	1.2558	--	5649	harmony
free	536	6.88	1.3037	3533	1254	free
putriku	537	6.86	1.2456	1776	--	my daughter
miliar	538	6.86	1.5651	3286	5061	billion
diandalkan	539	6.86	1.1068	5225	--	reliable
mom	540	6.86	1.4709	1313	806	mom
jiahaha	541	6.86	1.7144	--	5423	jiahaha
mantep	542	6.86	1.1250	--	3554	mantep
hihi	543	6.86	1.1954	--	788	hihi
gagah	544	6.86	1.0692	5845	--	dashing
warisan	545	6.86	1.3852	4543	--	heritage
doa	546	6.86	1.3250	3315	855	prayer
hadiahnya	547	6.86	1.1954	--	5306	prize
easy	548	6.86	1.1068	3398	3762	easy
mempercayai	549	6.86	1.2291	2092	--	trust
syang	550	6.86	1.4984	--	2359	syang
couple	551	6.86	1.1954	--	2471	couple
santun	552	6.86	1.3403	5776	--	mannered
seruu	553	6.86	1.4709	--	5797	Seruu
keluargaku	554	6.86	1.4709	1563	--	family
kehormatan	555	6.86	1.4570	1157	--	honor
jaya	556	6.86	1.1954	--	3025	victorious
mama	557	6.86	1.5254	757	342	mama
