Word	Havg	StDev	FreqListRank	TwitterRank	translation
브레인	1424	5.90	1.0152	--	3977	Brain
팬들	1425	5.90	1.0152	--	3691	Fans
원더걸스	1426	5.90	1.0546	--	3819	Wonder
디자인	1427	5.90	0.9742	--	2947	Design
참여하세요	1428	5.90	0.8864	--	5455	Join
정보	1429	5.90	0.9091	--	1018	Information
파란	1430	5.90	1.1112	3292	--	Blue
잘거예요	1431	5.90	1.0926	4728	--	I'll
노란	1432	5.90	0.8864	3032	--	Yellow
핫도그	1433	5.90	1.0738	2923	--	Dog
스마트폰	1434	5.90	1.1650	--	956	Smartphones
유튜브	1435	5.90	0.9530	--	6240	YouTube
무도	1436	5.90	1.2330	--	2280	Martial Arts
딸이	1437	5.90	1.0738	1745	5142	Daughter
우리가	1438	5.90	1.0546	7	206	We
주스	1439	5.90	0.9949	4681	--	Juice
자기도	1440	5.90	1.1824	--	5973	You too
아침밥은	1441	5.90	0.8631	4953	--	Breakfast is
wanna	1442	5.90	1.0546	--	5384	wanna
20대	1443	5.90	1.0926	--	2301	20
냉면집	1444	5.90	0.9949	--	4045	Noodle house
편히	1445	5.90	0.9091	2272	2508	Relax
막내	1446	5.90	1.1824	--	5924	The youngest
아이유	1447	5.90	1.1294	--	584	IU
연말에	1448	5.90	1.3439	--	2843	At the end of the year
전화해	1449	5.90	1.0152	1288	--	Call
정답은	1450	5.90	0.9091	--	3839	The answer is
배운	1451	5.90	0.9313	1265	--	Learned
연애자	1452	5.90	0.9091	2943	--	Gay
있음	1453	5.90	0.8391	--	637	In
오빠의	1454	5.90	1.1824	--	3669	Brother
날씨	1455	5.90	0.9742	--	1525	Weather
추천인	1456	5.90	1.0738	--	5182	Recommended
기도를	1457	5.90	1.1112	462	--	Prayer
낫지	1458	5.90	0.8391	1664	5970	Beats
리얼	1459	5.90	1.0546	--	4458	Real
완두콩	1460	5.90	0.9313	5082	--	Peas
오빠들이	1461	5.90	1.0546	--	3521	Brothers are
드라마	1462	5.90	0.8864	1732	1081	Drama
주무세요	1463	5.90	0.8631	1142	2029	Night.
쉽게	1464	5.90	1.0738	669	688	Easy
영국	1465	5.90	1.0152	4548	3259	England
한국에	1466	5.90	1.2164	--	2500	South Korea
세계의	1467	5.90	1.1294	--	5584	World
[4차이벤트]	1468	5.90	1.1294	--	1742	[4 car event]
슈퍼마켓	1469	5.90	1.0351	5109	--	Supermarket
확실한거야	1470	5.90	1.0738	3879	--	Are you sure
새벽	1471	5.90	0.8864	--	898	Dawn
페퍼민트술	1472	5.90	1.1995	4700	--	Peppermint liquor
공연을	1473	5.90	0.9742	--	4264	Show
과학	1474	5.90	1.1650	--	4117	Science
떠오르는	1475	5.90	0.9949	--	4530	Rising
여자랑	1476	5.90	1.0546	1752	--	Her.
해결할	1477	5.90	1.0546	2952	--	Resolved
행사	1478	5.90	0.8144	--	2212	Event
남편	1479	5.90	1.1995	--	5246	Husband
엘프	1480	5.90	0.9742	--	5044	Elf
기억나	1481	5.90	0.8631	3420	--	Remember me
모든	1482	5.90	0.9949	20	121	All
안뇽	1483	5.90	1.2657	--	3093	Hello
목표를	1484	5.90	0.9530	--	4497	Goals
요리할	1485	5.90	0.8631	5098	--	Cooking
싱글	1486	5.88	0.9613	3325	4590	Single
한마디~	1487	5.88	0.9179	--	1095	In short ...
통하는	1488	5.88	1.0029	--	6128	Through
광화문	1489	5.88	0.9613	--	2199	Gwanghwamun
꺅	1490	5.88	1.6616	--	2027	Screams
힘이	1491	5.88	0.8953	2553	849	Power
아이스링크	1492	5.88	0.9613	--	6301	Ice Rink
민주주의	1493	5.88	1.2229	--	2525	Democracy
뚜레쥬르	1494	5.88	1.2061	--	4681	Tturejyureu
서울은	1495	5.88	1.0812	--	4602	Seoul
오오오	1496	5.88	1.0812	--	3077	Ohhhh
보호해줘서	1497	5.88	1.0230	5190	--	Letting protection
힘입어	1498	5.88	0.9179	--	3144	Thanks
귀하신	1499	5.88	0.9398	5091	--	Precious
우리나라는	1500	5.88	1.2720	--	4220	Korea is
발견	1501	5.88	0.8953	708	2241	Discovery
참여해주세요	1502	5.88	0.9613	--	3738	Please participate in
많은분들이	1503	5.88	0.9398	--	4317	Many people
수상	1504	5.88	1.4377	--	2770	Awards
IT	1505	5.88	1.0230	--	5099	IT
생기면	1506	5.88	1.0230	998	3850	Saenggimyeon
지켜주니까	1507	5.88	1.0622	5164	--	Watch nakedness ...
태어난	1508	5.88	0.7990	3158	4301	Born
CGV	1509	5.88	1.1364	--	5923	CGV
그렇습니다	1510	5.88	0.9179	990	4423	Yes
스타일은	1511	5.88	0.7730	--	4139	Style
축구	1512	5.88	1.2061	--	3753	Football
will	1513	5.88	0.8722	--	1150	will
괜찮지	1514	5.88	1.0230	1559	--	Ok
소통을	1515	5.88	1.0428	--	4205	Communication
분위기	1516	5.88	0.8722	--	1790	Atmosphere
기억	1517	5.88	0.9823	253	2373	Memory
계획	1518	5.88	0.8953	--	3451	Plan
마음의	1519	5.88	0.8953	--	2414	Mind
영국서	1520	5.88	1.1183	4778	--	British West
발효	1521	5.88	0.8722	--	5733	Fermentation
사진	1522	5.88	0.9398	1776	167	Photo
그녀에게	1523	5.88	0.9179	750	--	Her
모두들	1524	5.88	0.8722	601	938	Everyone
건배는	1525	5.88	0.8485	5088	--	Cheers is
달려라	1526	5.88	0.9398	--	3961	Ride
먹으러	1527	5.88	1.2061	--	2549	Eat
최저가	1528	5.88	1.4518	--	3031	Low
마음에	1529	5.88	0.9398	961	728	Heart
하이킥	1530	5.88	1.0029	--	5716	Kick
노트북	1531	5.88	1.1718	--	4219	Notebook
기분은	1532	5.88	0.8953	--	4086	Feeling
궁극적인	1533	5.88	0.9179	5033	--	Ultimate
배울	1534	5.88	0.8241	2726	--	Learn
민속	1535	5.88	0.9823	2990	--	Folk
빵을	1536	5.88	0.8953	5066	--	Bread
대서양	1537	5.88	1.0622	5235	--	Atlantic Ocean
탐라	1538	5.88	1.1891	--	2723	Tamra
하늘은	1539	5.88	1.0999	1955	--	The sky was
들어주소서	1540	5.88	0.9823	1431	--	Hear
소식이요	1541	5.88	0.9398	4527	--	Iyo News
아들이	1542	5.88	1.1542	791	4854	Son
누나도	1543	5.88	1.0622	--	3563	Sister.
와	1544	5.88	0.9398	--	142	With
정의가	1545	5.88	1.0812	--	5175	Definition
순결을	1546	5.88	1.0812	1959	--	Purity
돌파	1547	5.86	1.0692	--	2377	Breakthrough
처음이야	1548	5.86	0.8809	1615	--	It's the first time
약속드립니다	1549	5.86	0.9691	2931	--	Promise
언니도	1550	5.86	1.0500	--	1838	My sister is also
우리	1551	5.86	0.9691	12	35	We
어릴때	1552	5.86	1.0692	--	6003	Childhood
자동차	1553	5.86	1.0500	606	4162	Car
아내는	1554	5.86	0.9260	1037	--	Wife
기린은	1555	5.86	0.9691	4513	--	Giraffes
출연	1556	5.86	1.1250	--	1917	Cast
with	1557	5.86	0.9260	--	639	with
먹어야겠군	1558	5.86	0.9899	4861	--	The main course
지켜드립니다	1559	5.86	1.0304	4782	--	We watched
시작됐어요	1560	5.86	0.9037	4550	--	It started
흰색	1561	5.86	1.0500	4183	--	White
살아요	1562	5.86	0.9691	2306	--	Live
여보세요	1563	5.86	0.9260	751	--	Hello
오빤	1564	5.86	0.9260	--	2505	But you're
쪽지	1565	5.86	0.8574	--	4790	Note
한국은	1566	5.86	1.3704	--	2224	South Korea
Follow	1567	5.86	0.9260	--	2917	Follow
my	1568	5.86	0.9260	--	362	my
대학	1569	5.86	1.0500	--	1488	University
한국이	1570	5.86	1.1954	--	5109	South Korea
모두모두	1571	5.86	0.8574	--	3363	All in all,
한국에서	1572	5.86	1.1608	--	2151	South Korea
엄청	1573	5.86	1.0882	1514	230	Very
크고	1574	5.86	1.0882	1918	3274	Large
말씀은	1575	5.86	0.9899	1216	--	Word
도움을	1576	5.86	0.9691	3487	3608	Help
비즈니스	1577	5.86	0.9478	3369	--	Business
자기는	1578	5.86	1.0104	--	5450	Magnetism
포인트	1579	5.86	0.9037	--	5477	Point
무대	1580	5.86	0.9037	--	1058	Stage
해주십시오	1581	5.86	0.9260	1432	--	Please
모두가	1582	5.86	1.0104	598	1306	All
운동을	1583	5.86	0.9037	--	3837	Exercise
고고	1584	5.86	1.0104	--	2720	Archaeology
놀고	1585	5.86	1.0692	--	2366	Play
당신	1586	5.86	0.8332	33	1173	You
먹고	1587	5.86	0.9037	344	196	Eat
관심	1588	5.86	0.8809	4668	655	Interest
really	1589	5.86	1.0500	--	2668	really
언닌	1590	5.86	1.0500	--	5358	My sister
잘지내	1591	5.86	1.1430	3873	--	What's up
원하는	1592	5.86	0.8084	243	1123	You
셋째도안전	1593	5.86	0.9691	--	560	Third, it is safe
확실하게	1594	5.86	0.8574	--	4367	Surely
쉬어가요	1595	5.86	1.0304	4661	--	You rest
홍보	1596	5.86	0.9899	--	2528	PR
예수님	1597	5.86	1.8953	700	--	Jesus
기분이야	1598	5.86	0.8574	3874	--	I feel like I'm
남편도	1599	5.86	1.3095	2569	--	Husband
신부님	1600	5.86	1.1782	925	--	Father
think	1601	5.86	0.9478	--	563	think
출발해요	1602	5.86	0.8574	4854	--	I'm from
지원	1603	5.86	0.9899	3090	2252	Support
애들	1604	5.86	1.2291	1647	608	Kids
교환권	1605	5.86	0.9691	--	5911	Coupon
집에	1606	5.86	1.0104	113	190	Home
나누고	1607	5.86	0.8084	2563	--	Share
효용가치	1608	5.86	0.9260	5072	--	Utility value
빵빵한	1609	5.86	0.9478	--	4182	Air-tight
그녀한테	1610	5.86	0.8809	2210	--	Her.
자원	1611	5.86	1.1430	3451	--	Resources
마음을	1612	5.86	0.9260	338	480	Heart
진실을	1613	5.86	1.0882	--	1291	Truth
실력이	1614	5.86	0.8332	--	5915	Skills
알았다	1615	5.86	0.8084	--	2405	Found
손잡고	1616	5.86	1.0500	--	4958	Hand
미래가	1617	5.86	0.8574	1571	5283	Future
맞춥니다	1618	5.86	0.9260	3453	--	Align
성당	1619	5.86	0.9899	3421	--	Cathedral
당신이	1620	5.84	0.9337	4	685	You
아이가	1621	5.84	1.0759	2673	1554	Children
넹넹	1622	5.84	1.0947	--	5557	Nengneng
우왕	1623	5.84	1.4337	--	587	Woowang
응응	1624	5.84	1.0174	--	410	Eungeung
해볼까	1625	5.84	1.0373	--	4318	Shall we
라스베가스로	1626	5.84	1.3456	1995	--	Las Vegas
헤에	1627	5.84	1.1314	--	4620	On H.
휴대폰	1628	5.84	0.9553	3055	3919	Cellular phone
up	1629	5.84	1.0174	--	1614	up
2명에게쏩니다	1630	5.84	1.2993	--	4798	Shoot two people
간단하게	1631	5.84	0.7918	3509	5871	Simply
대화를	1632	5.84	0.9553	2793	2939	Conversation
필요해	1633	5.84	1.1314	768	4637	We need
아이의	1634	5.84	1.1493	1849	5407	The child's
트윗절친2	1635	5.84	1.0174	--	3323	Two best friends Tweet
참석	1636	5.84	0.8657	--	3234	Attend
눈빛을	1637	5.84	0.8889	4642	--	Look for
We	1638	5.84	0.9116	--	2958	We
열린	1639	5.84	0.7384	--	2472	Open
부	1640	5.84	1.1132	--	5774	Department
갑시다	1641	5.84	0.8172	758	5728	Let
아맞다	1642	5.84	0.8172	--	3419	Oh, right.
비행기가	1643	5.84	1.0568	1575	--	Plane
공부하고	1644	5.84	0.9765	--	4714	Study
안아	1645	5.84	0.8889	3250	--	Hold
새로	1646	5.84	0.8172	2862	886	New
지방손님대환영	1647	5.84	1.0759	--	2523	Welcome local guests
갤럭시	1648	5.84	1.0373	--	2907	Galaxy
마침내	1649	5.84	1.0373	2107	--	And finally
인증샷	1650	5.84	0.9971	--	1484	Certified shots
ㅋㅋㅋRT	1651	5.84	1.0373	--	4488	RT blah blah
사탕이라도	1652	5.84	0.8172	5147	--	Even candy
침대	1653	5.84	0.9116	1400	--	Bed
스스로	1654	5.84	0.8889	1922	593	For yourself
서로를	1655	5.84	0.8418	1466	5388	Each other
received	1656	5.84	0.8418	--	2062	received
불빛	1657	5.84	0.9337	3301	--	Light
드릴까요	1658	5.84	0.8172	588	--	Would you like
늘	1659	5.84	1.0759	--	376	Always
나무같은	1660	5.84	1.2182	4292	--	Ligneous
팀	1661	5.84	0.8657	--	3849	Team
효과가	1662	5.84	0.8172	--	3965	Effect
연락올꺼고	1663	5.84	0.9337	4242	--	Contact gonna be high
이기는	1664	5.84	0.9765	--	5250	Win
오빠는	1665	5.84	0.9553	--	1237	Brother
예의예요	1666	5.84	0.9116	5311	--	It's polite
잘게요	1667	5.84	1.0373	2295	--	I'll sleep
효과	1668	5.84	0.7656	--	1967	Effect
싶어요	1669	5.84	1.1843	252	1314	I want to
대화는	1670	5.84	0.9971	4148	--	Conversation
내년에	1671	5.84	0.9116	--	735	Next year
많은	1672	5.84	0.8172	196	80	Many
계획을	1673	5.84	0.8657	1950	5281	Plan
생각한다	1674	5.84	0.7656	--	2379	Think
많고	1675	5.84	0.8172	--	1979	Lots
지구에	1676	5.84	1.0373	3766	--	Earth
서울특별시	1677	5.84	1.0947	--	2624	Seoul
식사를	1678	5.84	0.9337	2765	--	Meal
티켓	1679	5.84	1.0568	--	3178	Tickets
햇반	1680	5.82	0.8497	--	5361	Cooked
만든다	1681	5.82	0.8497	--	3924	Makes
파리바게트	1682	5.82	1.1192	--	3979	Paris Baguette
넹	1683	5.82	0.9833	--	543	Neng
울랄라세션	1684	5.82	1.2728	--	4127	Kerala session wool
연극	1685	5.82	0.9190	3166	--	Theater
이벤트는	1686	5.82	1.0437	--	4937	Events
환경은	1687	5.82	1.0631	5014	--	Environment
옷	1688	5.82	0.8965	--	730	Dress
하나님은	1689	5.82	1.7692	3101	6084	God
만나게	1690	5.82	0.8254	2426	--	Meet
너에게	1691	5.82	0.9190	--	2464	Thee
괜찮은데	1692	5.82	0.9409	--	3610	Not bad.
카운셀링	1693	5.82	0.8734	4288	--	Counseling
첫날	1694	5.82	1.1192	--	5895	Premiere
당신에게	1695	5.82	0.9833	275	4303	You
G마켓	1696	5.82	1.1008	--	1665	G Market
all	1697	5.82	0.9409	--	1476	all
돈은	1698	5.82	1.3045	1722	3152	Money
너와	1699	5.82	1.0631	682	4067	You
내일을	1700	5.82	0.8497	--	5502	Tomorrow
책은	1701	5.82	0.8497	--	4324	Book
그녀	1702	5.82	0.8734	916	--	She
첫번째	1703	5.82	0.8965	--	3448	First
널리	1704	5.82	1.1192	--	621	Broadly
해주신	1705	5.82	0.9190	--	2513	Haejusin
선생님	1706	5.82	1.0039	258	1248	Teachers
알겠어요	1707	5.82	0.9190	3553	--	I know
우리들의	1708	5.82	0.7475	--	5316	Our
인생을	1709	5.82	0.9624	1780	2590	Life
외국	1710	5.82	0.9624	--	5691	Foreign
전통을	1711	5.82	0.7197	2764	--	Tradition
생각합니다	1712	5.82	0.8497	804	1508	I think that
기회에	1713	5.82	0.8254	3641	--	Opportunities
될거야	1714	5.82	1.0240	457	--	'll
아침에	1715	5.82	0.8497	335	495	In the morning
가지다	1716	5.82	1.0240	4001	--	It easy
할까	1717	5.82	0.7475	944	1277	Do
맞이하여	1718	5.82	0.7743	--	5128	Welcome to
구하자	1719	5.82	0.9624	2393	--	Save the
이거야	1720	5.82	0.9409	3092	--	This is it
지지하는	1721	5.82	1.1008	--	5301	Support
살아보자구	1722	5.82	1.1551	5368	--	Let's live
참여	1723	5.82	0.8734	--	591	Participation
드디어	1724	5.82	0.8734	995	320	Finally
씻고	1725	5.82	0.8497	--	2395	Wash
영국을	1726	5.82	0.8734	4583	--	UK
신용	1727	5.82	0.8497	1042	--	Credit
아이들이	1728	5.82	1.1373	--	2594	Children
해가	1729	5.82	1.0240	--	1916	It is
여자에	1730	5.82	0.8965	2822	--	Women
마음은	1731	5.82	0.8965	972	1608	Heart
좋지만	1732	5.82	1.2403	--	2300	But
미국의	1733	5.82	1.1008	--	2192	United States
기억나죠	1734	5.82	0.9833	3977	--	Remember
만나려고	1735	5.82	0.8497	3821	--	Meet you
ready	1736	5.82	0.8734	--	2331	ready
진짜로다가	1737	5.82	0.9833	3946	--	Really reach
아내가	1738	5.82	0.8734	1113	--	Wife
국민은	1739	5.82	0.9833	--	1964	The people
위해	1740	5.82	0.9190	68	84	For
이미지를	1741	5.80	0.9258	--	5631	Images
더욱더	1742	5.80	0.9689	--	5531	More
괜찮기를	1743	5.80	1.1780	4998	--	Fine group
영국은	1744	5.80	1.0102	2359	--	Britain
맞는	1745	5.80	1.0498	1241	999	Fit
간단	1746	5.80	0.8330	1997	--	Simplicity
열립니다	1747	5.80	0.8081	--	4980	Open
성모님	1748	5.80	1.4708	2054	--	Mary
드레스가	1749	5.80	0.9258	5386	--	Dress
멤버들	1750	5.80	0.8571	--	4874	Members
아이유가	1751	5.80	1.1066	--	5427	IU is
기억나요	1752	5.80	0.8571	1982	--	Remember
그래	1753	5.80	0.9476	9	116	Yes
쉬고	1754	5.80	1.0498	--	3103	Resting
1번	1755	5.80	1.0690	--	4456	1
이벤트&gt	1756	5.80	0.9897	--	3703	Events>
삶은	1757	5.80	0.9035	2032	4202	Life
되세요	1758	5.80	0.9689	903	661	Have
공개	1759	5.80	0.9258	--	910	Release
제공	1760	5.80	0.9897	--	2935	Offer
유느님	1761	5.80	1.6537	--	6268	By yuneu
부부께서	1762	5.80	1.2289	2461	--	The couple had
사촌	1763	5.80	0.7825	785	--	Cousin
돼요	1764	5.80	0.9689	562	4892	Way
3D	1765	5.80	1.1429	--	5517	3D
공항으로	1766	5.80	1.1606	4582	--	Airport
그렇구나	1767	5.80	0.9258	2769	1709	I see
You	1768	5.80	0.8330	--	989	You
신	1769	5.80	1.1952	--	3585	God
My	1770	5.80	0.8330	--	1456	My
약속하지	1771	5.80	1.0302	2821	--	Promise
사람	1772	5.80	1.1952	83	120	Person
추첨해서	1773	5.80	1.0690	--	5155	Draw the
고객님	1774	5.80	0.8806	--	4888	You
위해서	1775	5.80	0.7559	453	949	In order
둘째도안전	1776	5.80	0.8806	--	558	Second, it is safe
둘이서	1777	5.80	1.0498	--	5256	Two people
말짱하니까	1778	5.80	1.1429	5343	--	Wide awake because
you	1779	5.80	0.9258	--	140	you
한잔	1780	5.80	0.9689	3512	2154	Drink
식당에서	1781	5.80	0.8330	2763	--	In the dining room
목도리	1782	5.80	0.9897	--	4390	Scarf
중요한	1783	5.80	0.8571	796	604	Significant
[도미노피자	1784	5.80	1.0302	--	2615	[Domino's Pizza
맞죠	1785	5.80	0.8081	632	4733	Right
진돗개]	1786	5.80	1.2617	--	1630	Jindotgae]
유일하게	1787	5.80	0.8330	2443	4550	Only
공연이	1788	5.80	0.7284	--	6294	Performances
수많은	1789	5.80	0.9258	--	1646	Many
크게	1790	5.80	0.9258	908	695	Large
매우	1791	5.80	0.9897	460	476	So
누이는	1792	5.80	0.9689	2277	--	Sister
내일	1793	5.80	0.8571	218	59	Tomorrow
투표하셨습니다	1794	5.80	1.0302	--	1692	Voting system
다음	1795	5.80	1.0102	261	450	Next
맛은	1796	5.80	0.8330	--	6253	The taste
평생	1797	5.80	1.0302	1614	965	Lifetime
밥을	1798	5.80	0.7559	--	1671	Bob
동물이랑	1799	5.80	1.0498	2100	--	Animals and
고양이	1800	5.80	1.1780	--	1515	Cat
예수	1801	5.80	1.8295	692	--	Jesus
나	1802	5.80	1.0498	--	9	I
앞으로	1803	5.80	0.9476	1279	250	Forward
준비했군	1804	5.80	0.8571	5085	--	Prepare squeezes
부자가	1805	5.80	1.1429	2417	--	Rich
특히	1806	5.80	0.9897	1255	518	Especially
싶습니다	1807	5.80	0.8806	784	1564	I would like to
정상으로의	1808	5.80	1.0498	5119	--	Of normal
라면	1809	5.80	1.1780	--	1664	If the
LOL	1810	5.80	1.5119	--	5839	LOL
얘기해요	1811	5.80	1.0498	3524	--	I'm talking about
그린	1812	5.80	0.9476	2583	3796	Painted
돌아왔다	1813	5.80	1.0302	3079	--	Back
타임머신이	1814	5.80	0.8571	2132	--	Time machine
빠르게	1815	5.80	0.9258	--	3168	Quickly
귀가	1816	5.80	1.2289	--	2931	Homecoming
괜찮을	1817	5.80	0.9476	1558	--	Fine
수고	1818	5.80	1.0102	--	2399	Trouble
노력하지	1819	5.80	1.0880	3366	--	Do not try
하고싶은	1820	5.80	1.0880	--	6230	I want to
하나입니다	1821	5.80	0.9258	1467	--	One
뛰어요	1822	5.80	1.0102	2287	--	Hurry.
가꾸는	1823	5.80	0.9897	--	5362	Horticulture
당신이있어	1824	5.80	0.7825	2950	--	You are here
밝혔습니다	1825	5.80	1.0498	--	6113	Said
저녁	1826	5.80	0.9035	250	415	Evening
싶은	1827	5.78	0.9322	513	350	I want to
동생은	1828	5.78	1.2171	--	5902	Brother
합의	1829	5.78	0.8401	--	4049	Agreement
택배	1830	5.78	0.9322	--	6300	Delivery
아~	1831	5.78	1.1830	--	1023	Ah ~
go	1832	5.78	0.9957	--	1535	go
내일부터	1833	5.78	0.9538	--	2098	Tomorrow
거대한	1834	5.78	0.9957	--	5898	Huge
내년	1835	5.78	1.0160	--	270	Next year
가치가	1836	5.78	0.9538	2939	4791	Value
Photo	1837	5.78	0.8401	--	2562	Photo
파리바게뜨	1838	5.78	1.0359	--	3995	Paris Baguette
추가	1839	5.78	1.0359	3444	2025	More
느껴집니다	1840	5.78	1.0554	3608	--	Felt
짝지어서	1841	5.78	0.9100	3736	--	Get matched
드리겠습니다	1842	5.78	1.0554	--	4831	You
높이	1843	5.78	0.9957	1233	--	High
데뷔	1844	5.78	0.9957	--	3463	Debut
주일	1845	5.78	1.3746	1694	--	Week
훗	1846	5.78	1.1119	--	1147	Hood
저녁을	1847	5.78	1.0359	2358	--	Evening
괜찮다면	1848	5.78	0.7365	2428	--	If you do not mind
비행	1849	5.78	1.1119	3270	--	Flight
드릴게요	1850	5.78	0.8154	2877	--	I'll
만나고	1851	5.78	0.9538	--	2253	Meet
그녀의	1852	5.78	0.9322	148	4981	Her
바랍니다	1853	5.78	1.0746	256	365	It
예약	1854	5.78	0.8401	--	3348	Reservation
정말요	1855	5.78	0.8640	412	4956	Really
읽는	1856	5.78	0.7900	--	4414	Read
언니가	1857	5.78	0.9322	1634	866	Sister
드릴께요	1858	5.78	0.9322	2534	--	I'll
G스탬프	1859	5.78	0.9957	--	2964	G stamp
밥먹고	1860	5.78	0.8873	--	2232	Eat Rice
하나님의	1861	5.78	1.7990	--	1371	God's
말씀하셨어요	1862	5.78	1.0554	3615	--	Did you say
넵	1863	5.78	1.0934	--	778	Yep
오픈	1864	5.78	0.7637	--	1323	Open
여러분	1865	5.78	0.9100	529	208	You
맞지	1866	5.78	0.7900	628	2691	Fit
붙었다고	1867	5.78	1.1119	4916	--	Caught and
살아	1868	5.78	1.0160	930	2085	Living
위한	1869	5.78	0.9750	1283	168	For
매일	1870	5.78	0.9750	399	317	Daily
먹지	1871	5.78	1.0554	--	3545	Eat
여러분께	1872	5.78	0.8154	3989	--	Dear
알아요	1873	5.78	0.9322	155	2714	I know
영혼의	1874	5.78	1.1119	1433	--	Soul
출시	1875	5.78	0.9322	--	1335	Release
마이웨이	1876	5.78	0.9538	--	4931	My Way
바라는	1877	5.78	0.8401	1443	1912	Wishing
여자	1878	5.78	0.8640	180	570	Woman
소설	1879	5.78	0.8401	--	3143	Novel
됩니다	1880	5.78	0.9750	542	344	The
팍팍	1881	5.78	1.2501	--	4296	Fak
첫	1882	5.78	1.0359	--	355	The
사진도	1883	5.78	0.9322	--	3787	Pictures
애들아	1884	5.78	0.9957	2859	--	Guys
명동	1885	5.78	0.9100	--	5800	Myeongdong
아가씨들	1886	5.78	1.1480	2370	--	Girls
어린	1887	5.78	0.8154	2649	1716	Young
위해서요	1888	5.78	1.0160	5087	--	To me
대학생	1889	5.78	0.9957	--	2994	Students
여러가지	1890	5.78	0.8640	3600	3683	Various
받습니다	1891	5.78	0.9538	--	5579	Receive
연예인	1892	5.78	0.9322	--	2149	Artists
자다	1893	5.78	0.9100	--	6112	Sleep
동네	1894	5.78	0.8640	1611	2250	Neighborhood
서울에	1895	5.78	0.9322	--	3859	Seoul
기억하고	1896	5.78	0.9100	--	4122	Remember
손님들	1897	5.78	0.8401	5086	--	Guests
할까요	1898	5.78	0.8401	--	3073	Should
확실해	1899	5.78	0.8640	2084	--	I'm sure
ㅋㅋRT	1900	5.78	0.9957	--	2314	ㅋ ㅋ RT
HD	1901	5.78	1.0160	--	5545	HD
먹으면	1902	5.78	0.8401	4935	1182	Eating
설득했어	1903	5.78	0.8640	2801	--	Convince me
내년에는	1904	5.78	0.9538	--	2517	Next year
너무너무	1905	5.78	0.8640	--	1425	So too
이야기	1906	5.78	0.9322	532	532	Story
미국	1907	5.78	0.9322	1121	469	USA
모바일	1908	5.78	0.9322	--	1627	Mobile
언제든지	1909	5.76	0.8935	--	4242	Any time
맘	1910	5.76	1.3786	--	2073	I like
오	1911	5.76	0.8704	--	146	Oh
편지를	1912	5.76	1.0214	1229	5801	Letter
님	1913	5.76	0.9806	--	499	By
되고파요	1914	5.76	0.8935	4652	--	Digging and
나만의	1915	5.76	1.0984	--	3747	Own
직접	1916	5.76	0.9596	495	288	Directly
야영하자구	1917	5.76	1.0012	4921	--	Let's go camping
[아이폰	1918	5.76	1.3334	--	1551	[IPhone
맘을	1919	5.76	1.0606	2319	6356	Heart
1만	1920	5.76	1.0797	--	2902	10000
줄까요	1921	5.76	1.0412	2833	--	I give you
나야	1922	5.76	0.9806	374	2731	Me
이해합니다	1923	5.76	0.8466	3037	--	Understand the
갖다	1924	5.76	0.8935	1566	--	Take
자동	1925	5.76	0.9161	--	5520	Automatic
방문	1926	5.76	0.9381	--	4468	Visit
진짜요	1927	5.76	1.0797	--	4684	Really
준비	1928	5.76	0.7709	2992	1773	Preparations
확인합니다	1929	5.76	1.0012	1846	--	Check the
여학생	1930	5.76	0.8935	--	4364	Schoolgirl
할께요	1931	5.76	0.8221	3411	--	I'll
부러워	1932	5.76	1.2545	4259	4563	Envy
흐흐흐	1933	5.76	1.4786	--	5694	Would bring
형이	1934	5.76	1.0606	--	2576	Type
만나서	1935	5.76	0.8221	1422	1411	Nice
뵈었습니다	1936	5.76	0.9381	2496	--	I met up
선택	1937	5.76	0.7440	--	4545	Selection
그렇죠	1938	5.76	0.8221	1006	2114	Right
내년에도	1939	5.76	0.8704	--	2174	Next year
가까운	1940	5.76	0.8935	2529	1981	Close
정말	1941	5.76	1.0214	10	34	I
마음이	1942	5.76	0.8466	416	388	Mind
와보세요	1943	5.76	0.7160	834	--	And find out
영어로	1944	5.76	1.0412	--	2602	English
엄청난	1945	5.76	1.1704	1193	1129	Exorbitant
100분께	1946	5.76	0.9381	--	2862	100 Him
당연히	1947	5.76	0.8466	--	636	Naturally
그럼요	1948	5.76	1.0412	567	5491	Yes
얼마든지	1949	5.76	1.0412	--	4314	Much as
책임집니다	1950	5.76	0.8466	4958	--	Responsible
night	1951	5.76	1.0012	--	2805	night
오세요	1952	5.76	0.8221	1196	1779	Come
핵심	1953	5.76	0.9596	--	4612	Core
패러디	1954	5.76	0.8466	--	4495	Parody
인터넷	1955	5.76	0.8466	--	712	Internet
'나는	1956	5.76	1.0012	--	2421	'I
today	1957	5.76	1.0984	--	3869	today
생각한	1958	5.76	0.9381	2021	--	Thought
눈	1959	5.76	1.1877	--	235	Eye
상당히	1960	5.76	0.9161	4461	2060	Considerably
앨범	1961	5.76	0.8704	--	1175	Album
느껴지는	1962	5.76	0.7709	--	5461	Feel
누나가	1963	5.76	0.9381	--	1844	Sister
I'll	1964	5.76	0.9596	--	6287	I'll
한껏	1965	5.76	0.8935	--	5849	Utmost
아파트	1966	5.76	0.8704	--	2718	Apartment
침대에서	1967	5.76	0.9381	2953	--	In bed
그대가	1968	5.76	0.8704	--	2835	You are
살까	1969	5.76	1.0412	--	6289	Buy
