Word	HappRank	Havg	StDev	Freq_List	TwitterRank	Gbook_Rank	translation
рождество	100	7.50	1.5017	1393	1534	--	Christmas
удачу	101	7.50	0.9742	4728	--	--	good luck
добра	102	7.50	1.0152	3662	3033	4530	good
восторге	103	7.50	1.2495	4452	--	--	delight
поздравления	104	7.50	0.9313	4667	1749	--	congratulations
супер	105	7.50	1.2657	2112	682	--	super
smile	106	7.50	1.2495	--	3839	--	smile
красивые	107	7.50	1.0351	2104	1496	--	interesting
поздравляем	108	7.48	0.9528	--	2935	--	Congratulations
урааа	109	7.48	1.1822	--	4506	--	uraaa
чудо	110	7.48	1.2656	1547	1525	--	miracle
новогоднего	111	7.48	1.0736	--	2255	--	New Year
победой	112	7.48	1.0925	--	4694	--	victory
выходные	113	7.46	1.1643	2132	772	--	Weekend
новогоднее	114	7.46	1.1287	--	767	--	New Year's
новогодние	115	7.44	1.0529	--	788	--	New Year
beautiful	116	7.44	1.2961	--	1375	--	beautiful
маму	117	7.44	1.3426	1582	2135	--	mom
добро	118	7.44	1.0721	594	1864	4894	good
юмор	119	7.44	1.0529	--	4854	--	humor
молодцы	120	7.44	0.9723	--	1698	--	Well done
super	121	7.44	1.3426	--	2283	--	super
шикарный	122	7.44	1.2149	--	4022	--	chic
выиграли	123	7.44	1.1634	4843	--	--	won
солнышко	124	7.44	1.0910	--	2854	--	sun
best	125	7.44	1.3273	--	240	--	best
смеяться	126	7.44	0.9930	2805	4058	--	laugh
любите	127	7.42	1.1622	2137	2500	--	love
выходной	128	7.42	1.1082	--	2473	--	output
подарок	129	7.42	1.1082	873	324	--	gift
добрая	130	7.42	0.9055	--	3920	--	good
свобода	131	7.42	1.2137	3063	3107	3045	freedom
лучшее	132	7.42	1.2631	1408	1342	--	the best
смеха	133	7.42	1.1622	--	4661	--	laughter
красивых	134	7.40	0.9689	--	3853	--	beautiful
красиво	135	7.40	1.1066	1225	980	--	handsomely
birthday	136	7.40	1.4142	--	645	--	birthday
holidays	137	7.40	1.2617	--	4366	--	holidays
праздновать	138	7.40	0.9258	--	3728	--	celebrate
мамы	139	7.40	1.1606	1820	1929	--	Mom
идеально	140	7.40	1.2778	3863	--	--	ideally
браво	141	7.40	1.1429	2144	--	--	bravo
доброе	142	7.40	1.0302	524	264	--	good
отличные	143	7.40	1.2936	--	4732	--	excellent
молодец	144	7.38	1.0669	882	793	--	well done
выиграл	145	7.38	1.1761	2246	3464	--	won
победить	146	7.38	1.1586	2317	4933	--	win
мамочка	147	7.38	1.4270	2138	--	--	mammy
удовольствия	148	7.38	1.1933	4560	--	--	pleasure
новогодних	149	7.38	1.0669	--	2248	--	New Year
классно	150	7.38	1.2599	1978	1232	--	awesome
сюрприз	151	7.38	1.1045	1430	3661	--	surprise
богатство	152	7.38	1.2271	--	--	4497	wealth
выиграла	153	7.38	1.1761	--	4027	--	won
победу	154	7.38	1.3076	4453	1862	3437	victory
смешного	155	7.38	0.9666	4863	--	--	Ridiculous
красоты	156	7.38	0.9875	--	3195	4807	Beauty
perfect	157	7.36	1.4950	--	3249	--	perfect
лучшего	158	7.36	1.0053	2895	3021	--	better
любимый-это	159	7.36	1.3056	--	2754	--	favorite is
поздравление	160	7.36	1.0451	--	2616	--	congratulation
победил	161	7.36	1.2578	3573	3611	--	won
классные	162	7.36	1.0254	--	3554	--	cool
милая	163	7.36	0.9205	673	1880	--	sweet
нравиться	164	7.36	0.9205	2859	3120	--	like
новогодняя	165	7.36	0.9848	--	1420	--	Christmas
удовольствием	166	7.36	1.1911	1520	2908	--	pleasure
ахахахаха	167	7.34	1.6856	--	3414	--	ahahahaha
друзья	168	7.34	1.1713	493	270	2831	Friends
доброй	169	7.34	1.0022	2328	1660	--	Goodwill
kiss	170	7.34	1.1886	--	3596	--	kiss
новогодней	171	7.34	1.1359	--	4913	--	Christmas
каникулы	172	7.34	1.3032	--	1165	--	vacation
доброго	173	7.34	1.0022	3387	936	--	good
удачи	174	7.34	1.0224	921	594	--	good luck
loves	175	7.34	1.1713	--	2315	--	loves
нравлюсь	176	7.34	1.1178	3430	--	--	love
успехом	177	7.34	1.0022	--	--	4646	success
успешно	178	7.32	0.9134	--	3770	1846	successfully
лучшие	179	7.32	1.1328	1760	885	2896	best
paradise	180	7.32	1.3915	--	2630	--	paradise
удачно	181	7.32	1.0774	--	4266	--	successfully
чудеса	182	7.32	1.0583	--	3115	--	Miracles
приятно	183	7.32	1.0774	568	495	--	nicely
добрым	184	7.32	0.9988	--	1770	--	good
милые	185	7.32	0.9570	4541	3166	--	cute
чудес	186	7.32	1.0774	--	4826	--	Wonders
радует	187	7.30	0.9949	--	1228	--	happy
люби	188	7.30	1.0926	--	4340	--	Love
симпатичный	189	7.30	0.9742	4650	--	--	sympathetic
рад	190	7.30	1.0351	388	1174	4986	happy
мамой	191	7.30	1.2164	1695	1867	--	Mom
поздравляю	192	7.30	0.9530	1208	461	--	Congratulations
успеха	193	7.30	1.0546	4475	3243	4012	success
милый	194	7.28	1.0110	706	1615	--	cute
поздравить	195	7.28	1.0110	--	3127	--	congratulations
прелесть	196	7.28	1.1436	3160	3129	--	beauty
вкусно	197	7.28	0.9267	1867	2235	--	delicious
funny	198	7.28	1.1073	--	4683	--	funny
классный	199	7.28	1.0887	3729	1659	--	classy
нравишься	200	7.28	0.9044	2086	--	--	like you
умная	201	7.28	1.0698	4331	4336	--	clever
родители	202	7.28	1.2784	856	1202	--	parents
подарками	203	7.28	1.1073	--	3731	--	gifts
хорошего	204	7.28	1.0887	1248	799	--	good
дружбы	205	7.28	1.0309	--	--	3660	Friendship
друзьями	206	7.26	1.0063	1325	1532	--	Friends
доволен	207	7.26	1.0461	2761	3450	--	happy
победила	208	7.26	1.1920	--	2930	--	won
лучших	209	7.26	1.1747	2050	1326	2399	top
ангел	210	7.26	1.2747	2643	--	--	angel
отдыхать	211	7.24	1.1704	--	3360	--	rest
хорошая	212	7.24	0.9161	537	832	--	good
папочка	213	7.24	1.3180	2307	--	--	daddy
симпатичная	214	7.24	0.8935	4701	--	--	cute
приз	215	7.24	1.1168	--	3581	--	prize
гений	216	7.22	1.1119	2548	3799	--	genius
приятный	217	7.22	0.9957	4068	--	--	nice
понравился	218	7.22	1.0160	3144	1753	--	like
свадьбе	219	7.22	1.1657	4296	--	--	wedding
хорошую	220	7.22	0.9100	2975	4099	--	good
лучшим	221	7.22	1.2501	2664	2441	--	the best
выиграть	222	7.22	1.1830	2916	3568	--	win
ахахаха	223	7.22	1.5945	--	1091	--	ahahaha
праздником	224	7.22	1.0359	--	2303	--	holiday
юмора	225	7.20	1.1249	--	3945	--	humor
солнце	226	7.20	1.2778	1204	1528	1428	sun
сладкая	227	7.20	1.0690	4943	--	--	sweet
родной	228	7.20	1.1249	4240	3506	3136	home
отдых	229	7.20	1.0880	--	2498	--	recreation
хорошей	230	7.20	0.8571	2446	2098	--	good
классная	231	7.20	1.0690	3236	2081	--	cool
хороший	232	7.20	1.1780	417	475	4013	good
рождеством	233	7.20	1.3401	3890	3293	--	christmas
шутки	234	7.18	1.1373	3942	469	--	Jokes
свадьбу	235	7.18	1.3045	2583	--	--	wedding
хорошее	236	7.18	0.9409	1138	1012	4178	good
хорошо	237	7.18	1.0631	33	123	221	well
детство	238	7.18	1.1899	--	3340	--	childhood
умный	239	7.18	1.0240	2309	3093	--	smart
здоров	240	7.18	1.0631	3162	--	--	healthy
хороша	241	7.18	0.9190	2840	--	--	good
выходных	242	7.18	1.1899	--	1915	--	output
вечеринка	243	7.18	1.1373	1709	--	--	party
здорово	244	7.16	1.1314	398	1304	--	awesome
невеста	245	7.16	1.0947	3478	--	--	bride
nice	246	7.16	1.2349	--	1607	--	nice
богатства	247	7.16	1.2182	--	--	3992	riches
смешные	248	7.16	1.0174	--	4760	--	funny
хорошие	249	7.16	0.9765	969	1169	4589	good
отпуск	250	7.16	1.3303	3091	4025	--	vacation
семья	251	7.16	1.0759	738	2136	3081	family
спасибо	252	7.16	1.0373	58	75	4693	thank you
красавчик	253	7.16	1.1843	4199	--	--	dreamboat
holiday	254	7.16	1.1493	--	3447	--	holiday
герой	255	7.16	1.2349	1825	3258	2199	hero
мечта	256	7.16	1.1314	2513	1601	--	dream
папа	257	7.14	1.2938	199	650	--	dad
путешествие	258	7.14	1.2291	2298	--	--	journey
любили	259	7.14	1.3554	3568	--	--	love
sweet	260	7.14	1.1608	--	1860	--	sweet
christmas	261	7.14	1.3554	--	366	--	christmas
хахаха	262	7.14	1.4287	--	2282	--	hahaha
друг	263	7.14	1.2618	179	306	357	friend
подарить	264	7.12	1.0428	--	2100	--	Gifts
праздников	265	7.12	1.2558	--	4196	--	holidays
welcome	266	7.12	1.1542	--	3525	--	welcome
победы	267	7.12	1.0029	4855	2245	1772	victory
добре	268	7.12	1.0029	4915	--	--	goodness
приятное	269	7.12	1.0812	--	4280	--	pleasant
лето	270	7.12	1.3192	2494	1217	4155	summer
друзьям	271	7.10	1.0546	3726	1716	--	friends
благо	272	7.10	1.1824	--	--	4591	good
рада	273	7.10	1.0351	767	808	--	happy
приятного	274	7.10	0.9091	3330	2145	--	pleasant
дружище	275	7.10	0.9091	1705	--	--	buddy
приятных	276	7.10	1.1824	--	3436	--	nice
понравилось	277	7.10	0.9313	1298	1196	--	like
enjoy	278	7.10	1.3590	--	4299	--	enjoy
хороших	279	7.08	1.0270	3332	2533	--	good
жив	280	7.08	1.1753	1007	3759	--	alive
целую	281	7.08	1.2262	2100	3949	--	whole
свободы	282	7.08	1.2752	3308	3068	1141	Freedom
шутка	283	7.08	1.1400	1518	3333	--	joke
нравятся	284	7.08	0.9442	1210	1575	--	Favourites
luck	285	7.06	1.3001	--	4039	--	luck
бабушка	286	7.06	1.1323	1422	2186	--	grandmother
мечтаю	287	7.06	1.1502	--	3615	--	dream
вкусный	288	7.06	1.0956	--	3571	--	tasty
чемпион	289	7.06	1.3311	3405	4623	--	champion
удачного	290	7.06	1.1502	--	3294	--	successful
успехи	291	7.06	1.0184	--	--	2605	progress
шоколад	292	7.06	1.2683	4430	3192	--	chocolate
свободной	293	7.06	1.1502	--	--	3149	Free
обнять	294	7.06	1.0768	--	4863	--	hug
friends	295	7.06	1.4626	--	380	--	friends
мам	296	7.04	1.2447	748	1993	--	Moms
славный	297	7.04	1.1421	4719	--	--	nice
благодарен	298	7.04	0.9681	3653	--	--	thanks
живой	299	7.04	1.2282	1905	1633	2000	live
мир	300	7.04	1.3395	337	288	432	world
кайф	301	7.04	1.3395	--	3015	--	kaif
хорош	302	7.02	0.9581	1560	3206	--	good
good	303	7.02	0.9998	--	405	--	good
весна	304	7.02	1.1516	--	2901	--	spring
рады	305	7.02	1.2036	2161	2796	--	happy
friend	306	7.02	1.3013	--	2717	--	friend
святая	307	7.02	1.3476	4245	--	--	Holy
нравится	308	7.02	0.8919	194	256	--	Like
матерью	309	7.02	1.3013	1910	--	--	mother
друзей	310	7.02	1.2036	865	546	2719	Friends
солнца	311	7.00	1.2289	2343	--	1990	sun
горжусь	312	7.00	1.0302	2841	4900	--	proud
торт	313	7.00	0.9476	3447	3135	--	cake
хороши	314	7.00	0.9258	4342	--	--	good
вечеринки	315	7.00	1.1606	3494	--	--	party
свадьбы	316	7.00	1.2617	2652	4952	--	wedding
сладкий	317	7.00	1.0880	4626	4859	--	sweet
поздравил	318	7.00	0.9476	--	2959	--	congratulated
бонус	319	7.00	1.1066	--	519	--	bonus
sun	320	7.00	1.4142	--	4634	--	sun
хорошем	321	6.98	1.0398	--	3788	--	good
свободе	322	6.98	1.2036	3933	--	--	Freedom
лучшей	323	6.98	1.2036	4127	4809	--	the best
добры	324	6.98	1.0200	3384	--	--	kind
дорогая	325	6.98	1.3013	397	1715	--	sweetheart
мило	326	6.98	1.0971	886	1173	--	nicely
life	327	6.98	1.4637	--	696	--	life
семью	328	6.98	1.2534	1365	4353	--	family
выспался	329	6.98	1.0784	--	4197	--	get enough sleep
great	330	6.98	1.2370	--	1161	--	great
прикольный	331	6.98	1.1156	--	680	--	cool
здоровье	332	6.96	1.0294	1792	1683	3727	health
успехов	333	6.96	0.9467	--	2913	4688	success
подарили	334	6.96	1.0490	--	2341	--	presented
молодой	335	6.96	1.1241	1293	2764	1205	young
поблагодарить	336	6.96	0.9681	2945	--	--	thank
другу	337	6.96	1.1058	1179	1758	1674	other
свободен	338	6.96	1.0093	2717	--	--	free
свидание	339	6.96	1.2930	1586	--	--	date
повезло	340	6.94	0.9982	898	2033	--	lucky
семьей	341	6.94	1.3157	3401	--	--	family
благодарю	342	6.94	0.9127	853	--	--	thank you
свободны	343	6.94	1.1323	3698	--	--	free
слава	344	6.94	1.2022	1041	1369	3172	glory
жизнь	345	6.94	1.3911	144	143	165	life
гордиться	346	6.94	1.1323	4878	--	--	be proud
сестра	347	6.94	1.0382	630	2621	4367	sister
favorite	348	6.94	1.3157	--	2671	--	favorite
подарков	349	6.94	1.1323	--	1579	--	gifts
вечеринку	350	6.92	1.2752	1671	--	--	party
друга	351	6.92	1.1925	435	623	644	other
талант	352	6.92	1.1578	3039	--	--	talent
мать	353	6.92	1.3827	266	823	889	mother
цветы	354	6.92	1.1220	1642	2829	--	Flowers
ребенок	355	6.92	1.1400	743	1884	4989	baby
отдохнуть	356	6.92	1.1220	2080	2934	--	unwind
забавно	357	6.92	0.9655	1474	2760	--	amusingly
женился	358	6.92	1.2591	3251	--	--	married
подруга	359	6.92	1.1400	1494	1584	--	girlfriend
золотой	360	6.92	1.2752	3959	3485	3812	gold
хорошим	361	6.92	0.9864	1849	2458	--	good
шучу	362	6.92	1.1753	1922	--	--	just kidding
музыка	363	6.90	1.2976	1076	780	2948	music
малыш	364	6.90	1.1650	759	3955	--	baby
триумфальная	365	6.90	1.2976	--	1289	--	Triumphal
fun	366	6.90	1.2657	--	2945	--	fun
понравилась	367	6.90	0.8391	3614	3196	--	like
королева	368	6.90	1.1650	2453	--	--	queen
героев	369	6.90	1.1824	--	--	2313	heroes
мороженое	370	6.90	1.1473	3992	--	--	ice cream
каникул	371	6.90	1.1824	--	4924	--	vacation
мечты	372	6.90	1.0351	1999	762	--	dreams
молодая	373	6.88	0.9613	3695	--	4684	young
вечеринке	374	6.88	1.1364	3418	--	--	party
конфеты	375	6.88	1.0812	--	3505	--	candy
сын	376	6.88	1.2558	323	1941	1496	son
интересное	377	6.88	1.0029	4262	2600	--	interesting
удивительно	378	6.88	1.0428	2024	3957	4585	surprisingly
дар	379	6.88	1.0428	3274	--	--	gift
анекдот	380	6.86	1.1954	--	3651	--	anecdote
жениться	381	6.86	1.1608	1935	--	--	get married
награду	382	6.86	1.1430	--	358	--	Award
like	383	6.86	1.1782	--	347	--	like
удовлетворения	384	6.86	1.1608	--	--	4661	meet
summer	385	6.86	1.2938	--	4801	--	summer
принцесса	386	6.86	1.2124	1714	--	--	princess
дарить	387	6.86	1.0692	--	3041	--	give
win	388	6.86	1.5254	--	2404	--	win
dream	389	6.86	1.2456	--	2076	--	dream
дети	390	6.86	1.1954	415	647	1273	children
свободу	391	6.86	1.0500	2367	2461	1970	freedom
интересная	392	6.86	1.0304	--	3051	--	interesting
интересные	393	6.86	0.8809	--	2405	--	interesting
рождение	394	6.86	1.1068	--	3975	--	birth
прикольные	395	6.84	1.0947	--	4989	--	Funny
жива	396	6.84	1.2349	2324	--	--	alive
дочка	397	6.84	1.2835	3744	--	--	daughter
уважение	398	6.84	0.9116	4464	--	--	respect
повезет	399	6.84	1.1669	4981	--	--	lucky
великое	400	6.84	1.2014	--	--	4435	great
лучше	401	6.84	1.0174	115	124	413	better
fine	402	6.84	1.1493	--	4909	--	fine
подарил	403	6.82	0.9833	3676	3022	--	ented
природа	404	6.82	1.1726	4593	--	2101	nature
family	405	6.82	1.5345	--	2623	--	family
искусство	406	6.82	1.0821	3534	3605	1096	art
thanks	407	6.82	1.0437	--	1412	--	thanks
девушки	408	6.82	1.2070	1133	635	3597	Girls
круто	409	6.82	1.3952	1028	327	--	abruptly
better	410	6.82	1.1008	--	2343	--	better
подарила	411	6.82	0.9833	--	4977	--	presented
понравится	412	6.82	1.0240	1088	3627	--	love
ахахха	413	6.82	1.6249	--	3682	--	ahahha
семье	414	6.82	1.0821	1439	2881	2229	family
живы	415	6.82	1.2070	2932	--	--	alive
прикол	416	6.82	1.3200	--	3848	--	funny
ребёнок	417	6.82	1.2237	1562	--	--	baby
родителей	418	6.80	1.1606	1555	1872	3328	parents
женой	419	6.80	1.1780	1297	4250	--	wife
pretty	420	6.80	1.1780	--	4558	--	pretty
святой	421	6.80	1.2617	1815	--	4270	St.
родителям	422	6.80	1.2122	3437	4262	--	parents
умные	423	6.80	1.0102	--	3099	--	smart
лучшему	424	6.80	1.3093	4937	4884	--	better
детства	425	6.80	1.1606	3790	2590	4793	Childhood
доверие	426	6.80	0.9897	4669	--	--	trust
шутишь	427	6.80	1.0880	1628	--	--	kidding
воскресенье	428	6.80	1.2289	2200	1238	--	Sunday
танцевать	429	6.80	1.1606	1652	3517	--	dance
надежды	430	6.80	0.8806	2996	--	2930	Hope
море	431	6.80	1.3702	1223	1212	971	sea
чувства	432	6.78	1.1830	1276	1629	1383	feelings
dear	433	6.78	1.1657	--	2055	--	dear
дорогой	434	6.78	1.2337	489	1033	2606	expensive
дочь	435	6.78	1.2664	581	2309	2480	daughter
цветок	436	6.78	1.0746	3705	--	--	flower
baby	437	6.78	1.2337	--	1914	--	baby
уважения	438	6.78	0.9322	4113	--	--	respect
здоровья	439	6.78	1.1480	--	1224	3583	Health
детям	440	6.78	1.1657	2133	2171	--	children
sex	441	6.78	1.7058	--	1621	--	sex
gift	442	6.78	1.2501	--	4373	--	gift
здравствуй	443	6.78	1.0746	1134	2662	--	hello
свидания	444	6.78	1.0934	636	--	--	Goodbye
премии	445	6.78	0.9750	--	4075	--	Award
живым	446	6.78	1.2501	3321	--	--	alive
молодые	447	6.78	1.1301	4506	4287	2421	young
шутите	448	6.78	1.0160	4067	--	--	Mess
надежду	449	6.76	0.8935	4526	--	--	hope
искренне	450	6.76	1.1528	4587	2358	--	sincerely
матери	451	6.76	1.1704	758	--	1100	mother
amazing	452	6.76	1.4365	--	1505	--	amazing
удалось	453	6.76	1.2048	1226	2423	741	managed
девчонки	454	6.76	1.0606	2973	1648	--	Girls
роза	455	6.76	1.1877	2129	--	--	rose
честное	456	6.76	0.9806	4990	--	--	honest
золото	457	6.76	1.2545	2202	4296	4937	gold
танцы	458	6.76	1.1877	4272	3597	--	dancing
улучшения	459	6.76	1.0606	--	--	2354	improve
золота	460	6.76	1.2545	4564	--	3775	Gold
свободно	461	6.76	1.1350	4838	--	2843	free
брат	462	6.76	1.0412	368	1337	2091	brother
сердцем	463	6.76	1.1350	3943	4756	--	heart
надежда	464	6.76	1.1168	2589	2798	4032	hope
сладких	465	6.76	1.0214	--	1413	--	sweet
сказка	466	6.76	1.0797	--	3362	--	story
подружка	467	6.76	1.0214	3006	--	--	girlfriend
папы	468	6.76	1.3486	3184	--	--	Pope
чемпионов	469	6.76	1.1168	--	2673	--	Champions
ёлка	470	6.76	1.2545	--	3279	--	fir-tree
выспаться	471	6.74	1.0654	--	2922	--	get enough sleep
интересный	472	6.74	0.9435	--	2324	--	interesting
совершенствование	473	6.74	1.3063	--	--	3300	improvement
семьи	474	6.74	1.2090	901	2944	1128	family
жена	475	6.74	1.1572	432	1031	1454	wife
ахаха	476	6.74	1.4957	--	389	--	ahaha
улучшению	477	6.74	0.9435	--	--	4008	improve
сказки	478	6.74	0.9858	--	4561	3886	Tales
секс	479	6.74	1.8495	1583	653	--	sex
героем	480	6.74	1.2257	4816	--	--	hero
тепло	481	6.74	1.1920	3458	1599	4550	heat
детей	482	6.74	1.2586	386	557	474	Children
ахахахах	483	6.74	1.8049	--	2073	--	ahahahah
знания	484	6.74	1.1031	--	--	1452	knowledge
прибыль	485	6.74	1.1920	--	--	4461	profit
любил	486	6.74	1.7821	1079	3427	2803	loved
родителями	487	6.74	1.1747	4164	4574	--	parents
хаха	488	6.74	1.6264	--	1434	--	haha
желание	489	6.74	1.0461	1645	968	2826	desire
творческой	490	6.74	1.1031	--	--	3330	creative
рождения	491	6.74	1.0063	691	421	2015	Birth
жить	492	6.72	1.4714	338	304	823	live
танец	493	6.72	1.1256	3287	4218	--	dance
интересно	494	6.72	0.9485	544	210	2061	interestingly
ребёнка	495	6.72	1.1256	1719	--	--	baby
ребенка	496	6.72	1.1787	881	1256	2011	baby
тепла	497	6.72	1.1256	--	--	3755	heat
детьми	498	6.72	1.1959	1572	4815	4104	children
дитя	499	6.72	1.3254	2564	--	--	child
health	500	6.72	1.1613	--	4247	--	health
дочерью	501	6.70	1.1294	4319	--	--	daughter
честно	502	6.70	1.1824	790	944	--	honestly
хорошенько	503	6.70	0.9742	3224	--	--	well
крутая	504	6.70	1.2164	--	2048	--	cool
свободного	505	6.70	1.0546	--	--	3256	free
dance	506	6.70	1.1112	--	1948	--	dance
music	507	6.70	1.2330	--	1110	--	music
привет	508	6.70	1.0546	102	163	--	hi
скидка	509	6.70	1.0738	--	1309	--	discount
прикольно	510	6.70	1.6067	--	2198	--	cool
интересного	511	6.70	1.0351	--	3729	--	interesting
dreams	512	6.70	1.1112	--	2713	--	dreams
героя	513	6.70	1.1294	--	--	1414	Hero
подари	514	6.70	1.0152	--	2390	--	Give
отдыха	515	6.70	1.1112	--	4125	3898	recreation
повышения	516	6.70	1.0926	--	--	877	increase
музыки	517	6.70	1.2330	3381	1892	2740	Music
бесплатно	518	6.70	1.1824	3032	476	--	free
свободна	519	6.70	1.0738	4563	--	--	free
дочери	520	6.70	1.2330	1486	--	3750	daughter
музыку	521	6.70	1.0351	1423	863	--	music
улучшение	522	6.70	0.7890	--	--	2983	improvement
везет	523	6.70	1.2495	--	3174	--	lucky
великий	524	6.68	1.2526	1748	3336	1843	great
рекорд	525	6.68	1.3161	--	2909	--	record
освобождение	526	6.68	1.1507	--	--	3277	release
сильный	527	6.68	1.1507	2322	2954	4544	strong
триумфальной	528	6.68	1.2688	--	490	--	triumphal
душа	529	6.68	1.1856	1699	1755	2019	soul
здравствуйте	530	6.68	0.9781	437	2262	--	hello
детстве	531	6.68	1.0774	2903	1604	--	childhood
мирного	532	6.68	1.0774	--	--	4757	Peace
детская	533	6.68	1.0774	--	3883	--	nursery
правильно	534	6.68	1.1328	406	520	1364	right
папе	535	6.68	1.2196	3067	4556	--	Pope
ахахах	536	6.68	1.8783	--	575	--	ahah
герои	537	6.68	1.1328	--	--	4697	Heroes
независимость	538	6.68	1.1683	--	--	3431	independence
