Word	Havg	StDev	GoogleRank	TwitterRank	translation
adorei	258	7.66	1.4086	4327	1687	loved
verdade	259	7.66	1.2715	759	208	truth
kkkkkkkk'	260	7.66	1.6612	--	2397	kkkkkkkk '
incrível	261	7.66	1.2715	6034	1630	incredible
belas	262	7.66	1.0994	5644	--	beautiful
kisses	263	7.66	1.1713	--	4649	kisses
fiel	264	7.64	1.3667	5083	2579	faithful
rindo	265	7.64	1.4394	--	654	laughing
sonhos	266	7.64	1.3365	2246	645	dreams
inteligente	267	7.64	1.1021	4759	2738	smart
festas	268	7.64	1.2578	789	2043	parties
queridos	269	7.64	0.9848	--	3210	ones
verdadeiro	270	7.64	1.4535	3193	828	true
abraçar	271	7.64	1.1205	--	1270	embrace
bem-vindo	272	7.64	1.2249	1555	--	welcome
prêmio	273	7.64	1.2081	1993	1674	award
rsrsrsrs	274	7.64	1.1205	--	2898	rsrsrsrs
legal	275	7.64	1.2081	746	244	legal
rsrsrsrsrs	276	7.64	1.2739	--	6247	rsrsrsrsrs
positivo	277	7.62	1.2103	3731	4991	positive
kkkkkkkkkkkk'	278	7.62	1.8940	--	3661	kkkkkkkkkkkk '
avô	279	7.62	1.3384	--	6348	grandfather
aprovados	280	7.62	1.0476	5119	--	approved
confiança	281	7.62	1.1933	3407	2342	confidence
praias	282	7.62	1.2919	4333	--	beaches
amando	283	7.62	1.7715	--	1778	loving
ganhando	284	7.62	1.0079	--	2657	gaining
lindaaaa	285	7.62	1.4968	--	6143	lindaaaa
gratuita	286	7.62	1.1933	4353	--	Free
pai	287	7.62	1.7484	1002	220	father
fé	288	7.62	1.5238	2258	744	faith
brincar	289	7.62	1.2436	6189	1838	play
#feliznatal	290	7.62	2.0592	--	3545	# Feliznatal
presentes	291	7.62	1.2436	1454	1537	gifts
perfect	292	7.60	1.6162	6343	2680	perfect
realizações	293	7.60	1.1066	--	4703	achievements
ame	294	7.60	1.4708	--	1802	love
campeões	295	7.60	1.3702	5277	--	champions
emoção	296	7.60	1.0498	--	2815	emotion
passeio	297	7.60	1.2454	3716	4612	ride
emocionante	298	7.60	1.0690	--	4908	exciting
vô	299	7.60	1.4428	--	1566	Grandpa
ouro	300	7.60	1.5386	1151	2285	gold
christmas	301	7.60	1.5253	--	1119	christmas
lindooo	302	7.60	1.3702	--	4220	lindooo
sorvete	303	7.60	1.1429	--	1308	ice cream
relaxar	304	7.60	1.0302	--	5168	relax
coragem	305	7.60	1.1952	5014	1032	courage
hehehehe	306	7.60	1.2617	--	3168	hehehehe
beleza	307	7.60	1.1952	504	783	beauty
páscoa	308	7.60	1.0302	6096	--	Easter
abração	309	7.58	1.1082	--	6132	abração
cultura	310	7.58	1.0897	294	3309	culture
sonho	311	7.58	1.1265	1911	487	dream
kkkkkk	312	7.58	1.4155	--	253	kkkkkk
milhões	313	7.58	1.3415	832	1847	million
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk	314	7.58	2.4419	--	5379	kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
Água	315	7.58	1.3415	1738	--	Water
benefícios	316	7.58	1.2137	2433	--	benefits
elogio	317	7.58	1.2137	--	5987	praise
bilhões	318	7.58	1.5530	3027	4643	billion
bombom	319	7.58	1.2137	--	4695	bonbon
bonus	320	7.58	1.2137	--	6351	bonus
paisagem	321	7.58	1.0897	5030	--	landscape
lucro	322	7.58	1.4441	4526	--	profit
beijooos	323	7.58	1.1445	--	4302	beijooos
namorando	324	7.58	1.0515	--	1491	dating
milhão	325	7.58	1.2469	4930	3953	million
ganhar	326	7.56	1.1808	1960	237	win
amigas	327	7.56	1.1095	4736	1199	friends
kiss	328	7.56	1.2643	6401	3431	kiss
comemorando	329	7.56	1.5274	--	5061	celebrating
anjinho	330	7.56	1.1808	--	5936	angel
ahahah	331	7.56	1.2803	--	5137	ahahah
amoo	332	7.56	1.6801	--	1018	amoo
nascimento	333	7.56	1.3273	1477	5104	birth
eficiência	334	7.56	1.1278	4643	--	efficiency
inesquecível	335	7.56	1.1457	--	5654	unforgettable
igualdade	336	7.56	1.3273	6150	--	equality
hahaha'	337	7.56	1.1808	--	2272	hahaha '
beijinho	338	7.56	1.1980	--	5093	kiss
desconto	339	7.56	1.1808	2606	3185	discount
vitoria	340	7.54	1.1643	2865	3435	victory
passeios	341	7.54	1.1988	5835	--	tours
prÊmio	342	7.54	1.5147	--	5749	award
abençoada	343	7.54	1.3734	--	6065	Blessed
ameei	344	7.54	1.4172	--	5817	ameei
cinemas	345	7.54	0.9941	2162	--	cinemas
brasileiro	346	7.54	1.4737	505	1358	Brazilian
sinceridade	347	7.54	1.4875	--	3313	sincerity
rosas	348	7.54	1.2488	--	5413	roses
hehehe	349	7.54	1.2324	6378	1248	hehehe
verdadeiros	350	7.54	1.3280	--	1597	true
brasil	351	7.54	1.8094	39	380	Brazil
bjsss	352	7.54	1.1287	--	5395	bjsss
homenagem	353	7.54	1.0730	3238	2483	tribute
união	354	7.54	1.1104	1120	2400	union
educado	355	7.54	1.0919	--	5356	educated
milagres	356	7.54	1.8649	--	6341	miracles
gratis	357	7.54	1.4316	844	--	Free
esperança	358	7.54	1.4875	2518	1477	hope
cinema	359	7.52	1.1292	532	1551	cinema
lindão	360	7.52	1.5016	--	6388	lindão
beautiful	361	7.52	1.3589	--	2938	beautiful
sonhando	362	7.52	1.1292	--	3694	dreaming
humor	363	7.52	1.4177	1213	1606	humor
rica	364	7.52	1.2162	1943	4356	rich
abraça	365	7.52	1.0925	--	3125	embraces
lar	366	7.52	1.2974	4440	5815	home
querido	367	7.52	1.0349	--	1210	dear
beeijo	368	7.52	1.3589	--	3649	beeijo
grÁtis	369	7.52	1.6689	3054	--	free
flor	370	7.52	1.0349	2793	1261	flower
gratuitos	371	7.52	1.4320	4289	--	Free
disney	372	7.52	1.4602	3300	2672	disney
oportunidades	373	7.52	0.9947	1822	5005	opportunities
abraçando	374	7.52	1.0349	--	6044	embracing
lua	375	7.52	1.1822	2484	939	moon
amiga	376	7.52	1.2162	2247	265	girlfriend
good	377	7.50	1.1112	3283	1570	good
piada	378	7.50	1.5152	5878	1857	joke
bjks	379	7.50	1.2330	--	5772	bjks
comédia	380	7.50	1.4743	3431	4142	comedy
acertou	381	7.50	1.2495	--	5583	hit
bela	382	7.50	1.4178	2109	2208	beautiful
life	383	7.50	1.3740	1992	1667	life
respeito	384	7.50	1.4033	1310	1290	respect
conhecimento	385	7.50	1.2817	915	5877	knowledge
1º	386	7.50	1.4743	--	1723	1
gostei	387	7.50	1.0738	1367	931	liked
doce	388	7.50	1.2330	2294	1424	sweet
viva	389	7.50	1.4033	2003	1121	viva
satisfação	390	7.50	1.1294	4363	--	satisfaction
brasileira	391	7.50	1.3590	579	2926	Brazilian
animar	392	7.50	1.1824	--	3676	animate
educada	393	7.50	0.9313	--	5271	educated
amo'	394	7.50	1.8323	--	4025	Love '
smile	395	7.50	1.7757	--	3666	smile
beijinhos	396	7.50	1.2330	--	3368	kisses
obrigado	397	7.50	1.3286	876	372	thank you
massagem	398	7.48	1.1822	--	5946	massage
esperanças	399	7.48	1.3438	--	4692	hopes
turismo	400	7.48	1.3130	447	--	tourism
#mãe	401	7.48	1.9085	--	5519	# Mother
corações	402	7.48	1.3589	--	3328	hearts
confraternização	403	7.48	1.2493	--	4997	fellowship
gostoso	404	7.48	1.3285	3930	1425	tasty
vó	405	7.48	1.7407	--	808	grandmother
bjoos	406	7.48	1.3886	--	4231	bjoos
brasileiros	407	7.48	1.5550	1600	3333	Brazilian
lanche	408	7.48	1.2656	--	2568	snack
surpresas	409	7.48	1.2974	--	4549	surprises
criança	410	7.48	1.5810	1153	1069	child
rico	411	7.48	1.4602	2357	2446	rich
coraçao	412	7.48	1.4177	--	3001	heart
feeliz	413	7.48	1.7407	--	4092	feeliz
namoro	414	7.48	1.2974	3513	1942	courtship
conquistas	415	7.48	1.1471	--	4621	achievements
hahah	416	7.48	1.2162	--	1091	hahah
kkkkkkk'	417	7.48	1.7171	--	2056	kkkkkkk '
agradecer	418	7.46	1.1104	--	2206	thank
birthday	419	7.46	1.2488	--	2318	birthday
talento	420	7.46	1.1988	--	4112	talent
engraçada	421	7.46	1.3126	--	3548	Funny
ganhos	422	7.46	1.2157	5500	--	earnings
graça	423	7.46	0.9941	2245	723	grace
idéia	424	7.46	1.1817	1701	2945	idea
eficiente	425	7.46	1.3433	6140	--	efficient
sincera	426	7.46	1.2651	--	5636	sincere
sabado	427	7.46	1.3881	--	1076	Saturday
passear	428	7.46	1.2324	--	5414	walk
conquistar	429	7.46	1.0919	--	2495	win
heart	430	7.46	1.2969	5493	2880	heart
flores	431	7.46	1.2488	909	2921	flowers
lindaa	432	7.46	1.4458	--	1965	lindaa
árvores	433	7.46	1.0343	5976	--	trees
querida	434	7.46	1.0539	6154	1085	dear
bjos	435	7.46	1.2324	--	1362	bjos
vidaa	436	7.46	1.2157	--	5278	vidaa
ofertas	437	7.46	1.3584	718	--	offers
respeitar	438	7.44	1.4730	--	5324	respect
presente	439	7.44	1.3726	645	357	present
kkkkk	440	7.44	1.4309	--	191	kkkkk
parques	441	7.44	1.1457	2195	--	parks
almoço	442	7.44	1.3273	4153	1077	lunch
aprovação	443	7.44	1.2803	3211	--	approval
kkkk'	444	7.44	1.1095	--	824	kkkk '
realização	445	7.44	1.2803	1665	--	achievement
comemora	446	7.44	1.3118	--	4849	celebrates
lindinho	447	7.44	1.2961	--	5531	lindinho
delicious	448	7.44	1.4868	1424	--	delicious
maternidade	449	7.44	1.2643	6377	--	motherhood
saude	450	7.44	1.5005	1949	3142	health
brincadeiras	451	7.44	1.2961	--	5458	play
tesouro	452	7.44	1.2643	6105	--	treasure
god	453	7.44	1.9183	5963	2307	god
simpatia	454	7.44	1.3577	--	6042	sympathy
espetáculo	455	7.44	1.3426	6161	--	spectacle
abrace	456	7.44	1.1095	--	5552	Embrace
irmãos	457	7.44	1.2149	3435	2960	siblings
progresso	458	7.42	1.1082	5441	--	progress
êxito	459	7.42	1.3716	5623	--	success
piscina	460	7.42	1.4581	3121	1094	pool
beija	461	7.42	1.4581	--	2309	kisses
lasanha	462	7.42	1.5530	--	4245	Lasagna
conseguimos	463	7.42	1.4155	--	5786	can
educação	464	7.42	1.3566	212	2145	education
filhos	465	7.42	1.5131	1399	1736	children
friend	466	7.42	1.2137	4865	3568	friend
talentos	467	7.42	1.0120	4449	--	talents
princesa	468	7.42	1.1796	5555	2079	princess
prêmios	469	7.42	1.6424	4581	2783	awards
sorrio	470	7.42	1.2137	--	4713	smile
músicos	471	7.42	1.1265	5855	--	musicians
curar	472	7.42	1.3107	--	4624	cure
remuneração	473	7.42	1.4995	5141	--	remuneration
dormir	474	7.42	1.1622	4205	170	sleep
comer	475	7.42	1.1796	2777	290	eat
show	476	7.40	1.5253	595	296	show
fotos	477	7.40	1.1429	100	400	photos
beach	478	7.40	1.3851	5007	--	beach
formatura	479	7.40	1.3093	--	826	graduation
nataal	480	7.40	1.6903	--	3697	nataal
anjo	481	7.40	1.4428	3807	780	angel
paris	482	7.40	1.4846	1845	5767	Paris
qualidade	483	7.40	1.1429	438	2360	quality
pais	484	7.40	1.4569	1118	1073	parents
anjos	485	7.40	1.4286	3634	2746	Angels
gostar	486	7.40	0.9476	5653	837	like
água	487	7.40	1.6537	685	1475	water
poema	488	7.40	1.2617	4371	--	poem
melhores	489	7.40	1.3401	525	525	best
sun	490	7.40	1.4428	3582	--	sun
primavera	491	7.40	1.2122	4673	--	spring
delicia	492	7.40	1.4983	--	1632	delights
doces	493	7.40	1.6288	3921	5259	candies
kkkkkk'	494	7.40	1.7957	--	1629	kkkkkk '
health	495	7.40	1.5386	4402	--	health
sabor	496	7.40	1.2936	5002	3996	flavor
verão	497	7.40	1.7023	1867	1658	summer
sincero	498	7.38	1.4831	--	2423	sincere
rsrsrs	499	7.38	1.1586	--	1117	lol
amazing	500	7.38	1.3536	--	2699	amazing
tranquilo	501	7.38	1.2436	--	2843	quiet
solução	502	7.38	1.3076	1602	3251	solution
surpresa	503	7.38	1.4831	5084	1411	surprise
