Word	HappRank	Havg	StDev	Gweb_Rank	TwitterRank	Gbook_Rank	translation
aime	57	7.72	1.0110	772	401	1473	love
adorable	58	7.72	0.9267	--	1871	--	lovely
fantastique	59	7.72	0.9697	4994	--	--	fantastic
cadeau	60	7.72	1.1436	2075	441	--	gift
ahahahah	61	7.72	1.3708	--	2736	--	ahahahah
rêves	62	7.72	1.1256	3619	1638	4707	dreams
#love	63	7.72	1.8187	--	2745	--	# Love
libre	64	7.70	1.0738	537	1561	569	Free
maman	65	7.70	1.4321	1672	617	--	mom
adore	66	7.70	1.0351	2795	2350	--	love
succès	67	7.70	1.1294	1923	2206	639	success
libertés	68	7.70	1.1294	1825	--	3621	freedoms
noel	69	7.68	1.6343	3875	274	--	Christmas
contente	70	7.68	1.0962	--	1181	4842	happy
loves	71	7.68	1.1507	--	1657	--	loves
victoire	72	7.66	1.2224	3322	1464	1478	victory
wonderful	73	7.66	1.0616	--	2658	--	wonderful
bien-être	74	7.66	1.1178	2028	--	--	well-being
liberté	75	7.66	1.2715	1698	2596	274	freedom
holiday	76	7.66	1.1886	--	2702	--	holiday
d'amour	77	7.64	1.2739	--	1422	--	Love
beauté	78	7.64	1.0053	416	1627	1620	beauty
week-end	79	7.64	1.2249	2062	1250	--	weekend
enthousiasme	80	7.64	1.1205	--	--	2725	enthusiasm
fêter	81	7.64	1.1021	--	2948	--	celebrate
chérie	82	7.64	1.0835	--	1530	--	honey
hahahah	83	7.64	1.1739	--	3703	--	hahahah
voyage	84	7.64	1.1021	457	1520	896	Travel
géniale	85	7.64	1.1205	--	3945	--	great
chocolats	86	7.64	1.1563	--	4091	--	chocolates
loving	87	7.62	1.3076	--	5146	--	loving
îles	88	7.62	1.0476	4773	--	2257	Islands
ami	89	7.62	1.0669	381	855	904	Friend
fleurs	90	7.62	0.9875	1491	4245	1966	flowers
paradise	91	7.62	1.2271	--	4015	--	paradise
amis	92	7.62	1.2271	412	427	774	friends
passion	93	7.62	1.0079	2265	2767	1649	passion
beaux	94	7.60	1.1066	2849	1215	1622	beautiful
coeur	95	7.60	1.1952	797	397	--	heart
ahahahaha	96	7.60	1.6288	--	4991	--	ahahahaha
espoir	97	7.60	1.2122	3924	4880	1763	hope
noël	98	7.60	1.4428	1487	103	--	christmas
chouette	99	7.60	1.1249	--	3264	--	owl
agréable	100	7.58	0.9278	3639	5112	3110	pleasant
bisou	101	7.58	1.0515	--	2067	--	kiss
cherie	102	7.58	1.1082	--	4054	--	cherie
vacance	103	7.58	1.5398	--	3101	--	vacancy
famille	104	7.58	1.1968	428	399	330	Family
l'humour	105	7.58	0.9495	--	4378	--	humor
vie	106	7.56	1.2961	116	144	109	life
mamans	107	7.56	1.4868	1000	--	--	Moms
aimé	108	7.56	1.3273	3432	1321	3595	loved
ouiiii	109	7.56	1.3577	--	3245	--	ouiiii
parfait	110	7.56	1.4868	3419	1045	2872	perfect
christmas	111	7.56	1.3874	--	236	--	christmas
friends	112	7.56	1.1634	2989	819	--	friends
weekend	113	7.54	1.3881	--	1931	--	weekend
jolie	114	7.54	1.1287	2918	938	--	pretty
amitié	115	7.54	1.4172	3403	--	1887	Friendship
#vacances	116	7.54	1.5806	--	4218	--	# Vacation
peace	117	7.54	1.3280	--	2452	--	peace
extraordinaire	118	7.54	1.1988	--	--	1975	wonderful
super	119	7.54	1.0919	850	250	--	super
naissance	120	7.54	1.1466	1236	3615	947	birth
parfaite	121	7.52	1.3438	--	2595	2119	perfect
beautiful	122	7.52	1.0150	--	638	--	beautiful
hahahaha	123	7.52	1.5285	--	1240	--	hahahaha
adoré	124	7.52	1.1471	--	4306	--	loved
rigole	125	7.52	1.1822	--	1249	--	channel
gâteau	126	7.50	0.9742	--	5050	--	cake
intelligence	127	7.50	1.0738	2980	--	978	intelligence
anniversaire	128	7.50	0.9949	1824	554	--	birthday
l'espoir	129	7.50	1.1995	--	4875	--	hope
dream	130	7.50	1.1473	--	1030	--	dream
great	131	7.50	1.1473	4326	585	--	great
réussite	132	7.50	1.1112	4115	4828	4529	achievement
content	133	7.50	1.4743	2469	1311	--	happy
marrant	134	7.50	1.1112	--	1510	--	funny
birthday	135	7.48	1.2656	--	465	--	birthday
libération	136	7.48	1.2162	4661	--	2265	release
positive	137	7.48	1.2656	--	--	2846	positive
fêtes	138	7.48	1.2493	2784	558	3083	holidays
merciiii	139	7.48	1.4602	--	3552	--	merciiii
aiment	140	7.46	1.3734	--	2051	--	love
ahahaha	141	7.46	1.4737	--	2005	--	ahahaha
jouir	142	7.46	1.1643	--	--	3726	enjoy
summer	143	7.46	1.2488	--	4576	--	summer
désir	144	7.46	1.1104	2861	--	869	craving
chance	145	7.46	1.1466	1845	394	3133	luck
miracle	146	7.46	1.2324	--	4517	4946	miracle
belles	147	7.46	1.1466	2215	1145	1713	beautiful
fun	148	7.46	1.0144	3524	1044	--	fun
zen	149	7.46	1.2324	5200	--	--	zen
perfect	150	7.44	1.4868	--	1413	--	perfect
t'aimes	151	7.44	1.3426	--	3775	--	love you
sympa	152	7.44	0.9930	2807	742	--	nice
compliment	153	7.44	1.1095	--	4815	--	compliment
passions	154	7.44	1.0529	4618	--	1797	emotions
cœur	155	7.44	1.2316	1798	1420	404	heart
hahahahaha	156	7.44	1.5928	--	3027	--	hahahahaha
sun	157	7.44	1.4591	3890	3243	--	sun
enjoy	158	7.44	1.0529	--	1347	--	enjoy
jolies	159	7.42	0.9916	--	3812	--	pretty
drole	160	7.42	1.1082	--	2505	--	funny
confiance	161	7.42	1.1796	1657	1558	937	trust
art	162	7.42	1.2631	289	1581	190	art
cœurs	163	7.42	1.3107	--	--	4164	hearts
sympathique	164	7.42	0.9278	--	2071	--	sympathetic
réussir	165	7.42	1.1622	5216	3466	4633	succeed
drôle	166	7.42	1.2137	--	889	--	funny
douceur	167	7.42	1.0897	--	5199	3998	sweetness
hihihi	168	7.40	1.1249	--	3335	--	hihihi
gentille	169	7.40	1.1066	--	1560	--	nice
gagner	170	7.40	1.1952	1721	491	2353	win
delicious	171	7.40	1.0880	3747	--	--	delicious
gentil	172	7.38	1.1045	--	747	--	nice
music	173	7.38	1.1045	844	486	--	music
l'anniversaire	174	7.38	0.9875	--	2308	--	birthday
papa	175	7.38	1.3834	3795	755	--	Dad
printemps	176	7.38	1.0476	3215	3929	2757	spring
sympas	177	7.38	1.0669	--	4731	--	nice
laugh	178	7.38	1.2919	--	3759	--	laugh
jouissance	179	7.38	1.1761	--	--	3777	enjoyment
beau	180	7.38	1.0476	1170	256	729	beautiful
lovely	181	7.38	1.0669	--	2423	--	lovely
chocolat	182	7.38	1.1229	2283	950	--	Chocolate
charme	183	7.36	1.1021	2884	4085	3971	charm
tendre	184	7.36	1.1563	--	--	2928	tender
ahahah	185	7.36	1.2578	--	1067	--	ahahah
#noël	186	7.36	1.6258	--	2419	--	# Christmas
intelligent	187	7.36	1.0835	--	3993	--	Intelligent
fidèle	188	7.36	1.0451	4931	--	2186	faithful
sympathie	189	7.36	0.9638	--	--	3815	sympathy
Îles	190	7.34	1.2390	3071	--	--	Islands
tolérance	191	7.34	1.2554	--	--	5112	tolerance
magique	192	7.34	1.3188	4687	1936	--	magic
fidélité	193	7.34	1.0224	--	--	3024	faithfulness
douce	194	7.34	1.0616	3964	2829	2891	fresh
bienvenue	195	7.34	1.1886	1037	710	--	Welcome
rêvé	196	7.34	1.1359	--	3871	--	dream
réussi	197	7.34	1.2390	3726	1702	2536	successful
bonté	198	7.34	1.0224	--	--	3142	goodness
été	199	7.34	1.2715	85	272	65	summer
gagnant	200	7.34	1.4086	--	3830	--	winner
jouets	201	7.34	1.2056	1041	5115	--	toys
généreux	202	7.34	1.0806	--	--	4635	generous
noËl	203	7.34	1.4930	--	3963	--	christmas carol
satisfaction	204	7.34	1.1537	4855	--	1946	satisfaction
brillante	205	7.34	1.0224	--	--	5175	brilliant
musiques	206	7.32	1.1856	2262	3393	--	music
kiss	207	7.32	1.0388	--	1178	--	kiss
merciii	208	7.32	1.4769	--	2536	--	merciii
mignon	209	7.32	0.9988	--	864	--	cute
danser	210	7.32	1.1507	--	2106	--	dance
bravo	211	7.32	1.1856	3120	799	--	Bravo
idéal	212	7.32	1.0388	3005	--	1869	ideal
copains	213	7.32	1.0962	1109	5117	--	friends
musique	214	7.32	1.1683	128	442	1215	Music
hahaha	215	7.30	1.2976	--	416	--	hahaha
ouiiiii	216	7.30	1.3740	--	5058	--	ouiiiii
pretty	217	7.30	1.0546	--	1676	--	pretty
funny	218	7.30	1.1995	--	1759	--	funny
vivre	219	7.30	1.3740	1105	917	916	experience
joli	220	7.30	0.9742	4437	1823	--	pretty
aimez	221	7.30	1.4880	4889	2132	--	love
yeaaah	222	7.30	1.4321	--	5175	--	yeaaah
copine	223	7.30	1.1473	--	1198	--	girlfriend
meilleures	224	7.30	1.1112	1062	2404	4105	best
parfums	225	7.28	1.1436	2902	--	--	perfumes
taime	226	7.28	1.4988	--	4657	--	love you
bises	227	7.28	0.9485	--	3868	--	kisses
désirs	228	7.28	1.0887	--	--	3643	desires
bébés	229	7.28	1.6665	1563	4590	--	babies
mignonne	230	7.28	1.0506	--	2982	--	Cute
massage	231	7.28	1.2784	2984	4934	--	Massage
blagues	232	7.28	1.2623	--	2928	--	jokes
loisirs	233	7.28	1.0698	334	--	--	Recreation
amie	234	7.28	1.2784	4556	891	4798	friend
gratuit	235	7.28	1.1256	294	1136	--	Free
créatifs	236	7.26	1.2257	2914	--	--	Creative
libres	237	7.26	1.2423	1520	--	1752	Free
fruits	238	7.26	1.1395	2081	4355	1936	fruit
merci	239	7.26	1.2747	200	64	5140	thank you
mer	240	7.26	1.1747	619	2035	487	Sea
#noel	241	7.26	1.5624	--	3161	--	# Christmas
solidarité	242	7.26	1.2257	2851	--	2742	Solidarity
parfum	243	7.26	1.1395	4209	2538	--	perfume
aimable	244	7.26	1.1214	--	--	5001	friendly
smile	245	7.26	1.2586	--	1589	--	smile
offrir	246	7.26	0.9216	2526	3118	2333	offer
génie	247	7.24	1.0606	3398	--	1124	engineering
aimes	248	7.24	1.5328	--	1323	--	love
welcome	249	7.24	1.2867	--	732	--	welcome
mariage	250	7.24	1.6233	918	1667	829	Wedding
étoile	251	7.24	0.9161	3954	--	--	star
fetes	252	7.24	1.6358	--	4333	--	celebrations
positives	253	7.24	1.0984	3460	--	--	positive
arts	254	7.24	1.1528	825	4483	1224	arts
ange	255	7.24	1.3637	4305	2793	4024	Angel
kisses	256	7.24	1.4647	--	3916	--	kisses
librement	257	7.22	1.1480	--	--	3173	free
divertissement	258	7.22	0.9957	1621	--	--	entertaining
gratuites	259	7.22	1.4039	1250	--	--	Free
bébé	260	7.22	1.3746	390	993	--	Baby
friend	261	7.22	1.2664	5001	1155	--	friend
amor	262	7.22	1.4184	--	2339	--	amor
bebe	263	7.20	1.5518	--	4441	--	bebe
fleur	264	7.20	1.0102	3159	4745	4240	flower
oui	265	7.20	1.1606	375	56	1364	yes
beauty	266	7.20	1.0302	--	4128	--	beauty
réveillon	267	7.20	1.1249	--	897	--	Eve
chocolate	268	7.20	1.0498	--	4792	--	chocolate
luck	269	7.18	1.2070	--	2343	--	luck
beach	270	7.18	1.5077	3708	4609	--	beach
chances	271	7.18	1.2070	4762	4342	3602	chances
blague	272	7.18	1.0039	--	1041	--	joke
étoiles	273	7.18	1.1008	1222	4250	4399	stars
culture	274	7.18	1.2567	393	1603	570	Culture
l'aime	275	7.18	1.0039	--	1038	--	love
dreams	276	7.18	1.1551	--	2086	--	dreams
harmonie	277	7.18	1.3200	--	--	2352	harmony
ouiii	278	7.18	1.2070	--	2312	--	ouiii
positif	279	7.18	1.3045	--	--	3308	positive
égalité	280	7.18	1.2567	4975	--	1742	equality
diamant	281	7.18	1.2887	3354	--	--	Diamond
fortune	282	7.16	1.2513	--	--	1242	fortune
chante	283	7.16	1.1493	--	896	--	sings
respect	284	7.16	1.2182	1317	1221	1192	respect
cinéma	285	7.16	1.2182	332	1518	3487	cinema
loved	286	7.16	1.7186	--	3396	--	loved
accomplissement	287	7.16	1.1843	--	--	4245	achievement
océan	288	7.16	1.4049	--	--	3674	Ocean
family	289	7.16	1.2835	4599	936	--	family
poétique	290	7.16	1.1493	--	--	2778	poetic
loisir	291	7.16	0.9971	3030	--	--	leisure
sagesse	292	7.16	1.1843	--	--	1962	wisdom
sentiment	293	7.16	1.1493	4951	4149	658	feeling
gratuite	294	7.16	1.2675	606	2302	--	Free
méditerranée	295	7.16	1.2349	4567	--	4181	Mediterranean
gratuits	296	7.14	1.3852	1626	--	--	Free
copain	297	7.14	0.9691	3401	1969	--	boyfriend
juillet	298	7.14	1.1782	286	4275	451	July
champions	299	7.14	1.2291	4659	2486	--	champions
gloire	300	7.14	1.2124	--	--	1202	glory
festival	301	7.14	1.1068	1185	2136	--	festival
iles	302	7.14	1.2938	4532	--	--	islands
chanter	303	7.14	1.0500	--	1373	--	sing
août	304	7.14	1.3403	336	--	606	August
poésie	305	7.14	1.0692	3465	--	1479	Poetry
enfants	306	7.14	1.3250	244	640	303	children
mère	307	7.14	1.6037	1254	314	466	mother
enfant	308	7.12	1.3649	419	1262	446	child
reveillon	309	7.12	1.1718	--	3899	--	eve
meilleur	310	7.12	1.1718	758	459	1568	top
baby	311	7.12	1.2395	2751	674	--	baby
#voyager	312	7.12	1.7337	--	3755	--	# Travel
mères	313	7.12	1.3498	4420	--	4690	mothers
thanks	314	7.12	1.1364	--	374	--	thanks
ahaha	315	7.12	1.2061	--	887	--	ahaha
doux	316	7.12	1.1364	4434	2535	2789	sweet
lucky	317	7.12	1.0999	--	2529	--	lucky
mother	318	7.12	1.6368	--	3061	--	mother
fete	319	7.12	1.2879	--	2480	--	party
cinema	320	7.10	1.2976	2199	4508	--	cinema
surprise	321	7.10	1.2657	3856	1318	3106	shock
good	322	7.10	0.9949	3605	211	--	Good
qualité	323	7.10	1.0738	378	1983	674	quality
festivals	324	7.10	1.0926	4168	--	--	festivals
together	325	7.10	1.2817	--	2171	--	together
motivation	326	7.10	1.1294	3835	4689	--	motivation
vivante	327	7.10	1.0738	--	--	3972	living
champion	328	7.10	1.2330	3710	2405	--	champion
récompense	329	7.10	1.1112	--	--	4677	reward
admiration	330	7.10	0.9742	--	--	3051	admiration
artiste	331	7.10	1.2164	1540	1732	2156	artist
roses	332	7.10	1.2817	--	5073	--	roses
creative	333	7.08	1.1036	3489	--	--	creative
m'aime	334	7.08	1.5365	--	2967	--	loves me
sentiments	335	7.08	1.1400	--	4067	1208	feelings
gastronomie	336	7.08	1.3827	2134	--	--	gastronomy
gagné	337	7.08	1.3827	--	1572	4977	won
artistes	338	7.08	1.2591	1004	2639	2587	artists
honnête	339	7.08	1.1400	--	--	4220	honest
maternité	340	7.08	1.4686	3089	--	--	maternity
remarquable	341	7.08	1.1400	--	--	1665	outstanding
sauver	342	7.08	1.3223	3638	2866	2721	save
parents	343	7.08	1.3529	1101	581	1070	Parents
imagination	344	7.08	1.0270	--	--	1492	imagination
films	345	7.08	1.2095	616	1024	--	movies
amazing	346	7.06	1.3001	--	643	--	amazing
camarades	347	7.06	1.1323	--	--	3765	comrades
détente	348	7.06	1.1323	4061	--	--	relaxation
courage	349	7.06	0.9775	2826	632	1542	bravery
familles	350	7.06	1.1678	1963	4992	1136	families
héros	351	7.06	1.1502	4811	4680	1800	heroes
dad	352	7.06	1.3911	--	4142	--	dad
spectacle	353	7.06	0.7669	1459	2025	1995	show
anniv	354	7.06	1.2022	--	3581	--	Birthday
jardins	355	7.06	1.2521	3476	--	3960	gardens
entraide	356	7.06	1.3157	2663	--	--	support
meilleurs	357	7.06	1.1323	852	1048	2571	top
prospérité	358	7.04	1.0490	--	--	2971	Prosperity
vérité	359	7.04	1.0490	3406	1654	418	truth
mdrrrrr	360	7.04	2.1662	--	1237	--	mdrrrrr
life	361	7.04	1.3087	2313	439	--	life
l'art	362	7.04	1.0490	--	3479	--	Art
fantasy	363	7.04	1.0872	4173	--	--	fantasy
poème	364	7.04	1.0490	--	--	3095	poem
sunday	365	7.04	1.6157	--	2953	--	sunday
vivants	366	7.04	1.1599	--	--	3733	living
movies	367	7.04	1.1058	3312	--	--	movies
vœux	368	7.04	1.2282	--	--	3847	wishes
doudou	369	7.04	1.2610	--	4666	--	doudou
santé	370	7.04	1.4280	125	1206	1092	health
party	371	7.04	1.1945	3528	961	--	party
espérance	372	7.02	1.3626	--	--	2509	expectation
vies	373	7.02	1.4356	--	4182	--	lives
singing	374	7.02	1.0784	--	4166	--	singing
originalité	375	7.02	1.0398	--	--	4432	originality
tranquillité	376	7.02	1.2534	--	--	4824	peacefulness
paysages	377	7.02	1.2856	5077	--	--	landscapes
jeux	378	7.02	1.2534	61	781	2863	games
couple	379	7.02	1.2370	1533	901	3428	torque
cool	380	7.00	1.1429	2854	268	--	cool
préférés	381	7.00	0.9689	2054	--	--	favorite
potes	382	7.00	0.9689	--	1375	--	friends
chant	383	7.00	1.2122	3971	--	3108	song
créer	384	7.00	1.1780	339	1673	1374	create
découvrir	385	7.00	1.2122	886	1302	2159	discover
lumière	386	7.00	1.3553	2008	2483	666	light
mdrrrr	387	7.00	2.0203	--	580	--	mdrrrr
favorite	388	7.00	1.1066	--	1506	--	favorite
sieste	389	7.00	1.1780	--	3284	--	nap
aout	390	7.00	1.5779	3199	--	--	August
brillant	391	7.00	1.0302	--	--	5010	bright
sexy	392	7.00	1.1066	1433	699	--	sexy
l'univers	393	7.00	1.1780	--	1852	--	the universe
free	394	7.00	1.3093	1086	629	--	free
travel	395	7.00	1.2617	5209	--	--	travel
fruit	396	7.00	1.2289	4946	4953	2561	fruit
pizza	397	6.98	1.1692	--	2188	--	pizza
aventures	398	6.98	1.0593	4244	--	--	adventures
éternelle	399	6.98	1.3923	--	--	4003	eternal
poèmes	400	6.98	1.1156	--	--	4723	poems
spectacles	401	6.98	1.1337	1608	--	--	shows
animaux	402	6.98	1.2370	533	3444	919	animals
soldes	403	6.98	1.1156	--	4944	--	balances
admirable	404	6.98	1.1692	--	--	3386	admirable
d'amis	405	6.98	1.2534	--	4337	--	Friends
facile	406	6.98	1.1337	1467	1148	963	easy
meilleure	407	6.98	1.3775	1125	779	1927	better
artistique	408	6.98	1.0971	3371	--	3966	artistic
remercier	409	6.98	1.1156	--	4915	--	thank
soirées	410	6.98	1.0200	3811	3977	--	evenings
concert	411	6.98	0.9998	1155	454	4366	concert
culturel	412	6.98	1.1516	1861	--	3311	cultural
aventure	413	6.98	1.0200	1855	--	3204	adventure
pacifique	414	6.98	1.3323	--	--	3894	peaceful
artist	415	6.98	1.1337	--	3502	--	artist
honneurs	416	6.98	1.3169	--	--	4622	honors
coucou	417	6.98	1.0784	3640	568	--	Cuckoo
confort	418	6.98	0.9998	1931	--	--	comfort
chansons	419	6.98	1.1516	1935	1287	--	songs
naître	420	6.98	1.2534	--	--	2427	born
éternel	421	6.98	1.2856	--	--	4553	everlasting
dons	422	6.96	1.2610	--	--	4116	donations
favourite	423	6.96	1.1773	--	5233	--	favorite
prestige	424	6.96	1.2282	4541	--	4025	prestige
maison	425	6.96	1.1773	133	390	360	home
nice	426	6.96	1.3087	1249	595	--	nice
offert	427	6.96	1.0872	4033	2285	4611	offered
bien	428	6.96	1.1058	63	44	61	well
internet	429	6.96	1.2610	122	552	--	Internet
tranquille	430	6.96	1.1773	--	1456	4474	peaceful
nutella	431	6.96	1.5113	--	3195	--	nutella
couette	432	6.96	1.4978	--	3049	--	quilt
découverte	433	6.96	1.0872	1894	2952	1738	discovery
préférée	434	6.94	0.9775	--	3207	--	favorite
affection	435	6.94	1.4765	--	--	2416	affection
ciné	436	6.94	1.2843	2926	2443	--	cine
awesome	437	6.94	1.5960	--	1334	--	awesome
livres	438	6.94	1.3763	230	2015	497	books
intéressant	439	6.94	1.1323	2149	1944	2018	interesting
bonne	440	6.94	0.8901	340	83	389	good
ciel	441	6.94	1.2022	1677	1801	911	sky
children	442	6.94	1.2357	--	5158	--	children
bibliothèques	443	6.94	1.2521	3310	--	--	Libraries
inspiration	444	6.94	1.1141	--	3831	3323	inspiration
goodnight	445	6.94	1.2843	--	3166	--	goodnight
sweet	446	6.94	1.2357	--	1434	--	sweet
best	447	6.94	1.3614	1997	284	--	best
concerts	448	6.94	1.1678	1810	3563	--	concerts
chanté	449	6.94	1.0382	--	4552	--	sung
riche	450	6.94	1.4057	3592	2401	1436	rich
gagne	451	6.94	1.2843	4829	1279	--	wins
jeu	452	6.94	1.0577	265	530	859	game
jeunesse	453	6.94	1.1678	1001	3114	1321	youth
vivant	454	6.94	1.2022	3724	4531	1556	living
bonjour	455	6.94	1.2683	388	245	--	hello
baiser	456	6.94	1.6340	--	2813	--	kiss
xmas	457	6.92	1.6640	--	1467	--	xmas
familial	458	6.92	1.4119	4452	--	--	family
amélioration	459	6.92	0.9442	2828	--	2634	improvement
autonomie	460	6.92	1.1578	3245	--	2670	autonomy
like	461	6.92	1.0467	3338	187	--	like
voeux	462	6.92	1.2262	3364	2078	--	wishes
pureté	463	6.92	1.2095	--	--	4371	purity
heart	464	6.92	1.2591	--	1112	--	heart
hello	465	6.92	1.2591	3846	436	--	hello
bons	466	6.92	1.1220	917	1208	1333	good
l'eau	467	6.92	1.3068	--	1611	--	Water
yes	468	6.92	1.0850	--	456	--	yes
theatre	469	6.92	1.0467	5224	--	--	theater
win	470	6.92	1.2428	3376	1308	--	win
oxygène	471	6.92	1.2752	--	--	5170	oxygen
énergie	472	6.92	1.0660	1337	--	1134	energy
talent	473	6.92	1.1220	4503	1348	2274	talent
dignité	474	6.92	1.2591	--	--	2073	dignity
pote	475	6.92	1.0467	--	655	--	pal
australie	476	6.92	1.3974	1282	--	--	australia
pure	477	6.92	1.2095	4552	3012	1459	pure
propre	478	6.92	1.2262	1103	1629	321	own
offerts	479	6.90	1.2164	5230	--	--	offered
haha	480	6.90	1.4321	--	151	--	haha
nature	481	6.90	1.2657	649	2176	191	Nature
eau	482	6.90	1.2330	351	4898	264	water
favorable	483	6.90	1.0926	--	--	1709	favorable
hihi	484	6.90	1.3286	--	886	--	hihi
copines	485	6.90	1.3286	--	4611	--	girlfriends
idée	486	6.90	1.0546	1107	775	276	notion
apprécier	487	6.90	1.0926	--	--	2873	appreciate
dynamique	488	6.90	1.1112	2223	--	2914	dynamic
émotion	489	6.90	1.1650	--	--	2998	emotion
miam	490	6.90	1.2164	--	2428	--	yum
hahah	491	6.90	1.6568	--	2268	--	hahah
kinder	492	6.90	1.4743	--	3874	--	kinder
jaime	493	6.88	1.7337	--	2217	--	jaime
venise	494	6.88	1.3797	--	--	3478	venice
azur	495	6.88	1.2879	2190	--	--	Azure
sincère	496	6.88	1.0999	--	--	4649	sincere
richesses	497	6.88	1.4090	--	--	2656	wealth
avenir	498	6.88	1.1364	1727	4087	745	future
invitation	499	6.88	1.0622	5038	--	--	call
nouvelle-zélande	500	6.88	1.3649	4350	--	--	New Zealand
abondance	501	6.88	1.3037	--	--	3180	abundance
livre	502	6.88	1.3797	357	812	355	Book
perfection	503	6.88	1.5205	--	--	2625	perfection
qualités	504	6.88	1.2229	5007	--	1434	qualities
lumières	505	6.88	1.1183	--	5048	2645	lights
idées	506	6.88	1.3037	948	1513	405	ideas
pur	507	6.88	1.1891	4625	3821	1721	pure
marier	508	6.88	1.1891	--	4159	--	married
sœurs	509	6.88	1.1718	--	--	3836	sisters
princesse	510	6.88	1.2720	--	2734	2739	Princess
création	511	6.88	1.2720	438	2892	719	creation
sensation	512	6.88	1.0230	--	5220	2849	feeling
home	513	6.88	1.3498	591	823	--	home
jouer	514	6.88	1.1183	1278	665	1739	play
chanson	515	6.88	1.1542	1557	466	--	track
women	516	6.88	1.2229	--	3309	--	women
respecte	517	6.88	1.1718	--	3640	--	respects
lol	518	6.86	1.6783	1805	75	--	lol
samedi	519	6.86	1.2618	579	601	--	Saturday
couples	520	6.86	1.3250	--	4566	--	couples
vrai	521	6.86	1.1430	1015	206	379	real
angel	522	6.86	1.2456	--	3972	--	angel
dodo	523	6.86	1.3095	--	893	--	dodo
souvenirs	524	6.86	0.9260	3612	2218	2078	memories
mdrrrrrrrr	525	6.86	2.1854	--	4971	--	mdrrrrrrrr
better	526	6.86	1.3403	--	971	--	better
protéger	527	6.86	1.3095	3407	5098	2899	protect
promotions	528	6.86	1.1782	3053	--	--	promotions
dimanche	529	6.86	1.6904	658	627	3052	Sunday
manger	530	6.86	1.2779	2175	391	3117	eat
song	531	6.86	1.2124	--	516	--	song
l'artiste	532	6.86	0.9691	--	4859	--	the artist
bienvenu	533	6.86	1.0692	--	4228	--	welcome
romans	534	6.86	1.2938	3327	--	3339	novels
brothers	535	6.86	1.1608	--	3555	--	brothers
restaurants	536	6.86	1.2779	1048	--	--	restaurants
