Word	Havg	StDev	FreqList	translation
تحبنى	53	7.80	1.0302	9088	Love me
أطفالي	54	7.80	1.2122	5196	My kids
السعيد	55	7.80	1.0302	6953	Saeed
بالحب	56	7.78	1.0160	5533	Love
أصدقائى	57	7.78	1.1301	6743	My Friends
الجميلة	58	7.78	0.9750	1196	Fine
حبي	59	7.78	1.0359	3390	My love
love	60	7.78	1.6938	8624	love
حبيبي	61	7.76	1.1528	1222	Habibi
ممتازة	62	7.76	1.0214	3470	Excellent
الإحتفال	63	7.76	1.0412	9524	Celebration
بالسعادة	64	7.76	1.1877	8810	Happy
تحبك	65	7.76	1.3486	5629	Woven
الحرية	66	7.76	1.2048	2411	Freedom
متعة	67	7.76	1.0984	5586	Fun
الأمان	68	7.74	1.1920	3954	Safety
السعيدة	69	7.74	1.4682	6288	Happy
الجميلات	70	7.74	0.9858	7133	Beautiful
أجازة	71	7.72	1.1787	8141	Vacation
الرائعة	72	7.72	0.9697	2838	Wonderful
الرب	73	7.70	1.3439	812	Lord
ربحت	74	7.70	1.2976	3122	Won
جميلة	75	7.70	1.2495	321	Beautiful
والدتك	76	7.70	1.2817	1635	Your mother
ممتعة	77	7.70	1.1824	2654	Fun
رائعون	78	7.70	1.0546	7482	Wonderful
حبك	79	7.70	1.4178	3910	Love
الورود	80	7.68	1.1856	8596	Roses
الاحتفال	81	7.68	1.0774	7715	Celebration
الام	82	7.68	1.8120	7273	Mother
يفوز	83	7.68	1.0583	5410	Wins
ممتع	84	7.68	0.9134	2345	Fun
ينجح	85	7.68	1.1147	2789	Succeed
والدى	86	7.68	1.3619	3515	My father
الفائز	87	7.68	1.0190	3244	Winner
امى	88	7.66	1.5201	2189	Lamy
يحبك	89	7.66	1.5334	3886	Loves
حفلة	90	7.66	1.1537	793	Concert
لأمي	91	7.66	1.4086	8312	For Mom
الصلاة	92	7.66	1.4086	8391	Prayer
أبي	93	7.66	1.3940	159	Dad
مسرور	94	7.66	1.3494	1914	Pleased
ربي	95	7.64	1.6383	5591	RBI
محظوظين	96	7.64	0.9848	7712	Lucky
يحب	97	7.64	1.0254	988	Loves
الاطفال	98	7.64	1.4107	1842	Kids
يحبني	99	7.64	1.2578	6203	Loves me
والداي	100	7.64	1.3962	6623	My parents
رائعين	101	7.62	0.9666	5634	Fantastic
حفلات	102	7.62	1.1409	6234	Concerts
زفاف	103	7.62	1.5104	4392	Wedding
فائز	104	7.62	1.3686	9144	Winner
أحبه	105	7.62	1.1229	2603	I love it
طفلك	106	7.62	1.1761	5355	Child
فاز	107	7.60	1.2122	5364	Won
نحتفل	108	7.60	0.9897	5925	Celebrate
تحبني	109	7.60	1.1952	3446	Love me
الكنز	110	7.60	1.1606	5617	Treasure
رومانسية	111	7.60	1.1952	9444	Romantic
نتزوج	112	7.60	1.1952	7459	Get married
الخير	113	7.60	1.1429	341	Goodness
الشاطىء	114	7.60	1.1066	8626	Beach
الحفلة	115	7.60	0.9897	1309	Concert
عائلتى	116	7.60	1.3401	5997	My family
أطفالك	117	7.60	1.3093	8846	Children
الالعاب	118	7.60	1.0498	8702	Games
الهدية	119	7.58	0.8593	7618	Gift
أحبها	120	7.58	1.1622	3092	I love
رائعه	121	7.58	1.1968	2542	Wonderful
سعدت	122	7.58	1.1796	3100	I had the pleasure
لذيذ	123	7.58	0.9278	3301	Delicious
الزهور	124	7.56	1.1457	2910	Flowers
المحظوظ	125	7.56	1.1278	8902	Lucky
قمر	126	7.56	1.3726	8620	Moon
أصدقاء	127	7.56	1.1457	861	Friends
الهدايا	128	7.56	1.0721	5803	Gifts
ممتعا	129	7.56	1.1808	5482	Fun
والديك	130	7.56	1.3874	4876	And parents
يحبها	131	7.56	1.3273	8280	Loved
جذابة	132	7.56	1.1457	6510	Attractive
تفوز	133	7.56	1.2149	6547	Wins
فزت	134	7.56	1.3577	3976	I won
الصداقة	135	7.56	1.1278	7146	Friendship
العائلة	136	7.56	1.3118	1014	Family
سروري	137	7.56	1.0333	4673	Pleasure
ربحنا	138	7.56	1.2643	9119	Won
ابنتى	139	7.54	1.3881	5582	Daughter
عيد	140	7.54	1.4598	363	Holiday
جميله	141	7.54	1.0919	2549	Beautiful
نجح	142	7.54	1.2651	4303	Succeeded
الاصدقاء	143	7.54	1.0730	8663	Friends
الأصدقاء	144	7.52	1.0925	2093	Friends
عبقري	145	7.52	1.1648	4032	Genius
احبها	146	7.52	1.2162	7663	I love it
رب	147	7.52	1.5151	6343	Lord
زواجي	148	7.52	1.4032	9652	My marriage
والدك	149	7.52	1.4032	609	Your father
الجميله	150	7.52	0.9739	9826	Beauties
قبلة	151	7.52	1.1822	2651	Kiss
محبوب	152	7.52	1.0736	9574	Lovable
ابني	153	7.52	1.3738	1464	My son
شجاعة	154	7.52	1.1648	5563	Courage
المتعة	155	7.52	1.3130	3418	Fun
الحفله	156	7.50	1.1995	9932	Concert
تبتسم	157	7.50	0.9949	6710	Smiling
الجائزة	158	7.50	1.1824	4708	Award
إبنك	159	7.50	1.3887	3582	Son
ناجحة	160	7.50	1.3132	9241	Successful
فاتنة	161	7.50	1.1294	8571	Babe
حبى	162	7.50	1.4321	9547	My Love
الزواج	163	7.50	1.2817	879	Marriage
الحفلات	164	7.50	1.1473	5546	Concerts
ثروة	165	7.50	1.2657	4956	Wealth
أستمتع	166	7.50	1.2817	5561	I enjoy
الرائع	167	7.50	1.2164	1923	Wonderful
الذكي	168	7.50	1.1824	7930	Intelligent
هدية	169	7.50	1.1112	1303	Gift
مضحكا	170	7.50	1.2817	7227	Funny
أحببت	171	7.50	1.1650	2900	I liked
الرومانسية	172	7.50	1.1995	9134	Romance
هدايا	173	7.48	1.1471	7398	Gifts
صديق	174	7.48	1.0736	568	Friend
تهانينا	175	7.48	1.1648	2697	Congratulations
والدي	176	7.48	1.4320	908	My father
زهور	177	7.48	1.0925	6537	Flowers
نكتة	178	7.48	1.2329	4280	Joke
جائزة	179	7.48	1.1110	3626	Award
تزوج	180	7.48	1.1648	9660	Married
أحب	181	7.48	1.1292	307	I love
استمتعت	182	7.48	1.2162	7553	Enjoy
الألعاب	183	7.48	1.1993	2985	Games
جميل	184	7.48	1.0925	288	Beautiful
وردة	185	7.48	1.0736	9708	Rose
حفله	186	7.46	1.3881	8059	Concert
طفلي	187	7.46	1.2488	3084	My child
تزوجت	188	7.46	1.2488	3752	Married
اصدقاء	189	7.46	1.1643	3255	Friends
تحب	190	7.46	1.0539	600	Like
الجميل	191	7.46	1.1104	1720	Beautiful
احبه	192	7.46	1.1817	7598	He loved
وأمي	193	7.46	1.4028	9050	And Mom
بابا	194	7.46	1.5414	2244	Papa
عائلتي	195	7.44	1.2803	1640	My family
ابنك	196	7.44	1.4591	2530	Son
طفلتي	197	7.44	1.2480	5110	My baby
محظوظون	198	7.44	0.9293	8980	Fortunate
تنجح	199	7.44	1.0910	3810	Succeed
الصحة	200	7.44	1.2480	6324	Health
عظيم	201	7.44	1.0134	309	Great
تربح	202	7.44	1.2480	6441	Win
إبني	203	7.44	1.3577	1787	My son
صديقى	204	7.44	1.1095	1417	Siddiqui
حلوة	205	7.44	0.9071	6567	Sweet
للروعة	206	7.42	1.1445	8045	Splendor
مهرجان	207	7.42	1.1082	8369	Festival
ذكاء	208	7.42	1.1968	7585	Intelligent
أحببتها	209	7.42	1.4995	7067	I loved
بطل	210	7.42	1.1265	1516	Champion
جميلا	211	7.42	1.0120	4962	Beautiful
الحلوة	212	7.42	1.1796	9952	Sweet
أطفال	213	7.42	1.1622	888	Children
ملاك	214	7.42	1.2631	4354	Angel
فخورة	215	7.42	1.2950	4664	Proud
الصديق	216	7.42	1.0515	5292	Siddiq
ابى	217	7.42	1.2631	1690	Abe
أحببته	218	7.42	1.2469	6712	I loved it
رضيع	219	7.42	1.1796	4218	Baby
ابنتي	220	7.42	1.3262	1743	My daughter
أغنياء	221	7.42	1.1445	9207	Rich
تحبينه	222	7.42	1.1445	6967	Love him
النصر	223	7.42	1.2792	4230	Victory
لذيذة	224	7.40	1.0880	5869	Delicious
مذهل	225	7.40	1.1429	1810	Stunning
كنز	226	7.40	1.3401	8322	Treasure
الرحمة	227	7.40	1.1429	4785	Mercy
تهاني	228	7.40	1.3093	9803	Congratulations
أبى	229	7.40	1.5518	697	Dad
اللطيف	230	7.40	1.2617	3139	Latif
طفلة	231	7.40	1.1066	2371	Girl
أطفالنا	232	7.40	1.3702	9780	Our children
للأطفال	233	7.40	1.0690	4509	For children
محظوظ	234	7.40	1.2122	1567	Lucky
ابي	235	7.40	1.3248	820	Abe
نحب	236	7.40	1.1249	3798	Love
أصدقائي	237	7.40	1.2617	1667	My friends
أم	238	7.40	1.3997	254	Or
ألعاب	239	7.40	1.2778	4617	Games
حرية	240	7.40	1.3702	7158	Freedom
أولادي	241	7.40	1.3553	9482	My children
الذكاء	242	7.40	1.1780	5842	Intelligence
السلام	243	7.40	1.3553	1615	Peace
جمال	244	7.38	1.2271	2880	Jamal
تحبها	245	7.38	1.5504	3996	Love
عاشق	246	7.38	1.2436	8065	Lover
زواج	247	7.38	1.5635	3848	Marriage
وسيم	248	7.38	1.0859	3077	Handsome
العروس	249	7.38	1.1045	5589	Bride
الحفل	250	7.38	1.1933	2644	Concert
تحبه	251	7.36	1.1021	4084	Love
العاب	252	7.36	1.1911	9426	Games
رحمة	253	7.36	1.3365	6816	Mercy
نزهة	254	7.36	1.1739	6997	Picnic
أبوك	255	7.36	1.6132	3151	Father
محمد	256	7.36	1.6874	1836	Mohammed
الأب	257	7.36	1.7468	1504	Father
الطفل	258	7.36	1.0835	536	Child
فخور	259	7.36	0.9638	2521	Proud
أجمل	260	7.36	1.1021	2278	Beautiful
احب	261	7.36	1.4813	930	I love
حفل	262	7.36	1.2081	1768	Ceremony
القمر	263	7.34	1.4514	1477	Moon
الملاك	264	7.34	1.2390	6300	Angel
رومانسي	265	7.34	1.2224	7827	Romantic
أمك	266	7.34	1.7215	784	Mother
الأبطال	267	7.34	1.0616	6807	Heroes
اصدقائي	268	7.34	1.2390	7587	My friends
البطل	269	7.34	1.1886	2044	Hero
يسعدني	270	7.34	1.2390	5054	I am pleased
أتزوج	271	7.34	1.1886	8070	Get married
ذكي	272	7.34	1.1359	2088	Intelligent
الربيع	273	7.34	1.1713	3815	Spring
الثقة	274	7.34	1.1178	3031	Confidence
امل	275	7.34	1.4373	7458	I hope
عائلة	276	7.34	1.3940	762	Family
أخى	277	7.34	1.4230	2591	Brother
صحة	278	7.32	1.3768	6786	Health
السلامة	279	7.32	1.1507	789	Safety
العدل	280	7.32	1.3915	5159	Justice
والد	281	7.32	1.5178	2648	Father
مرتاح	282	7.32	1.1328	7534	Relaxed
تتزوج	283	7.32	1.4907	4887	Married
محظوظة	284	7.32	1.0774	4012	Lucky
صادق	285	7.32	1.3005	4491	Sadik
الحمد	286	7.32	1.3619	3889	Praise
خير	287	7.32	1.1147	1424	Good
الأزهار	288	7.32	1.1147	8979	Flowers
يحبون	289	7.32	0.9355	2960	Love
الشجاعة	290	7.30	0.9091	2791	Courage
طفل	291	7.30	1.1650	564	Baby
راحة	292	7.30	1.2817	3332	Comfort
ابنتك	293	7.30	1.4178	3033	Daughter
أصدقائك	294	7.30	1.3887	2643	FRIENDS
الذهب	295	7.30	1.1824	2219	Gold
احسنت	296	7.30	1.2976	8954	Well done
المجوهرات	297	7.30	1.3590	7240	Jewelry
ذكية	298	7.30	1.2164	3196	Smart
عبقرية	299	7.30	1.1650	9675	Genius
شروق	300	7.30	1.0738	7159	Sunrise
الاب	301	7.30	1.5017	6008	Father
ام	302	7.30	1.5551	892	Or
صغيرتي	303	7.30	1.2495	3657	Petite
لطيف	304	7.30	1.3590	441	Nice
الأسرة	305	7.30	1.3740	9751	Family
امك	306	7.30	1.6690	2467	Lamech
الأخوة	307	7.30	1.3439	8488	Brothers
ظريف	308	7.30	1.1112	4504	Zarif
زوجتي	309	7.30	1.4743	757	My wife
البطولة	310	7.28	1.0506	4086	Tournament
الزوجة	311	7.28	1.2461	6613	Wife
اجازة	312	7.28	1.2461	7537	Vacation
الزهرة	313	7.28	1.2784	8845	Venus
شاطئ	314	7.28	1.2129	6872	Beach
الأفضل	315	7.28	1.0698	322	Best
الآباء	316	7.28	1.1959	7345	Parents
تحبين	317	7.28	1.3407	2081	You like
حلو	318	7.28	1.1787	7829	Sweet
مزاح	319	7.28	1.1787	8012	Lark
موهبة	320	7.28	0.9906	5163	Talent
الحلوى	321	7.28	1.0110	2566	Candy
العدالة	322	7.26	1.4259	3352	Justice
غنى	323	7.26	1.3674	8161	Sang
الجمال	324	7.26	1.3969	2151	Beauty
المزاح	325	7.26	1.2423	7728	Joking
الشهرة	326	7.26	1.1395	9907	Goodwill
عائلتنا	327	7.26	1.3063	6270	Our family
سينجح	328	7.26	1.0844	9603	Succeed
هديه	329	7.26	1.1214	9335	Gift
عزيزتي	330	7.26	1.1572	280	Dear
أصحاب	331	7.26	1.1747	4266	Owners
الأمل	332	7.26	1.3063	3026	Hope
استمتع	333	7.26	1.5093	3958	Enjoy
إبنتك	334	7.26	1.3063	6446	Daughter
غني	335	7.26	1.1395	4004	Needless
صديقتى	336	7.26	1.4820	6643	My girlfriend
اطفال	337	7.26	1.3372	3641	Children
عزيزى	338	7.24	1.1704	1717	Dear
مخلص	339	7.24	1.0412	9353	Savior
المثالية	340	7.24	1.3486	7579	Ideal
لعبة	341	7.24	1.2382	761	Game
اجمل	342	7.24	1.0984	8637	Beautiful
اللطيفة	343	7.24	0.9381	8444	Nice
مرحى	344	7.24	1.0984	4327	Hurrah
أحرار	345	7.24	1.1168	9891	Free
صديقة	346	7.24	1.1704	1581	Girlfriend
للفوز	347	7.24	1.1168	8863	To win
صديقتك	348	7.24	1.2382	2218	Girlfriend
زوجتك	349	7.24	1.3486	962	Wife
شجاع	350	7.24	1.1528	4748	Brave
ترقية	351	7.24	1.2216	9074	Upgrade
حلوى	352	7.24	1.2216	3315	Candy
الابن	353	7.24	1.2048	8078	Jr.
العظيم	354	7.24	1.3180	1445	Great
آمنة	355	7.24	1.0412	4545	Safe
برافو	356	7.22	1.3746	6041	Bravo
إحترام	357	7.22	1.1657	8684	Respect
عظيمة	358	7.22	1.0746	1372	Great
اصدقائك	359	7.22	1.2337	7218	Friends
الأطفال	360	7.22	1.4327	429	Children
نظيف	361	7.22	1.1301	3512	Clean
بارعة	362	7.22	1.1301	8282	Ingenious
محترم	363	7.22	1.2171	5382	Respectable
عائله	364	7.22	1.3893	9195	Family
اخى	365	7.22	1.2171	5275	My brother
مصر	366	7.20	2.0404	5649	Egypt
أختى	367	7.20	1.2617	8169	My sister
والأطفال	368	7.20	1.3093	9080	And children
ابنى	369	7.20	1.3997	5109	My son
الحياة	370	7.20	1.3093	262	Life
السباحة	371	7.20	1.1606	2820	Swimming
متزوج	372	7.20	1.4428	3161	Married
زوجة	373	7.20	1.3553	1382	Wife
الدولارات	374	7.20	1.3248	6074	Dollars
الغناء	375	7.20	1.2778	3723	Singing
الطفلة	376	7.20	1.0690	3256	Girl
الإيمان	377	7.20	1.3248	6340	Faith
إبنتي	378	7.20	1.3553	3986	Daughter
أحسنت	379	7.20	1.2122	1704	Well done
البيتزا	380	7.20	1.3248	4331	Pizza
اللعب	381	7.20	1.0880	1167	Play
عائلتك	382	7.20	1.4142	1962	Family
الإحترام	383	7.20	1.0880	5108	Respect
أخ	384	7.18	1.3506	3160	Brother
أبطال	385	7.18	1.3506	7644	Champions
ربح	386	7.18	1.2403	5867	Profit
امزح	387	7.18	1.2403	5402	Kidding
إجازة	388	7.18	1.2887	3665	Leave
أب	389	7.18	1.4097	2982	AP
لطيفا	390	7.18	1.0631	4943	Nice
صديقتي	391	7.18	1.0631	2130	My girlfriend
حديقة	392	7.18	1.0631	3182	Garden
صحيحة	393	7.18	1.3200	3431	Correct
صادقة	394	7.18	1.0631	7742	Honest
أميرة	395	7.18	1.0821	5168	Princess
المهرج	396	7.18	1.4241	8868	Clown
اخي	397	7.18	1.6622	3382	Only
أمزح	398	7.18	1.0821	1756	Joking
الأخ	399	7.18	1.3045	4795	Brother
الذهبي	400	7.18	1.2728	5253	Golden
جواز	401	7.18	1.5996	4570	Passport
مدهش	402	7.18	1.2567	1900	Amazing
الهى	403	7.18	1.6123	1774	My God
استمتعتم	404	7.18	1.0240	9710	استمتعتم
مرحبا	405	7.16	1.1132	130	Hello
العزيزة	406	7.16	1.2513	6184	Dear
زوجتى	407	7.16	1.6333	2595	My wife
العاطفة	408	7.16	1.2513	9013	Passion
صغيرى	409	7.16	1.2993	9637	BUB
تمتع	410	7.16	1.2182	7402	Enjoy
الافضل	411	7.16	1.3303	1326	Better
أذكى	412	7.16	1.1493	5727	Smarter
الطيب	413	7.16	1.0947	5914	Tayeb
أمان	414	7.16	1.4896	3620	Safety
يمزح	415	7.14	1.3095	8302	Flirting
وأبي	416	7.14	1.5909	7562	And Dad
العظيمة	417	7.14	1.3095	2842	Great
مثالية	418	7.14	1.3095	4591	Ideal
شقيقتي	419	7.14	1.3403	9463	My sister
لطيفة	420	7.14	1.1068	1111	Nice
معجزة	421	7.14	1.1782	3901	Miracle
دولارات	422	7.14	1.5651	2832	Dollars
لطيفه	423	7.14	0.9691	7278	Latifa
أشكرك	424	7.14	1.1250	1115	Thank you
أخي	425	7.14	1.1954	584	Brother
ولدي	426	7.14	1.5909	2100	I have
الانترنت	427	7.14	1.3403	5957	Online
حلوتي	428	7.14	1.1250	5949	Sweetie
الماس	429	7.14	1.4144	6051	Diamond
الموسيقية	430	7.14	1.2124	6695	Musical
الموسيقى	431	7.14	1.4570	1032	Music
لطفاء	432	7.14	1.0104	7879	Kind
شمس	433	7.14	1.0882	8320	Sun
تستمتع	434	7.12	1.4234	5502	Enjoy
جدتى	435	7.12	1.3649	6915	Grandmother
الشرف	436	7.12	1.2229	2646	Honor
بلادي	437	7.12	1.2879	7508	My
طفلا	438	7.12	1.1542	5494	Children
موسيقية	439	7.12	1.1542	7394	Musical
الشكر	440	7.12	1.0622	3307	Thanksgiving
موهوب	441	7.12	1.0428	8152	Talented
طيبة	442	7.12	1.0622	2802	Good
عادل	443	7.12	1.3498	3917	Just
الأحلام	444	7.12	1.1364	3624	Dreams
صديقي	445	7.12	1.3192	410	Siddiqui
الوسيم	446	7.12	1.3797	6403	Wasim
المحترمون	447	7.12	1.2558	5137	Distinguished
المثالي	448	7.12	1.2395	5993	Ideal
ممتن	449	7.12	1.3192	8470	Grateful
زواجنا	450	7.12	1.3944	6810	Our marriage
أصدقائنا	451	7.12	1.2558	9620	Our friends
المطر	452	7.12	1.1891	2696	Rain
التخرج	453	7.12	1.2720	5990	Graduation
جيدة	454	7.12	1.0029	205	Good
موسيقى	455	7.12	1.2395	1970	Music
ذكى	456	7.12	1.1891	8924	Smart
زوجك	457	7.12	1.5205	2022	Husband
صديقنا	458	7.12	1.1183	4556	Our friend
أقوياء	459	7.10	1.0546	8404	Strong
الإنسانية	460	7.10	1.2817	7156	Humanitarian
سررت	461	7.10	1.2330	2583	Please
زهرة	462	7.10	1.1995	5151	Flower
عزيزتى	463	7.10	1.0546	1091	Dear
المال	464	7.10	1.2976	226	Money
أسعد	465	7.10	1.2976	8025	As'ad
والدة	466	7.10	1.5940	5289	Mother
كريم	467	7.10	1.2657	2386	Cream
للحفلة	468	7.10	1.2976	9508	For the party
أصدقائه	469	7.10	1.1650	9262	Friends
الوطن	470	7.10	1.6568	3608	Home
مريح	471	7.10	0.9949	5541	Comfortable
المفضلة	472	7.10	1.1294	2913	Favorites
بلدي	473	7.10	1.7642	4996	My
آمن	474	7.10	1.2330	1654	Safe
الأميرة	475	7.10	1.1995	2480	Princess
بأمان	476	7.10	0.9742	1971	Safely
البنات	477	7.10	1.2976	2235	Girls
ناعم	478	7.08	1.1400	8704	Smooth
أختي	479	7.08	1.2911	1627	My sister
بارع	480	7.08	1.3068	4185	Witty
الأموال	481	7.08	1.2911	2476	Money
مفيدة	482	7.08	1.0660	7088	Useful
المعجبين	483	7.08	1.3377	9060	Fans
العسل	484	7.08	1.1925	4139	Honey
نظيفة	485	7.08	1.0069	4538	Clean
الإله	486	7.08	1.7825	4253	God
أماه	487	7.08	1.5758	6190	Ma
عسل	488	7.08	1.0069	6842	Honey
أخيك	489	7.08	1.3974	4077	Brother
الفجر	490	7.08	1.0467	4302	Dawn
الشاطئ	491	7.08	1.1578	2535	Beach
صديقك	492	7.08	1.1578	958	Friend
يلعبون	493	7.08	0.9655	6575	Playing
أخاك	494	7.08	1.4119	7093	Brother
مثالي	495	7.08	1.3827	2750	Ideal
الأولاد	496	7.08	1.1925	1284	Boys
الموسيقي	497	7.08	1.3529	7987	Music
طفله	498	7.08	1.1925	9365	Child
أغنية	499	7.08	1.0069	2035	Song
الأخت	500	7.08	1.4263	6106	Sister
يعجبنى	501	7.08	1.0069	8768	I like
زوجي	502	7.08	1.6517	1494	My husband
الهدوء	503	7.06	1.3463	3377	Calm
تعجبك	504	7.06	1.1141	6341	You like
سلام	505	7.06	1.5572	2122	Peace
معجبة	506	7.06	0.9775	4572	Impressed
تكسب	507	7.06	1.3311	8723	Earn
النجاة	508	7.06	1.3001	5321	Deliverance
الفتيات	509	7.06	1.3463	687	Girls
النور	510	7.06	1.2191	3787	Noor
تعجبني	511	7.06	0.9982	4152	Dislikes
جديدة	512	7.06	1.0768	563	New
فنون	513	7.06	1.0382	8647	Arts
جدتي	514	7.06	1.3763	1799	Grandmother
ثقة	515	7.06	1.2022	5170	Confidence
نجوت	516	7.06	1.2683	9602	I survived
الحلم	517	7.06	1.1141	2963	Dream
قلبى	518	7.06	1.2191	4760	Alby
الجليل	519	7.06	1.4201	9182	Galilee
الآمن	520	7.06	1.2357	9199	Safe
أبناء	521	7.06	1.2683	3963	Sons
معجب	522	7.06	0.9775	2571	Fan
حامل	523	7.06	1.3001	2051	Pregnant
الزوج	524	7.04	1.7375	6563	The pair
الأعظم	525	7.04	1.5113	7039	Great
طيب	526	7.04	1.2115	1404	Ok
الفاكهة	527	7.04	1.1945	9768	Fruit
عظيما	528	7.04	1.1421	5752	Great
مشهورة	529	7.04	1.1773	8919	Famous
أبيض	530	7.04	1.3991	2478	White
أشكركم	531	7.04	1.1945	6804	Thank you
القلوب	532	7.04	0.9681	8029	Hearts
بالأمان	533	7.04	1.3845	9917	Safe
قلبي	534	7.04	1.4422	1177	My heart
ولدى	535	7.04	1.5513	7520	Upon
أموال	536	7.04	1.5248	4439	Funds
تمزح	537	7.02	1.0398	1176	Kidding
نرقص	538	7.02	1.2696	6943	Dance
المجد	539	7.02	1.2696	7576	Glory
الإبن	540	7.02	1.3775	8413	Jr.
صاحبي	541	7.02	0.9145	4269	Authors
جيد	542	7.02	0.8204	78	Good
الحديقة	543	7.02	0.9792	3055	Garden
الذهبية	544	7.02	1.2204	4989	Gold
ذهبية	545	7.02	1.1865	6561	Gold
الموهبة	546	7.02	1.2534	9055	Talent
ألعب	547	7.02	1.2370	2335	Play
الطيبة	548	7.02	1.0200	8662	Good
يلعب	549	7.02	1.1156	2099	Plays
الأشجار	550	7.02	1.2856	2939	Trees
صغيري	551	7.02	1.4213	3927	BUB
جيده	552	7.02	0.9145	1429	Good
شقيق	553	7.02	1.2856	8634	Brother
السلامه	554	7.02	1.3323	8906	Safety
آمين	555	7.02	1.3169	3211	Amen
الفنون	556	7.02	1.0398	8710	Arts
شكرآ	557	7.02	1.2534	5755	ÔßŃÂ
جذاب	558	7.02	1.2036	6178	Attractive
الحياه	559	7.02	1.5185	2317	Life
المسرح	560	7.00	1.0880	2388	Theater
العلماء	561	7.00	1.2122	6188	Scientists
إبن	562	7.00	1.6162	1077	Son
مفاجأة	563	7.00	1.3997	1782	Surprise
جديده	564	7.00	1.1249	4710	New
الكعكة	565	7.00	1.3093	5655	Cake
جديد	566	7.00	1.3553	366	New
الطعام	567	7.00	1.1429	571	Food
صالح	568	7.00	1.1429	4254	Saleh
أفضل	569	7.00	1.0880	137	Best
هدوء	570	7.00	1.3401	2707	Calm
العب	571	7.00	1.2122	4206	Play
ملكة	572	7.00	1.2617	2636	Queen
أختك	573	7.00	1.3093	2657	Sister
العزيز	574	7.00	1.0880	2922	Aziz
مرحب	575	7.00	1.0302	8711	Welcome
احترام	576	7.00	1.2122	7650	Respect
لعب	577	7.00	1.2936	1825	Play
الاحترام	578	7.00	1.1429	5344	Respect
شكرا	579	7.00	1.0302	121	Thank you
جيدا	580	6.98	1.1516	486	Well
محترف	581	6.98	1.1516	3908	Professional
كعكة	582	6.98	1.1337	3865	Cake
متحمسة	583	6.98	1.0593	9681	Enthusiastic
لحفلة	584	6.98	1.1156	9154	Concert
الجديد	585	6.98	1.1692	555	New
الأغنياء	586	6.98	1.4068	9352	Rich
السينما	587	6.98	1.1865	5732	Cinema
عاطفية	588	6.98	1.0200	9551	Emotional
الرضيع	589	6.98	1.2696	6683	Baby
الألوان	590	6.98	1.2534	7431	Colors
المياة	591	6.98	1.3775	9583	Water
ياعزيزي	592	6.98	1.0971	9305	Dear
صالحة	593	6.98	1.3626	9434	Valid
صديقه	594	6.98	1.1156	5010	Friend
للرب	595	6.98	1.4213	7369	For the Lord
اموال	596	6.98	1.5050	8945	Money
يعجبك	597	6.98	0.9366	2921	Like
جدك	598	6.98	1.7437	6345	Grandfather
مدهشة	599	6.96	1.3991	6349	Amazing
اختك	600	6.96	1.4563	7717	Sister
