word	rank	happs	stddev	twitter_rank	gbooks_rank	nyt_rank	lyrics_rank
outstanding	48	7.92	1.1400	4468	4721	1797	--
paradise	49	7.92	1.3974	3096	--	--	1146
sweetest	50	7.92	1.2911	--	--	--	2232
vacation	51	7.92	1.9042	952	--	3251	3780
butterflies	52	7.92	1.0770	--	--	--	4175
freedom	53	7.90	1.4178	1465	933	1844	879
flower	54	7.88	1.1718	2769	3675	--	1929
great	55	7.88	1.2061	94	110	219	579
sunlight	56	7.88	1.4934	--	--	--	2316
sweetheart	57	7.88	1.2720	3055	--	--	2919
sweetness	58	7.88	1.1891	--	--	--	4465
award	59	7.86	1.5651	1715	--	1429	--
chocolate	60	7.86	1.0304	436	--	--	2695
hahahaha	61	7.86	1.7025	1341	--	--	--
heaven	62	7.86	1.5780	1294	1615	3939	392
peace	63	7.86	1.3403	675	702	775	559
splendid	64	7.86	1.4570	--	4763	--	--
success	65	7.86	1.6414	657	847	1338	3316
enjoying	66	7.84	1.5032	875	--	--	--
kissed	67	7.84	1.5048	--	--	--	1322
attraction	68	7.82	1.0240	--	--	--	4179
celebrated	69	7.80	1.1780	--	3720	3432	--
hero	70	7.80	1.3997	1867	3362	3816	1648
hugs	71	7.80	1.4428	1868	--	--	--
positive	72	7.80	1.2454	1728	958	2139	3575
sun	73	7.80	1.3553	439	978	2010	214
birthday	74	7.78	1.9091	190	--	2241	2529
blessed	75	7.78	1.2824	1733	3876	--	1618
fantastic	76	7.78	1.0934	1354	--	--	--
winner	77	7.78	1.6938	1793	--	1916	3199
delight	78	7.78	1.4181	--	3954	--	2987
beauty	79	7.76	1.6107	1032	1611	2519	1013
butterfly	80	7.76	1.3334	4332	--	--	2836
entertainment	81	7.76	1.2216	2247	--	1712	--
funniest	82	7.76	1.5592	3451	--	--	--
honesty	83	7.76	1.2707	--	--	--	3653
sky	84	7.76	1.0797	842	2374	4221	274
smiles	85	7.76	1.7907	2971	--	--	1782
succeed	86	7.76	1.6971	--	4088	3212	4270
wonderful	87	7.76	1.7907	749	2841	1571	1188
glorious	88	7.74	1.3969	--	4792	--	3926
kisses	89	7.74	1.1920	2942	--	--	1340
promotion	90	7.74	1.3822	3037	4108	4849	--
family	91	7.72	1.3099	203	235	109	738
gift	92	7.72	1.3407	443	2734	2672	1710
humor	93	7.72	1.0887	1516	--	1826	--
romantic	94	7.72	1.1959	2535	3812	4200	4201
cupcakes	95	7.70	1.2330	3799	--	--	--
festival	96	7.70	1.0738	2024	--	1020	--
hahahahaha	97	7.70	1.3590	3436	--	--	--
honour	98	7.70	1.2495	--	2713	--	--
relax	99	7.70	1.0738	1986	--	--	1752
weekends	100	7.70	1.7871	4100	--	--	--
angel	101	7.68	1.2362	1299	4854	--	578
b-day	102	7.68	1.5312	--	--	--	--
bonus	103	7.68	1.4630	3131	--	--	--
brilliant	104	7.68	1.6218	1843	3670	3679	--
diamonds	105	7.68	1.4769	--	--	--	1457
holiday	106	7.68	1.3005	434	--	1895	2241
lucky	107	7.68	1.2688	537	--	4327	975
mother	108	7.68	1.6714	626	437	170	549
super	109	7.68	1.5964	408	--	2673	1726
amazing	110	7.66	1.4930	316	--	--	2297
angels	111	7.66	1.4654	3233	4944	--	815
enjoy	112	7.66	1.4654	518	2605	3091	1878
friend	113	7.66	1.5066	186	768	394	308
friendly	114	7.66	1.5467	1841	3095	4290	3042
mother's	115	7.66	1.2875	--	3434	--	--
profit	116	7.66	1.2390	1890	2140	2107	--
finest	117	7.66	1.3875	--	--	--	3225
bday	118	7.64	1.6753	825	--	--	--
champion	119	7.64	1.2249	3165	--	1772	--
grandmother	120	7.64	1.3516	--	--	505	--
haha	121	7.64	1.3815	135	--	--	3211
kiss	122	7.64	1.7585	711	--	--	314
kitten	123	7.64	1.2898	3864	--	--	--
miracle	124	7.64	1.8926	2510	--	--	1924
mom	125	7.64	1.8709	426	--	4015	1269
sweet	126	7.64	1.0645	431	2347	2708	243
blessings	127	7.62	1.6274	3957	--	--	4242
bright	128	7.62	1.1409	1344	2152	3001	649
cutest	129	7.62	1.0859	4009	--	--	--
entertaining	130	7.62	1.0859	3616	--	--	--
excited	131	7.62	1.3981	508	3790	--	3077
excitement	132	7.62	1.6523	2972	4058	--	--
joke	133	7.62	1.3981	821	--	--	1685
millionaire	134	7.62	2.1275	3035	--	--	--
prize	135	7.62	1.2103	2519	4742	2464	2874
succeeded	136	7.62	1.1409	--	2391	4525	--
successfully	137	7.62	1.2599	--	3281	4960	--
winners	138	7.62	1.5372	3381	--	3518	--
shines	139	7.60	1.5944	--	--	--	1435
awesome	140	7.60	1.5908	251	--	--	--
genius	141	7.60	1.2454	2306	3097	--	4716
achievement	142	7.58	1.4299	2737	3160	4591	--
cake	143	7.58	1.1082	696	--	--	2200
cheers	144	7.58	1.4721	2675	--	--	--
exciting	145	7.58	1.3415	1485	--	4431	--
goodness	146	7.58	1.3716	2274	--	--	4047
hug	147	7.58	1.4721	1392	--	--	2497
income	148	7.58	1.6047	2795	798	298	--
party	149	7.58	1.4581	165	367	384	446
puppy	150	7.58	1.4581	1517	--	--	--
smiling	151	7.58	1.7034	3530	--	--	1518
song	152	7.58	1.3415	147	2121	1898	248
succeeding	153	7.58	1.3415	--	--	4446	--
tasty	154	7.58	1.1265	3345	--	--	--
victories	155	7.58	1.7623	--	--	4210	--
achieved	156	7.56	1.3726	--	2001	4401	--
billion	157	7.56	1.6679	2689	3797	297	--
cakes	158	7.56	1.4591	4497	--	--	--
easier	159	7.56	1.1457	1716	3114	2585	2152
flowers	160	7.56	1.4309	2820	2250	637	1154
gifts	161	7.56	1.9395	1668	3942	3358	3754
gold	162	7.56	1.1095	605	1030	1343	607
merry	163	7.56	1.1457	510	--	--	1753
families	164	7.54	1.2811	3378	1153	923	--
handsome	165	7.54	1.2488	3289	4635	--	3695
lovers	166	7.54	1.2811	3593	--	--	1065
affection	167	7.53	1.5289	--	3564	--	2796
candy	168	7.52	1.4879	1126	--	--	1337
cute	169	7.52	1.1993	295	--	--	2354
diamond	170	7.52	1.7171	1992	--	2827	1372
earnings	171	7.52	1.4177	--	4361	582	--
interesting	172	7.52	1.1822	602	1165	2391	--
peacefully	173	7.52	1.0544	--	--	1718	--
praise	174	7.52	1.4741	3300	3301	--	1465
relaxing	175	7.52	1.2162	1904	--	--	--
roses	176	7.52	1.2493	3748	--	--	1643
saturdays	177	7.52	1.7290	--	--	2051	--
faithful	178	7.51	1.3248	--	3479	--	2637
heavens	179	7.51	1.7335	--	--	--	2321
cherish	180	7.50	1.4743	--	--	--	3823
comfort	181	7.50	1.1473	2483	3142	3810	1532
congrats	182	7.50	1.5419	969	--	--	--
cupcake	183	7.50	1.7642	--	--	--	--
earn	184	7.50	1.3439	2014	--	3662	3810
extraordinary	185	7.50	1.3740	--	2904	818	--
glory	186	7.50	1.6067	2487	2558	--	969
hilarious	187	7.50	1.9821	1386	--	--	--
moonlight	188	7.50	1.3590	--	--	--	1326
optimistic	189	7.50	1.3132	--	--	4110	--
peaceful	190	7.50	1.0926	4916	4769	--	3251
romance	191	7.50	1.4321	3144	--	--	1396
feast	192	7.49	1.6473	--	--	--	4050
attractive	193	7.48	0.9739	4966	3658	3980	--
glad	194	7.48	1.5151	451	2828	4831	833
grandma	195	7.48	1.5016	2802	--	--	4599
internet	196	7.48	1.3130	533	3835	1330	--
pleasant	197	7.48	1.2162	--	3049	4478	--
profits	198	7.48	1.3285	--	3109	2141	--
smart	199	7.48	1.3738	1302	--	3745	1952
x-mas	200	7.48	1.8210	--	--	--	--
babies	201	7.46	1.5012	2129	--	--	2077
cheer	202	7.46	1.6807	1756	--	--	3198
courage	203	7.46	1.1817	4578	3003	3238	2789
enthusiasm	204	7.46	1.1287	--	3780	4375	--
honest	205	7.46	1.1287	1518	3348	4328	2375
loyal	206	7.46	1.2488	--	--	3925	--
opportunities	207	7.46	1.0919	4313	2239	3283	--
triumph	208	7.46	1.8318	--	4335	4913	--
wow	209	7.46	1.4458	281	--	--	1814
jewels	210	7.46	1.6153	--	--	--	2854
forests	211	7.45	1.3320	--	4405	--	--
apple	212	7.44	1.2316	633	--	2983	2320
dreams	213	7.44	1.4165	928	3322	4127	258
fantasy	214	7.44	1.6183	1483	--	--	1320
food	215	7.44	1.2149	198	557	445	1335
honey	216	7.44	1.5928	1078	--	--	496
miracles	217	7.44	1.9395	--	--	--	3821
sex	218	7.44	1.6801	375	1356	1959	787
sing	219	7.44	1.3426	1040	3950	3943	297
starlight	220	7.44	1.4165	--	--	--	4347
thankful	221	7.44	1.5005	1374	--	--	3569
wins	222	7.44	1.2643	1236	--	3064	4546
achieve	223	7.42	1.2304	--	2223	3456	--
adored	224	7.42	1.4441	--	--	1326	--
cash	225	7.42	1.6671	755	2494	1310	909
dances	226	7.42	1.2950	--	--	--	4757
gorgeous	227	7.42	1.9597	1645	--	--	--
grandchildren	228	7.42	1.5131	--	--	293	--
incredible	229	7.42	1.3415	2208	--	--	3783
lunch	230	7.42	1.0897	470	4895	2640	3286
mommy	231	7.42	1.7623	2482	--	--	2584
parties	232	7.42	1.4441	2595	1058	1612	3809
perfect	233	7.42	1.7154	642	1411	2277	625
saturday	234	7.42	1.7154	620	4379	224	1548
surprise	235	7.42	1.5398	1901	2902	2992	1314
truth	236	7.42	1.4010	713	595	2238	393
blessing	237	7.40	1.7379	4347	--	--	3875
creative	238	7.40	1.1952	1834	3012	2020	--
dinner	239	7.40	1.1429	245	2292	1328	2344
kindness	240	7.40	1.0880	4849	--	4445	4104
pleased	241	7.40	1.1606	4079	2903	4069	4770
sexy	242	7.40	1.2289	459	--	--	1111
strength	243	7.40	1.1606	2951	852	1876	967
thank	244	7.40	1.1249	259	2659	3584	736
thanks	245	7.40	1.5119	150	2893	3755	1773
thanksgiving	246	7.40	1.4142	784	--	--	--
treasure	247	7.40	1.7143	3879	--	--	2595
valentine	248	7.40	1.7023	1430	--	--	--
riches	249	7.39	1.6685	--	--	--	3090
awarded	250	7.38	1.1586	--	--	2556	--
fabulous	251	7.38	1.5372	2419	--	--	--
grandfather	252	7.38	1.4270	--	--	573	--
heavenly	253	7.38	1.8282	--	--	--	2469
hope	254	7.38	1.3076	92	705	591	291
kids	255	7.38	1.6022	223	4296	1465	612
magical	256	7.38	1.2919	3346	--	--	3927
million	257	7.38	1.4270	1027	1032	70	711
nice	258	7.38	1.5104	102	3154	2058	587
sundays	259	7.38	1.4553	4740	--	2117	--
wealth	260	7.38	1.2271	4292	1746	4969	3178
fantasies	261	7.36	1.3898	--	--	--	3592
cares	262	7.36	1.3962	2909	--	--	1245
dance	263	7.36	1.4394	694	2619	587	262
daughters	264	7.36	1.2249	--	3959	750	4031
favorable	265	7.36	1.5086	--	4193	--	--
friend's	266	7.36	1.6383	--	--	--	--
generosity	267	7.36	1.2739	--	--	3473	--
grateful	268	7.36	1.4675	2254	--	4615	4685
inspired	269	7.36	1.1021	1638	3648	2706	--
mothers	270	7.36	1.4675	--	3280	4594	3118
parents	271	7.36	1.5086	903	846	773	2518
valentine's	272	7.36	1.3211	--	--	--	--
intelligent	273	7.35	1.5504	--	3750	--	--
liberation	274	7.35	1.3039	--	4497	--	--
melody	275	7.35	1.7742	--	--	--	1821
wonderland	276	7.35	1.6400	--	--	--	4126
beloved	277	7.34	1.2715	--	4900	149	--
caring	278	7.34	1.4086	--	--	2485	--
homemade	279	7.34	1.2390	3204	--	--	--
inspiring	280	7.34	1.1886	4265	--	--	--
movies	281	7.34	1.4514	739	--	1904	2701
precious	282	7.34	1.5201	2990	4136	--	1329
respect	283	7.34	1.6113	1108	681	2009	1001
satisfaction	284	7.34	1.1178	--	2450	--	2878
satisfy	285	7.34	1.4373	--	3902	--	2507
wedding	286	7.34	1.5201	700	--	3095	2454
accomplished	287	7.32	1.3005	--	2767	3951	--
adorable	288	7.32	1.6956	1524	--	--	--
championship	289	7.32	1.3619	3707	--	1966	--
comfortable	290	7.32	1.0962	3887	3733	3311	4898
cuddle	291	7.32	1.7313	3764	--	--	--
games	292	7.32	1.2196	671	3441	559	1057
grandson	293	7.32	1.4769	--	--	2496	--
life	294	7.32	1.6956	84	103	157	70
lovely	295	7.32	1.5444	782	4534	--	1136
pretty	296	7.32	1.6956	152	1983	1684	448
proud	297	7.32	1.4348	695	3463	1808	1034
rose	298	7.32	1.4630	1938	1384	531	1145
united	299	7.32	1.2027	1662	244	98	3021
fruits	300	7.31	1.5303	--	4170	--	--
adventure	301	7.30	1.4321	2046	--	--	--
couple	302	7.30	1.2657	453	2357	1432	1309
dollars	303	7.30	1.4604	2503	2056	863	1915
eating	304	7.30	1.7757	532	3218	2595	2376
fortune	305	7.30	1.3887	4327	2985	4600	2013
generous	306	7.30	1.4743	--	4377	2523	--
golden	307	7.30	1.3439	1835	2631	2419	1025
hahah	308	7.30	1.5419	1542	--	--	--
hooray	309	7.30	2.0727	4511	--	--	--
intelligence	310	7.30	1.1995	--	1753	1257	--
lover	311	7.30	1.9299	3444	4730	4901	630
luxury	312	7.30	1.6812	2845	--	4254	--
money	313	7.30	1.8434	163	414	236	225
passion	314	7.30	1.4743	1955	2811	2908	1216
prosperity	315	7.30	1.5286	--	4090	--	--
remarkable	316	7.30	1.3286	--	2134	3525	--
sweetie	317	7.30	1.1294	3167	--	--	--
valentines	318	7.30	1.7757	1443	--	--	--
educated	319	7.29	1.3070	--	3270	--	--
gently	320	7.29	1.2748	--	4602	--	2690
baby	321	7.28	1.8521	157	2388	2147	53
books	322	7.28	1.3254	911	599	401	2166
bride	323	7.28	1.5391	3811	--	3353	3521
cherished	324	7.28	1.5784	--	--	647	--
cookies	325	7.28	1.7028	1391	--	--	--
dessert	326	7.28	1.7733	4525	--	--	--
employed	327	7.28	1.3559	--	1119	4869	--
glow	328	7.28	1.2943	--	--	--	1696
god	329	7.28	1.9277	136	181	1790	210
great-grandchildren	330	7.28	1.7028	--	--	--	--
helped	331	7.28	1.2943	2226	2063	975	3315
independence	332	7.28	1.5913	--	1745	2634	--
likes	333	7.28	1.5391	1541	--	4118	1440
luckily	334	7.28	1.6542	4888	--	--	--
moon	335	7.28	1.3708	818	2618	4687	454
perfectly	336	7.28	1.5913	3921	2339	--	4196
satisfied	337	7.28	1.5258	4295	2603	--	1520
sunday	338	7.28	1.9171	517	2537	114	1183
juicy	339	7.27	1.2037	--	--	--	4900
championships	340	7.26	1.3524	--	--	3124	--
divine	341	7.26	1.4115	--	1325	--	1855
dreaming	342	7.26	1.2586	3537	--	--	805
foods	343	7.26	1.4820	2923	4383	3500	--
fresh	344	7.26	1.3219	1025	1698	1557	1118
gladly	345	7.26	1.1214	--	--	--	4807
greatest	346	7.26	1.5228	1454	1214	2468	1721
hearts	347	7.26	1.6759	2326	3148	1563	597
luck	348	7.26	1.8824	397	--	--	996
millions	349	7.26	1.5361	3717	3072	1982	2863
musicians	350	7.26	1.0461	--	--	2870	--
play	351	7.26	1.2257	287	600	339	204
progress	352	7.26	1.1572	1627	1014	1927	4474
savings	353	7.26	1.2747	4129	4356	1586	--
appreciation	354	7.24	1.4653	--	4619	--	--
bliss	355	7.24	1.7562	3596	--	--	2684
bloom	356	7.24	1.5980	--	--	--	3127
book	357	7.24	1.2048	229	278	255	1063
child	358	7.24	1.5592	685	369	846	491
companion	359	7.24	1.3786	--	4269	2767	--
computer	360	7.24	1.3933	384	1450	762	4633
gardens	361	7.24	1.3486	--	4541	2554	--
gentle	362	7.24	0.9806	--	3862	3811	2156
hahahah	363	7.24	2.0360	3594	--	--	--
helpful	364	7.24	1.2382	4334	3538	--	--
impressed	365	7.24	1.0412	1679	4667	--	4879
kind	366	7.24	1.3933	319	383	571	373
knowledge	367	7.24	1.4647	1758	374	2359	2168
liberty	368	7.24	1.2707	3427	1880	3517	3605
mama	369	7.24	1.7562	1525	--	--	535
nature	370	7.24	1.8020	1646	243	1464	1661
pal	371	7.24	1.2707	--	--	--	4745
passionate	372	7.24	1.0797	--	--	--	--
promoted	373	7.24	1.4923	--	--	4047	--
reward	374	7.24	1.8905	3952	3896	--	4930
warmth	375	7.24	1.6483	--	--	3873	3065
xmas	376	7.24	2.1050	769	--	--	--
danced	377	7.22	1.2122	--	--	--	2523
amazed	378	7.22	1.8658	3914	--	--	4272
appreciate	379	7.22	1.1830	1657	4834	4755	3449
brother	380	7.22	1.2337	482	1055	289	640
confidence	381	7.22	1.2824	4570	1802	2284	3254
darling	382	7.22	1.3138	4107	--	--	742
encouraging	383	7.22	1.5556	--	--	4780	--
energy	384	7.22	1.2982	1005	549	877	2115
films	385	7.22	1.2824	3211	3300	1444	--
garden	386	7.22	1.1830	1064	1821	875	1557
graduated	387	7.22	1.2664	--	--	492	--
guitar	388	7.22	1.4748	1324	--	4072	1071
health	389	7.22	1.2501	400	441	287	3144
heart	390	7.22	1.4327	274	435	719	86
honor	391	7.22	1.2002	1630	2559	1863	3003
like	392	7.22	1.2171	32	89	76	26
musical	393	7.22	1.5556	2642	3246	1275	4045
pets	394	7.22	1.5292	4059	--	--	--
relaxed	395	7.22	1.0554	4698	--	--	--
salary	396	7.22	1.3445	--	4883	3110	--
star	397	7.22	1.5817	392	2460	1290	497
sweeter	398	7.22	1.1119	--	--	--	2858
trust	399	7.22	1.2337	705	1399	1358	563
yummy	400	7.22	1.7876	1608	--	--	--
ecstasy	401	7.20	1.7318	--	--	--	2805
eternal	402	7.20	1.5272	--	2958	--	1699
approved	403	7.20	1.4983	--	3132	1417	--
benefits	404	7.20	1.0498	3234	1814	1124	--
cartoon	405	7.20	1.4428	4463	--	--	--
comforted	406	7.20	1.4428	--	--	4362	--
cool	407	7.20	1.3401	276	3437	3533	472
discount	408	7.20	1.2936	2776	--	3885	--
good	409	7.20	1.4569	19	121	164	114
google	410	7.20	1.3093	456	--	--	--
ladies	411	7.20	1.4708	1047	3188	--	814
libraries	412	7.20	1.2454	--	4520	--	--
luv	413	7.20	1.8406	1044	--	--	3606
perfection	414	7.20	1.6288	--	4505	--	3509
presents	415	7.20	1.4569	1940	2555	4154	4863
prizes	416	7.20	2.0304	4281	--	--	--
special	417	7.20	1.1952	649	448	480	866
wishes	418	7.20	1.2122	1650	3179	--	2773
alive	419	7.18	1.2887	872	2707	2977	445
awards	420	7.18	1.2070	1633	--	2230	--
bed	421	7.18	1.2887	124	1100	3503	459
best	422	7.18	1.6866	126	282	295	270
coffee	423	7.18	1.4803	474	2997	2806	1799
comfy	424	7.18	1.2237	4650	--	--	--
fiesta	425	7.18	1.7692	--	--	--	4352
genuine	426	7.18	1.3805	--	3492	--	--
helping	427	7.18	1.6374	1479	3756	2215	3277
imagine	428	7.18	1.1008	888	2512	3062	1282
leisure	429	7.18	1.6986	--	--	3100	--
meal	430	7.18	1.4665	2018	3858	--	3549
promise	431	7.18	1.1899	1881	2230	2838	642
respected	432	7.18	1.0240	--	--	3229	--
rest	433	7.18	1.2567	562	630	891	490
travel	434	7.18	1.4241	632	2204	623	1910
abundant	435	7.16	1.6458	--	4672	--	--
attracted	436	7.16	1.1669	--	4251	--	--
devoted	437	7.16	1.3607	--	2487	310	--
favourite	438	7.16	1.3607	2197	--	--	3939
granddaughter	439	7.16	1.6946	--	--	3763	--
heroes	440	7.16	1.5696	2759	--	--	2486
ideas	441	7.16	1.2835	1003	815	1482	3540
liked	442	7.16	0.9116	1287	3339	4273	2410
oceans	443	7.16	1.6208	--	--	--	3577
pizza	444	7.16	1.3303	500	--	--	4655
skies	445	7.16	1.3456	--	--	--	953
sleep	446	7.16	1.7066	109	1593	3382	354
spring	447	7.16	1.4337	625	1279	920	1356
sunset	448	7.16	2.1127	2597	--	--	2330
welcome	449	7.16	1.3149	653	3503	2507	961
1st	450	7.14	1.7025	--	3809	--	--
adoring	451	7.14	1.6904	--	--	2424	--
brighter	452	7.14	1.3250	--	--	--	2428
children's	453	7.14	1.5120	--	3315	--	--
cure	454	7.14	1.5120	2823	4323	--	1957
fireworks	455	7.14	1.4848	3589	--	--	--
home	456	7.14	1.8296	60	255	108	135
honored	457	7.14	1.2779	--	--	3501	--
journey	458	7.14	1.5120	2644	2179	3957	1946
lovin	459	7.14	1.9693	4096	--	--	2199
opportunity	460	7.14	1.7144	1975	1176	1397	4127
paid	461	7.14	1.7144	1286	894	804	991
parks	462	7.14	1.5651	--	--	2515	--
playing	463	7.14	1.4709	311	2312	815	730
shine	464	7.14	1.7144	2921	--	--	456
strawberry	465	7.14	1.4144	4584	--	--	--
summertime	466	7.14	2.2224	--	--	--	2650
wealthy	467	7.14	1.7498	--	--	4764	--
appreciated	468	7.12	1.5070	4995	--	2738	--
artistic	469	7.12	1.2395	--	4079	2415	--
birth	470	7.12	1.6117	2916	1398	2885	2039
children	471	7.12	1.3498	1035	203	173	614
fruit	472	7.12	1.5205	2529	2367	4456	3087
inspire	473	7.12	1.4797	3787	--	--	--
juice	474	7.12	1.0812	2185	--	--	2429
laptop	475	7.12	1.3498	1075	--	--	--
partners	476	7.12	1.4377	--	4156	1660	--
son	477	7.12	1.8142	624	497	201	450
stronger	478	7.12	1.0812	4576	3410	3673	1171
superman	479	7.12	1.7219	--	--	--	3794
tree	480	7.12	1.3192	702	1246	2933	824
valuable	481	7.12	1.1183	--	2015	3652	--
woman's	482	7.12	1.3498	--	4352	--	--
women	483	7.12	1.4658	651	229	376	881
glowing	484	7.10	1.4324	--	--	--	3796
admiration	485	7.10	1.4604	--	4990	--	--
carnival	486	7.10	1.7642	--	--	--	4356
computers	487	7.10	1.2817	3587	--	1956	--
confident	488	7.10	1.1824	3827	--	3399	--
cookie	489	7.10	1.2976	2560	--	--	3900
cutie	490	7.10	1.3132	4744	--	--	--
dearest	491	7.10	1.2817	--	--	4358	--
dream	492	7.10	1.9614	409	2076	2500	215
freely	493	7.10	1.3740	--	3493	--	--
fridays	494	7.10	1.4604	4899	--	2747	--
plants	495	7.10	1.2976	4973	1392	1847	--
quality	496	7.10	1.4178	866	764	1409	--
rabbit	497	7.10	1.2164	3115	--	--	4413
resort	498	7.10	1.4463	4049	--	3854	--
shopping	499	7.10	1.5419	604	--	2551	3672
sincere	500	7.10	1.0351	--	--	3579	4635
snack	501	7.10	1.5682	4083	--	--	--
stars	502	7.10	1.5419	1190	2781	1883	455
toys	503	7.10	1.6568	2579	--	--	2583
useful	504	7.10	1.1995	1445	1028	4019	--
wise	505	7.10	1.2657	1869	2254	3257	1515
yum	506	7.10	1.4880	1603	--	--	--
desirable	507	7.08	1.6563	--	2901	--	--
sparkle	508	7.08	1.6181	--	--	--	4859
bless	509	7.08	1.9675	967	--	--	1545
comic	510	7.08	1.5628	2518	--	4204	--
cooking	511	7.08	1.2911	1447	--	4167	--
dancing	512	7.08	1.6142	1331	4652	2865	744
earned	513	7.08	1.1753	3855	--	1758	--
equality	514	7.08	1.8277	--	3316	--	--
faith	515	7.08	1.4405	1873	838	2399	654
graduate	516	7.08	1.2428	3304	4184	710	--
improvements	517	7.08	1.4119	--	4076	--	--
memories	518	7.08	1.1925	1591	4354	2481	762
park	519	7.08	1.3529	802	1909	262	1264
pet	520	7.08	1.7004	1132	--	--	4364
powerful	521	7.08	1.5365	1641	1391	1789	4452
princess	522	7.08	1.5758	2507	4690	--	3282
qualities	523	7.08	1.1578	--	2420	--	--
thrill	524	7.08	1.5628	--	--	--	1530
true	525	7.08	1.1036	415	315	1069	202
wonder	526	7.08	1.3068	344	2309	2665	409
everlasting	527	7.06	1.3906	--	--	--	2924
mamma	528	7.06	1.7006	--	--	--	2973
caress	529	7.06	1.7192	--	--	--	3091
charm	530	7.06	1.4201	3763	--	4977	2765
clever	531	7.06	1.3463	4316	--	--	3151
father	532	7.06	1.7427	1203	375	139	747
grand	533	7.06	1.3614	1685	1709	944	1575
hehehe	534	7.06	1.6587	2791	--	--	--
idea	535	7.06	1.2843	269	499	915	2144
pearl	536	7.06	1.4201	4078	--	3995	3892
pictures	537	7.06	1.3157	1065	2328	1770	1540
restaurant	538	7.06	1.2521	1041	--	1044	--
sandwich	539	7.06	1.3763	2463	--	--	--
sharing	540	7.06	1.2843	1885	4124	4554	3518
strong	541	7.06	1.5174	740	529	722	401
talent	542	7.06	0.9775	1306	4877	3034	--
talented	543	7.06	1.5308	3256	--	4996	--
tenderness	544	7.06	1.2683	--	--	--	3698
weddings	545	7.06	1.6587	--	--	504	--
dove	546	7.04	1.4428	--	--	--	2276
awsome	547	7.04	1.7952	4880	--	--	--
cherry	548	7.04	1.4563	3311	--	--	2587
daughter	549	7.04	1.8066	1258	1265	272	1698
eat	550	7.04	1.4563	228	2093	2972	639
favorite	551	7.04	1.6532	501	4519	2048	1495
girlfriend	552	7.04	1.6283	2260	--	--	1695
hoping	553	7.04	1.1421	906	--	2905	1203
impressive	554	7.04	1.0294	4271	--	4363	--
loyalty	555	7.04	1.7723	--	4526	--	--
parent	556	7.04	1.2930	4646	2581	2209	--
relationship	557	7.04	1.2930	1990	691	1430	4256
safe	558	7.04	1.6157	579	2024	2119	873
scholarship	559	7.04	1.6532	--	--	2975	--
shining	560	7.04	1.7608	3585	--	--	837
sunrise	561	7.04	1.7952	3659	--	--	2605
yoga	562	7.04	1.5903	2695	--	--	--
respects	563	7.02	1.6176	--	3820	--	--
fairy	564	7.02	1.4789	--	--	--	3337
humanity	565	7.02	1.6265	--	3146	--	4154
productivity	566	7.02	1.3148	--	3778	--	--
brave	567	7.02	1.2856	2714	4617	--	1741
colours	568	7.02	1.3775	--	--	--	2974
