word,pos
abbate,Noun
abbatial,Adjective
abba,Noun
abbess,Noun
abbeville,Noun
abbevillian,NA
abbeystead,Noun
abbeys,Plural
abbey,Noun
abbe,Noun
abbie,Noun
abbi,Noun
abbotcy,Noun
abbotsen,Noun
abbotsford,Noun
abbotship,Noun
abbotson,Noun
abbotsun,Noun
abbottson,Noun
abbott,Noun
abbot,Noun
abboud,Noun
abbreviated,Verb (transitive)
abbreviate,Verb (transitive)
abbreviating,Verb (transitive)
abbreviation,Noun
abbreviator,Noun
abbr,Noun
abbye,Noun
abby,Noun
abb,Noun
abcoulomb,Noun
abc,Noun
abd-el-kadir,Noun
abdaria,Plural
abdella,Noun
abdel,Noun
abderhalden,Noun
abderus,Noun
abdias,Noun
abdicable,Adjective
abdicant,Adjective
abdicant,Noun
abdicated,Verb (usu participle)
abdicate,Verb (usu participle)
abdicating,Verb (usu participle)
abdication,Noun
abdicative,Adjective
abdicator,Noun
abdomen,Noun
abdominal,Adjective
abdominous,Adjective
abdon,Noun
abduced,Verb (transitive)
abducens,Noun
abducentes,Plural
abducent,Adjective
abduce,Verb (transitive)
abducing,Verb (transitive)
abduction,Noun
abductor,Noun
abduct,Verb (transitive)
abdul-aziz,Noun
abdulla,Noun
abdul,Noun
abdu,Noun
abd,Noun
abeam,Adverb
abebi,Noun
abecedarian,NA
abecedaries,Plural
abecedarium,Noun
abecedary,NA
abednego,Noun
abed,Noun
abed,Adverb
abel-meholah,Noun
abelard,Noun
abele,Noun
abelian,Adjective
abell,Noun
abelmosk,Noun
abel,Noun
abenezra,Noun
abeokuta,Noun
abepp,Noun
abercrombie,Noun
abercromby,Noun
aberdare,Noun
aberdeenshire,Noun
aberdeen,NA
aberglaube,Noun
abernathy,Noun
abernethy,Noun
abernon,Noun
aberrance,Noun
aberrancy,Noun
aberrant,Adjective
aberrational,Adjective
aberration,Noun
abert,Noun
aberystwyth,Noun
abesse,Noun
abessive,Adjective
abessive,Noun
abetment,Noun
abettal,Noun
abetted,Verb (transitive)
abetting,Verb (transitive)
abettor,Noun
abet,Verb (usu participle)
abeyance,Noun
abeyant,Adjective
abey,Noun
abe,Noun
abfarad,Noun
abfm,Noun
abgatha,Noun
abhenries,Plural
abhenry,Noun
abhominable,Adjective
abhorred,Verb (transitive)
abhorrence,Noun
abhorrently,Adverb
abhorrent,Adjective
abhorrer,Noun
abhorring,Verb (transitive)
abhor,Verb (usu participle)
abiathar,Noun
abia,Noun
abib,Noun
abidance,Noun
abided,Verb (usu participle)
abider,Noun
abide,Verb (usu participle)
abide,Verb (transitive)
abide,Verb (intransitive)
abidingly,Adverb
abidingness,Noun
abiding,Adjective
abidjan,Noun
abient,Adjective
abietate,Noun
abie,Noun
abigael,Noun
abigail,Noun
abigale,Noun
abihu,Noun
abijah,Noun
abilene,Noun
abilities,Plural
ability,Noun
abilyne,Noun
abimelech,Noun
abineri,Noun
abingdon,Noun
abinger,Noun
abington,Noun
abinoam,Noun
abiogenesis,Noun
abiogenetically,Adverb
abiogenetic,Adjective
abiogenist,Noun
abiosis,Noun
abiotically,Adverb
abiotic,Adjective
abiotrophic,Adjective
abiotrophy,Noun
abirritant,Adjective
abirritant,Noun
abirritated,Verb (transitive)
abirritate,Verb (transitive)
abirritating,Verb (transitive)
abirritation,Noun
abirritative,Adjective
abishag,Noun
abisha,Noun
abisia,Noun
abiu,Noun
abixah,Noun
abjectedness,Noun
abjection,Noun
abjective,Adjective
abjectly,Adverb
abjectness,Noun
abject,Adjective
abjunction,Noun
abjuration,Noun
abjuratory,Adjective
abjured,Verb (transitive)
abjurer,Noun
abjure,Verb (transitive)
abjuring,Verb (transitive)
abkhazian,Noun
abkhazia,Noun
abkhaz,Noun
ablactated,Verb (transitive)
ablactate,Verb (transitive)
ablactating,Verb (transitive)
ablactation,Noun
ablated,Verb (usu participle)
ablate,Verb (transitive)
ablating,Verb (usu participle)
ablation,Noun
ablatival,Adjective
ablative,Adjective
ablative,Noun
ablator,Noun
ablaut,Noun
ablaze,Adverb
able-bodiedness,Noun
able-bodied,Adjective
ablegate,Noun
ablepharous,Adjective
ablepsia,Noun
ableptical,Adjective
abler,Adjective
ablest,Adjective
able,Adjective
able,Noun
ablins,Adverb
ablock,Adverb
abloom,Adverb
abloom,Adjective
abls,Noun
abluent,Adjective
abluent,Noun
ablush,Adjective
ablutionary,Adjective
ablution,Noun
ably,Adverb
abl,Noun
abmhos,Plural
abmho,Noun
abmodalities,Plural
abmodality,Noun
abm,Noun
abnakis,Plural
abnaki,Noun
abnegated,Verb (transitive)
abnegate,Verb (transitive)
abnegating,Verb (transitive)
abnegation,Noun
abnegator,Noun
abner,Noun
abnormalcies,Plural
abnormalcy,Noun
abnormalised,Verb (transitive)
abnormalise,Verb (transitive)
abnormalising,Verb (transitive)
abnormalities,Plural
abnormality,Noun
abnormalized,Verb (transitive)
abnormalize,Verb (transitive)
abnormalizing,Verb (transitive)
abnormally,Adverb
abnormalness,Noun
abnormal,Adjective
abnormities,Plural
abnormity,Noun
aboardage,Noun
aboard,Adverb
aboard,Preposition
abode,Noun
abode,Verb (usu participle)
abohm,Noun
aboideau,Noun
abolishable,Adjective
abolisher,Noun
abolishment,Noun
abolish,Verb (transitive)
abolitionary,Adjective
abolitionised,Verb (transitive)
abolitionise,Verb (transitive)
abolitionising,Verb (transitive)
abolitionism,Noun
abolitionist,Noun
abolitionized,Verb (transitive)
abolitionize,Verb (transitive)
abolitionizing,Verb (transitive)
abolition,NA
abollae,Plural
abolla,Noun
abomasa,Plural
abomasum,Noun
abomasusi,Plural
abomasus,Noun
abominableness,Noun
abominable,Adjective
abominably,Adverb
abominated,Verb (transitive)
abominate,Verb (transitive)
abominating,Verb (transitive)
abomination,Noun
abominator,Noun
abondance,Noun
aboon,Adverb
aboon,Preposition
aborad,Adverb
aboral,Adjective
aboriginality,Noun
aboriginally,Adverb
aboriginal,Adjective
aboriginal,Noun
aborigine,Noun
aborning,Adverb
aborn,Noun
aborticide,Noun
abortifacient,Adjective
abortifacient,Noun
abortional,Adjective
abortionist,Noun
abortion,Noun
abortively,Adverb
abortiveness,Noun
abortive,Adjective
abortus,Noun
abort,Verb (usu participle)
abort,Verb (intransitive)
abort,Verb (transitive)
abott,Noun
aboudikro,Noun
abought,Verb (usu participle)
aboukir,Noun
aboulia,Noun
aboulic,Adjective
aboundingly,Adverb
abound,Verb (intransitive)
about-faced,Verb (usu participle)
about-face,Noun
about-face,Verb (intransitive)
about-facing,Verb (usu participle)
about-shipped,Verb (intransitive)
about-shipping,Verb (intransitive)
about-ship,Verb (usu participle)
about,Preposition
about,Adverb
about,Adjective
aboveboard,Adverb
aboveboard,Adjective
aboveground,Adjective
above,Preposition
above,Adverb
above,Noun
above,Adjective
abox,Adjective
abo,Noun
abo,NA
abpc,Noun
abp,Noun
abracadabra,Interjection
abracadabra,Noun
abradant,Adjective
abradant,Noun
abraded,Verb (transitive)
abraded,Verb (intransitive)
abrader,Noun
abrade,Verb (transitive)
abrading,Verb (transitive)
abrading,Verb (intransitive)
abrahamsen,Noun
abrahams,Noun
abraham,Noun
abrahan,Noun
abramo,Noun
abramson,Noun
abrams,Noun
abram,Noun
abranchiate,Adjective
abran,Noun
abraser,Noun
abrasion,Noun
abrasive,NA
abraxas,Noun
abrazos,Plural
abrazo,Noun
abra,Noun
abreaction,Noun
abreact,Verb (transitive)
abreast,Adverb
abreast,Adjective
abridgable,Adjective
abridgeable,Adjective
abridged,Adjective
abridged,Verb (transitive)
abridger,Noun
abridge,Verb (transitive)
abridging,Verb (transitive)
abridgment,Noun
abris,Plural
abri,Noun
abroach,Adverb
abroach,Adjective
abroad,Adverb
abrogable,Adjective
abrogated,Verb (transitive)
abrogate,Verb (transitive)
abrogating,Verb (transitive)
abrogation,Noun
abrogative,Adjective
abrogator,Noun
abroms,Noun
abruption,Noun
abruptly,Adverb
abruptness,Noun
abrupt,Adjective
abruzzi,Noun
abr,Noun
absalom,Noun
absa,Noun
abscessed,Adjective
abscess,Noun
abscess,Verb (intransitive)
abscind,Verb (transitive)
abscised,Verb (intransitive)
abscise,Verb (usu participle)
abscising,Verb (intransitive)
abscissae,Plural
abscissas,Plural
abscissa,Noun
abscission,Noun
absconder,Noun
abscond,Verb (intransitive)
absecon,Noun
abseil,Verb (intransitive)
abseil,Noun
absence,Noun
absent-mindedness,Noun
absent-minded,Adjective
absentation,Noun
absenteeism,Noun
absentee,Noun
absenter,Noun
absentia,Noun
absently,Adverb
absentmindedly,Adverb
absentness,Noun
absent,Adjective
absent,Verb (usu participle)
absent,Verb (transitive)
abshier,Noun
absinthe,Noun
absinthial,Adjective
absinthian,Adjective
absinthism,Noun
absolutely,Adverb
absoluteness,Noun
absolute,Adjective
absolute,Noun
absolution,Noun
absolutism,Noun
absolutistically,Adverb
absolutistic,Adjective
absolutist,Noun
absolutory,Adjective
absolvable,Adjective
absolved,Verb (transitive)
absolvent,Adjective
absolvent,Noun
absolver,Noun
absolve,Verb (transitive)
absolving,Verb (transitive)
absonant,Adjective
absorbability,Noun
absorbable,Adjective
absorbance,Noun
absorbedly,Adverb
absorbedness,Noun
absorbed,Adjective
absorbefacient,NA
absorbency,Noun
absorbent,Adjective
absorbent,Noun
absorber,Noun
absorbingly,Adverb
absorbing,Adjective
absorb,Verb (transitive)
absorptance,Noun
absorptiometer,Noun
absorptiometric,Adjective
absorption,Noun
absorptiveness,Noun
absorptive,Adjective
absorptivity,Noun
absquatulate,Verb (intransitive)
abstainer,Noun
abstain,Verb (intransitive)
abstemiously,Adverb
abstemiousness,Noun
abstemious,Adjective
abstention,Noun
abstentious,Adjective
absterged,Verb (transitive)
abstergent,Adjective
absterge,Verb (transitive)
absterging,Verb (transitive)
abstersion,Noun
abstersiveness,Noun
abstersive,Adjective
abstinence,Noun
abstinently,Adverb
abstinent,Adjective
abstractedly,Adverb
abstractedness,Noun
abstracted,Adjective
abstracter,Noun
abstractional,Adjective
abstractionism,Noun
abstractionist,NA
abstraction,Noun
abstractively,Adverb
abstractiveness,Noun
abstractive,Adjective
abstractly,Adverb
abstractness,Noun
abstract,Adjective
abstract,Noun
abstract,Verb (usu participle)
abstract,Verb (transitive)
abstriction,Noun
abstrusely,Adverb
abstruseness,Noun
abstruse,Adjective
abstrusity,Noun
abstr,Noun
absurdities,Plural
absurdity,Noun
absurdly,Adverb
absurdness,Noun
absurd,Adjective
absyrtus,Noun
abs,Noun
abt,Noun
abu-bekr,Noun
abukir,Noun
abulfeda,Noun
abulia,Noun
abulic,Adjective
abuna,Noun
abundance,Noun
abundantly,Adverb
abundant,Adjective
abura,Noun
abury,Noun
abusable,Adjective
abusage,Noun
abused,Verb (usu participle)
abuser,Noun
abuse,Verb (usu participle)
abuse,Verb (transitive)
abuse,Noun
abusing,Verb (usu participle)
abusively,Adverb
abusiveness,Noun
abusive,Adjective
abus,Noun
abutilon,Noun
abutment,Noun
abuttals,Plural
abuttal,Noun
abutted,Verb (usu participle)
abutter,Noun
abutting,Adjective
abutting,Verb (usu participle)
abut,Verb (usu participle)
abuzz,Adjective
abvolt,Noun
abv,Noun
abwatt,Noun
abydos,Noun
abye,Verb (transitive)
abye,Verb (intransitive)
abyla,Noun
abysmally,Adverb
abysmal,Adjective
abysm,Noun
abyssal,Adjective
abyssinian,Adjective
abyssinian,Noun
abyssinia,Noun
abyss,Noun
aby,Verb (usu participle)
ab,Noun
ac-globulin,Noun
ac/dc,Adjective
ac/dc,Noun Phrase
acaa,Noun
acacallis,Noun
acacia,Noun
academe,Noun
academia,Noun
academically,Adverb
academicals,Plural
academical,Adjective
academical,Noun
academician,Noun
academicism,Noun
academic,Adjective
academic,Noun
academies,Plural
academised,Verb (transitive)
academise,Verb (transitive)
academising,Verb (transitive)
academism,Noun
academized,Verb (transitive)
academize,Verb (transitive)
academizing,Verb (transitive)
academus,Noun
academy,Noun
acadian,Adjective
acadian,Noun
acadia,Noun
acad,Noun
acajou,Noun
acalculia,Noun
acaleph,Noun
acalia,Noun
acamas,Noun
acanthaceous,Adjective
acanthine,Adjective
acanthite,Noun
acanthocarpous,Adjective
acanthocephalan,NA
acanthocladous,Adjective
acanthodian,Noun
acanthoid,Adjective
acanthopterygian,Adjective
acanthopterygian,Noun
acanthoses,Plural
acanthosis,Noun
acanthotic,Adjective
acanthous,Adjective
acanthuses,Plural
acanthus,Noun
acanthuthi,Plural
acapnial,Adjective
acapnia,Noun
acappella,Noun
acapulco,Noun
acarari,Plural
acardiac,Adjective
acardia,Noun
acariasis,Noun
acaricidal,Adjective
acaricide,Noun
acaridan,Adjective
acaridan,Noun
acarid,NA
acarine,NA
acarnan,Noun
acaroid,Adjective
acarologist,Noun
acarology,Noun
acarophobia,Noun
acarpellous,Adjective
acarpelous,Adjective
acarpous,Adjective
acarus,Noun
acastus,Noun
acatalectic,Adjective
acatalectic,Noun
acaudal,Adjective
acaulescence,Noun
acaulescent,Adjective
accadian,NA
accad,Noun
accalia,Noun
acceded,Verb (intransitive)
accedence,Noun
acceder,Noun
accede,Verb (intransitive)
acceding,Verb (intransitive)
accelerable,Adjective
accelerando,Adjective
accelerando,Adverb
accelerando,Noun
accelerant,Noun
acceleratedly,Adverb
accelerated,Verb (usu participle)
accelerate,Verb (usu participle)
accelerate,Verb (transitive)
accelerating,Verb (usu participle)
acceleration,Noun
accelerative,Adjective
accelerator,Noun
accelerometer,Noun
accel,Noun
accentless,Adjective
accentor,Noun
accentuable,Adjective
accentuality,Noun
accentually,Adverb
accentual,Adjective
accentuated,Verb (transitive)
accentuate,Verb (transitive)
accentuating,Verb (transitive)
accentuation,Noun
accentuator,Noun
accent,Noun
accent,Verb (usu participle)
accent,Verb (transitive)
acceptability,Noun
acceptableness,Noun
acceptable,Adjective
acceptably,Adverb
acceptance,Noun
acceptancies,Plural
acceptancy,Noun
acceptant,Adjective
acceptation,Noun
acceptedly,Adverb
accepted,Adjective
acceptee,Noun
accepter,Noun
acceptor,Noun
accept,Verb (usu participle)
accept,Verb (intransitive)
accessaries,Plural
accessarily,Adverb
accessariness,Noun
accessary,Noun
accessibility,Noun
accessible,Adjective
accessibly,Adverb
accessional,Adjective
accession,Noun
accession,Verb (transitive)
accessorial,Adjective
accessories,Plural
accessorily,Adverb
accessoriness,Noun
accessoriusorii,Plural
accessorius,Noun
accessorized,Verb (transitive)
accessorize,Verb (transitive)
accessorizing,Verb (transitive)
accessory,NA
access,Noun
access,Verb (transitive)
acce,Noun
acciaccaturas,Plural
acciaccatura,Noun
acciaccature,Plural
accidence,Noun
accident-prone,Adjective
accidentalism,Noun
accidentalist,NA
accidentality,Noun
accidentally,Adverb
accidentalness,Noun
accidental,Adjective
accidental,Noun
accident,Noun
accidie,Noun
accipiter,Noun
accipitral,Adjective
accipitrine,Adjective
accius,Noun
acclaimer,Noun
acclaim,Verb (transitive)
acclaim,Noun
acclamation,Noun
acclamatory,Adjective
acclimatable,Adjective
acclimated,Verb (transitive)
acclimated,Verb (intransitive)
acclimate,Verb (transitive)
acclimate,Verb (intransitive)
acclimating,Verb (transitive)
acclimating,Verb (intransitive)
acclimation,Noun
acclimatisable,Adjective
acclimatisation,Noun
acclimatised,Verb (transitive)
acclimatised,Verb (intransitive)
acclimatiser,Noun
acclimatise,Verb (transitive)
acclimatise,Verb (intransitive)
acclimatising,Verb (transitive)
acclimatising,Verb (intransitive)
acclimatizable,Adjective
acclimatization,Noun
acclimatized,Verb (transitive)
acclimatized,Verb (intransitive)
acclimatize,Verb (usu participle)
acclimatizing,Verb (transitive)
acclimatizing,Verb (intransitive)
acclivities,Plural
acclivitous,Adjective
acclivity,Noun
acclivous,Adjective
accoladed,Adjective
accolade,Noun
accolated,Adjective
accommodable,Adjective
accommodated,Verb (usu participle)
accommodate,Verb (transitive)
accommodatingly,Adverb
accommodating,Adjective
accommodational,Adjective
accommodation,Noun
accommodativeness,Noun
accommodative,Adjective
accommodator,Noun
accompanied,Verb (transitive)
accompanier,Noun
accompaniment,Noun
accompanist,Noun
accompanying,Verb (transitive)
accompanyist,Noun
accompany,Verb (usu participle)
accompany,Verb (transitive)
accomplice,Noun
accomplishable,Adjective
accomplished,Adjective
accomplisher,Noun
accomplishment,Noun
accomplish,Verb (transitive)
accompt,Noun
accompt,Verb (intransitive)
accompt,Verb (transitive)
accordable,Adjective
accordance,Noun
accordantly,Adverb
accordant,Adjective
accordatura,Noun
accordature,Plural
accorder,Noun
accordingly,Adverb
according,Adjective
accordionist,Noun
accordion,Noun
accord,Noun
accord,Verb (usu participle)
accord,Verb (transitive)
accostable,Adjective
accosted,Adjective
accost,Verb (transitive)
accost,Noun
accouchements,Plural
accouchement,Noun
accoucheurs,Plural
accoucheur,Noun
accoucheuses,Plural
accoucheuse,Noun
accountability,Noun
accountableness,Noun
accountable,Adjective
accountably,Adverb
accountancy,Noun
accountantship,Noun
accountant,Noun
accounting,Noun
account,Noun
account,Verb (transitive)
accouplement,Noun
accouterment,Noun
accouter,Verb (transitive)
accoutred,Verb (transitive)
accoutrement,Noun
accoutre,Verb (transitive)
accoutring,Verb (transitive)
accra,Noun
accreditation,Noun
accreditment,Noun
accredit,Verb (transitive)
accrescent,Adjective
accreted,Verb (usu participle)
accrete,Verb (usu participle)
accrete,Verb (transitive)
accrete,Adjective
accreting,Verb (usu participle)
accretionary,Adjective
accretion,Noun
accretive,Adjective
accrington,Noun
accroachment,Noun
accroach,Verb (transitive)
accrual,Noun
accrued,Verb (intransitive)
accruement,Noun
accrue,Verb (usu participle)
accruing,Verb (intransitive)
acct,Noun
acculturated,Verb (transitive)
acculturated,Verb (intransitive)
acculturate,Verb (transitive)
acculturating,Verb (transitive)
acculturating,Verb (intransitive)
acculturational,Adjective
acculturationist,Noun
acculturation,Noun
acculturative,Adjective
acculturized,Verb (transitive)
acculturize,Verb (transitive)
acculturizing,Verb (transitive)
accumbency,Noun
accumbent,Adjective
accumulable,Adjective
accumulated,Verb (usu participle)
accumulate,Verb (usu participle)
accumulating,Verb (usu participle)
accumulation,Noun
accumulatively,Adverb
accumulativeness,Noun
accumulative,Adjective
accumulator,Noun
accum,Noun
accuracies,Plural
accuracy,Noun
accurately,Adverb
accurateness,Noun
accurate,Adjective
accursedly,Adverb
accursedness,Noun
accursed,Adjective
accusable,Adjective
accusably,Adverb
accusal,Noun
accusant,Noun
accusation,Noun
accusatival,Adjective
accusatively,Adverb
accusative,Adjective
accusative,Noun
accusatorially,Adverb
accusatorial,Adjective
accusatory,Adjective
accused,Noun
accuser,Noun
accuse,Verb (usu participle)
accusingly,Adverb
accusing,Verb (usu participle)
accustomedly,Adverb
accustomedness,Noun
accustomed,Adjective
accustom,Verb (transitive)
accutron,Noun
acc,Noun
acedia,Noun
aced,Noun
aced,Verb (usu participle)
aceldama,Noun
acellular,Adjective
acenesthesia,Noun
acentric,Adjective
acephalous,Adjective
acequias,Plural
acequia,Noun
acerate,Adjective
acerbas,Noun
acerbated,Verb (usu participle)
acerbate,Verb (transitive)
acerbating,Verb (usu participle)
acerbic,Adjective
acerbity,Noun
acerb,Adjective
acerdol,Noun
acerli,Plural
acerose,Adjective
acerous,Adjective
acervately,Adverb
acervate,Adjective
acervulus,Noun
acescence,Noun
acescency,Noun
acescent,Adjective
acesius,Noun
acesodyne,Adjective
acesodynous,Adjective
acessamenus,Noun
acestoma,Noun
acetabular,Adjective
acetabuliform,Adjective
acetabulum,Noun
acetaldehyde,Noun
acetaldol,Noun
acetal,Noun
acetamide,Noun
acetanilide,Noun
acetanisidine,Noun
acetated,Adjective
acetate,Noun
acetation,Noun
acetazolamide,Noun
acetes,Noun
acetic,Adjective
acetification,Noun
acetified,Verb (transitive)
acetified,Verb (intransitive)
acetifier,Noun
acetifying,Verb (transitive)
acetifying,Verb (intransitive)
acetify,Verb (usu participle)
acetimeter,Noun
acetimetric,Adjective
acetimetry,Noun
acetin,Noun
acetla,Plural
acetobacter,Noun
acetoin,Noun
acetometer,Noun
acetometrically,Adverb
acetometrical,Adjective
acetometry,Noun
acetone,Noun
acetonic,Adjective
acetonitrile,Noun
acetophenetidin,Noun
acetophenone,Noun
acetostearin,Noun
acetous,Adjective
acetum,Noun
acetylaminobenzene,Noun
acetylaniline,Noun
acetylated,Verb (usu participle)
acetylate,Verb (transitive)
acetylate,Verb (intransitive)
acetylating,Verb (usu participle)
acetylation,Noun
acetylbenzene,Noun
acetylcholine,Noun
acetylene,Noun
acetylenic,Adjective
acetylenogen,Noun
acetylic,Adjective
acetylide,Noun
acetylization,Noun
acetylized,Verb (transitive)
acetylized,Verb (intransitive)
acetylizer,Noun
acetylize,Verb (transitive)
acetylize,Verb (intransitive)
acetylizing,Verb (transitive)
acetylizing,Verb (intransitive)
acetylmethylcarbinol,Noun
acetyl,Noun
acey-deucy,Noun
acey,Noun
ace,Noun
ace,Adjective
ace,Verb (transitive)
ach-y-fi,Interjection
achab,Noun
achad,Noun
achaean,NA
achaea,Noun
achaemenes,Noun
achaemenian,Adjective
achaemenid,Noun
achaeus,Noun
achalasia,Noun
achan,Noun
acharnians,Noun
achar,Noun
achates,Noun
achaz,Noun
achech,Noun
ached,Verb (usu participle)
acheilary,Adjective
achelous,Noun
achene,Noun
achenial,Adjective
acherman,Noun
achernar,Noun
acheron,Noun
acheson,Noun
acheulean,Adjective
acheulian,NA
ache,Verb (intransitive)
ache,Noun
achievable,Adjective
achieved,Verb (usu participle)
achievement,Noun
achiever,Noun
achieve,Verb (usu participle)
achieve,Verb (transitive)
achieving,Verb (usu participle)
achilary,Adjective
achillean,Adjective
achilles,Noun
achill,Noun
achimaas,Noun
achimelech,Noun
achimenes,Plural
achingly,Adverb
aching,Verb (usu participle)
achish,Noun
achitophel,Noun
achkan,Noun
achlamydate,Adjective
achlamydeous,Adjective
achlorhydria,Noun
achlorhydric,Adjective
achlorophyllous,Adjective
acholia,Noun
acholic,Adjective
acholuria,Noun
acholuric,Adjective
achondrite,Noun
achondritic,Adjective
achondroplasia,Noun
achondroplastic,Adjective
achorn,Noun
achroite,Noun
achromate,Noun
achromatically,Adverb
achromaticity,Noun
achromatic,Adjective
achromatin,Noun
achromatisation,Noun
achromatised,Verb (transitive)
achromatise,Verb (transitive)
achromatising,Verb (transitive)
achromatism,Noun
achromatization,Noun
achromatized,Verb (transitive)
achromatize,Verb (transitive)
achromatizing,Verb (transitive)
achromatophilia,Noun
achromatophil,Adjective
achromatophil,Noun
achromatous,Adjective
achromat,Noun
achromic,Adjective
achromobacter,Noun
achromycin,Noun
achronychous,Adjective
achsah,Noun
aciculae,Plural
acicularity,Noun
acicularly,Adverb
acicular,Adjective
aciculate,Adjective
acicula,Noun
aciculums,Plural
aciculum,Noun
acid-fastness,Noun
acid-fast,Adjective
acid-forming,Adjective
acid-head,Noun
acidalium,Noun
acidanthera,Noun
acidemia,Noun
acidic,Adjective
acidifiable,Adjective
acidification,Noun
acidified,Verb (transitive)
acidified,Verb (intransitive)
acidifier,Noun
acidifying,Verb (transitive)
acidifying,Verb (intransitive)
acidify,Verb (usu participle)
acidimeter,Noun
acidimetrically,Adverb
acidimetrical,Adjective
acidimetric,Adjective
acidimetry,Noun
acidity,Noun
acidized,Verb (usu participle)
acidize,Verb (transitive)
acidize,Verb (intransitive)
acidizing,Verb (usu participle)
acidly,Adverb
acidness,Noun
acidogenic,Adjective
acidolysis,Noun
acidometer,Noun
acidophilic,Adjective
acidophil,Adjective
acidophil,Noun
acidosis,Noun
acidotic,Adjective
acidulant,Noun
acidulated,Verb (transitive)
acidulate,Verb (usu participle)
acidulating,Verb (transitive)
acidulation,Noun
acidulent,NA
acidulous,Adjective
aciduric,Adjective
acidy,Adjective
acid,NA
acierated,Verb (transitive)
acierate,Verb (transitive)
acierating,Verb (transitive)
acieration,Noun
acie,Noun
aciform,Adjective
acima,Noun
acinaceous,Adjective
acinacifolious,Adjective
acinaciform,Adjective
acinarious,Adjective
acing,Noun
acing,Verb (usu participle)
acinic,Adjective
aciniform,Adjective
acinous,Adjective
acinuni,Plural
acinus,Noun
acis,Noun
ack-ack,Noun
ackee,Noun
ackerley,Noun
ackerman,Noun
acker,Noun
ackeys,Plural
ackey,Noun
ackler,Noun
ackley,Noun
acknowledgeable,Adjective
acknowledgedly,Adverb
acknowledged,Verb (transitive)
acknowledger,Noun
acknowledge,Verb (transitive)
acknowledging,Verb (transitive)
acknowledgment,Noun
ackton,Noun
ack,Noun
acleistocardia,Noun
acle,Noun
acls,Noun
aclu,Noun
acmesthesia,Noun
acme,Noun
acmic,Adjective
acmite,Noun
acmon,Noun
acnemia,Noun
acne,Noun
acnodal,Adjective
acnode,Noun
acoasm,Noun
acockbill,Adjective
acock,Adverb
acock,Adjective
acocotl,Noun
acoelomate,Adjective
acoelous,Adjective
acoemeti,Plural
acoenaesthesia,Noun
acold,Adjective
acolyte,Noun
acol,Noun
aconcagua,Noun
aconite,Noun
aconitic,Adjective
acorned,Adjective
acorn,Noun
acosmism,Noun
acosmistic,Adjective
acosmist,Noun
acotyledonous,Adjective
acotyledon,Noun
acouasm,Noun
acouchi,Noun
acousmas,Plural
acousmata,Plural
acousma,Noun
acoustically,Adverb
acoustician,Noun
acoustics,Noun
acoustic,Adjective
acpt,Noun
acp,Noun
acquah,Noun
acquaintance,Noun
acquaintedness,Noun
acquainted,Adjective
acquaint,Verb (transitive)
acquest,Noun
acquiescence,Noun
acquiescently,Adverb
acquiescent,Adjective
acquiesce,Verb (intransitive)
acquiescingly,Adverb
